Player,BPQ
Rafael Nadal,0.4703
Grigor Dimitrov,0.3636
Andy Murray,0.436
Roger Federer,0.4104
Tomas Berdych,0.4265
David Ferrer,0.4395
Stan Wawrinka,0.4007
Novak Djokovic,0.4561
Alexandr Dolgopolov,0.4055
Milos Raonic,0.3669
Kevin Anderson,0.3723
John Isner,0.3177
Ernests Gulbis,0.3877
Julien Benneteau,0.4087
Kei Nishikori,0.4003
Jo-Wilfried Tsonga,0.4267
Guillermo Garcia Lopez,0.4089
Roberto Bautista Agut,0.4013
Santiago Giraldo,0.4045
Tommy Haas,0.3847
Jeremy Chardy,0.3654
Gael Monfils,0.4054
Marin Cilic,0.4171
Nick Kyrgios,
Feliciano Lopez,0.3524
Tommy Robredo,0.4168
Fabio Fognini,0.4447
Gilles Simon,0.4161
Mikhail Youzhny,0.407
Stephane Robert,0.3258
Florian Mayer,0.4254
Fernando Verdasco,0.3988
Benjamin Becker,0.3659
Richard Gasquet,0.4084
Andreas Seppi,0.4166
Lukas Rosol,0.3569
Pablo Carreno Busta,0.4343
Jarkko Nieminen,0.4252
Lukasz Kubot,0.4234
Jurgen Melzer,0.3996
Ivan Dodig,0.4133
Philipp Kohlschreiber,0.4129
Dusan Lajovic,
Marcel Granollers,0.3987
Leonardo Mayer,0.3978
Jerzy Janowicz,0.3778
Steve Johnson,0.3604
Yen Hsun Lu,0.4
Dominic Thiem,
Mikhail Kukushkin,0.4251
Jack Sock,0.3925
Ivo Karlovic,0.3
Malek Jaziri,0.3188
Juan Monaco,0.4267
Lucas Pouille,
