name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Rafael Nadal,1032,724,1100,394,85,5627,3734,5821,2346,245,4357,2881,4551,2131,161,Kei Nishikori,974,625,1037,414,40,4918,3035,5119,1978,170,1391,871,1511,599,28,0,0,0
Grigor Dimitrov,778,528,777,263,88,1560,990,1499,504,147,1008,617,1023,370,59,Roberto Bautista Agut,314,200,295,109,10,1496,871,1455,553,38,569,330,570,239,16,0,0,0
Andy Murray,279,210,305,131,51,813,554,886,389,69,540,327,522,216,39,Stephane Robert,111,63,123,59,5,420,232,419,127,17,203,115,213,83,15,0,0,0
Roger Federer,2011,1431,2163,818,224,7624,5279,8092,3192,706,3115,2137,3364,1313,278,Jo-Wilfried Tsonga,2050,1415,1959,628,266,6790,4612,6692,2392,857,2398,1540,2401,930,155,0,0,0
Tomas Berdych,1157,830,1220,439,147,7043,4696,7228,2826,738,2566,1677,2527,1013,200,Kevin Anderson,814,543,859,275,141,6620,4472,6743,2332,925,1717,1105,1743,629,160,0,0,0
David Ferrer,1396,955,1503,550,69,7009,4498,7296,3022,321,4662,2973,4770,2081,156,Florian Mayer,1227,830,1267,419,91,4112,2601,4213,1484,223,3548,2139,3457,1364,164,0,0,0
Stan Wawrinka,294,191,312,101,28,4181,2714,4380,1704,351,2839,1816,2748,1088,165,Tommy Robredo,200,139,174,48,15,1539,944,1491,541,76,2831,1774,2843,1111,113,0,0,0
Novak Djokovic,1420,1007,1543,638,152,7794,5340,8165,3594,571,3379,2253,3631,1562,172,Fabio Fognini,606,355,532,174,21,3028,1719,2841,1043,115,4436,2626,4442,1868,117,0,0,0
Rafael Nadal,825,571,867,321,65,5010,3300,5190,2088,220,3949,2607,4100,1926,145,Grigor Dimitrov,712,453,728,263,63,4331,2786,4254,1460,399,1605,998,1609,582,98,0,0,0
Roger Federer,1764,1290,1884,680,194,7910,5515,8442,3305,743,2846,1936,2964,1157,239,Andy Murray,2529,1790,2718,1058,296,6744,4366,6855,2944,576,2401,1450,2483,1068,135,0,0,0
Tomas Berdych,1019,702,1066,379,127,9866,6630,10010,3829,1042,3288,2134,3201,1252,258,David Ferrer,1503,1032,1610,600,81,8128,5214,8348,3440,389,5015,3223,5166,2257,166,0,0,0
Stan Wawrinka,676,446,675,242,71,5060,3341,5326,2039,461,4368,2820,4297,1680,296,Novak Djokovic,1826,1281,2002,811,196,9410,6436,9986,4366,735,3332,2219,3610,1540,167,0,0,0
Rafael Nadal,813,549,861,324,53,5766,3822,5973,2380,247,4065,2733,4413,2050,148,Roger Federer,2049,1483,2232,816,241,7649,5353,8244,3223,702,2763,1926,2913,1119,246,0,0,0
Stan Wawrinka,672,443,666,229,71,5999,3870,6149,2309,527,4687,2999,4615,1804,302,Tomas Berdych,790,540,822,301,84,8949,6017,9126,3500,951,3119,2012,3018,1183,249,0,0,0
Stan Wawrinka,507,337,501,169,51,5278,3385,5314,2026,462,4295,2774,4278,1694,282,Rafael Nadal,941,636,986,350,71,5593,3696,5822,2327,246,4665,3103,4845,2231,158,0,0,0
Alexandr Dolgopolov,835,544,803,262,102,5012,3155,5090,1898,514,2004,1236,1970,706,162,Fabio Fognini,739,441,662,231,26,3541,1992,3218,1184,124,4009,2362,4081,1696,92,0,0,0
Milos Raonic,911,679,979,297,181,6274,4495,6481,2074,1308,2165,1453,2209,786,281,Andy Murray,2741,1932,2958,1183,326,7161,4648,7362,3119,621,2239,1370,2325,1021,135,0,0,0
Kevin Anderson,1075,722,1126,372,185,6578,4452,6697,2283,925,2270,1473,2310,804,238,Stan Wawrinka,607,386,579,194,59,5072,3245,5137,1945,423,3642,2378,3655,1450,280,0,0,0
Roger Federer,1424,1045,1531,545,165,6741,4684,7084,2712,647,2683,1808,2813,1098,226,Tommy Haas,798,552,830,274,71,4187,2657,4342,1635,333,1785,1142,1707,651,100,0,0,0
John Isner,865,670,939,276,191,6074,4286,6010,1848,1142,2034,1385,1978,599,260,Fernando Verdasco,1249,826,1173,396,130,4552,2908,4585,1637,306,3634,2297,3787,1461,178,0,0,0
Ernests Gulbis,449,311,445,133,83,1732,1097,1644,597,199,857,538,796,292,76,Roberto Bautista Agut,255,160,246,93,4,1533,885,1494,560,42,749,436,749,308,19,0,0,0
Julien Benneteau,1056,659,1039,337,77,4673,2889,4656,1736,371,1428,873,1383,471,74,Feliciano Lopez,1647,1173,1641,524,308,4810,3074,4590,1494,613,2836,1863,2698,871,285,0,0,0
Novak Djokovic,1812,1255,1923,764,178,9230,6252,9703,4243,691,3179,2106,3386,1447,163,Marin Cilic,1442,962,1456,536,139,4255,2752,4385,1658,406,2266,1416,2271,837,141,0,0,0
Alexandr Dolgopolov,920,582,878,295,100,6424,4075,6487,2338,655,2353,1460,2363,876,191,Milos Raonic,873,637,938,286,162,6388,4568,6660,2219,1331,2257,1515,2267,814,280,0,0,0
Roger Federer,1863,1343,2006,751,205,7545,5315,8170,3264,720,2407,1709,2634,1026,252,Kevin Anderson,997,663,1043,343,169,6117,4121,6186,2086,853,2552,1653,2550,902,257,0,0,0
John Isner,461,356,471,134,108,6408,4508,6422,1997,1175,1867,1283,1758,526,238,Ernests Gulbis,691,476,640,192,115,3677,2356,3762,1411,420,1588,1005,1599,590,124,0,0,0
Novak Djokovic,1626,1151,1808,729,165,9229,6280,9794,4260,698,3265,2152,3506,1506,160,Julien Benneteau,991,630,933,284,77,4968,3066,4894,1822,391,1471,894,1421,491,76,0,0,0
Roger Federer,1871,1345,2048,784,230,7985,5520,8429,3331,722,2974,2011,3192,1286,236,Alexandr Dolgopolov,1026,655,977,334,123,5948,3707,5900,2174,607,2347,1458,2348,881,190,0,0,0
Novak Djokovic,2130,1520,2401,982,229,9537,6472,10111,4438,720,2994,1965,3163,1330,153,John Isner,833,626,920,301,176,7029,4941,7047,2121,1292,2558,1755,2445,740,331,0,0,0
Novak Djokovic,1786,1256,1955,811,194,9171,6260,9764,4288,702,3215,2137,3485,1496,158,Roger Federer,1956,1404,2089,769,213,7568,5310,8004,3120,708,2764,1928,2859,1104,232,0,0,0
Rafael Nadal,752,491,759,271,56,4957,3297,5050,2012,203,4248,2860,4454,2020,149,Fabio Fognini,780,468,687,243,32,3181,1819,2962,1085,128,3827,2274,3861,1604,95,0,0,0
