name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Juan Martin del Potro,80,50,81,38,78,46,79,29,39,24,40,19,239,179,234,84,317,213,320,139,129,87,132,55,179,130,150,57,213,153,181,58,87,52,77,19,60,43,84,26,104,77,139,66,42,25,55,23,130,90,93,37,153,104,123,55,52,37,58,21,92,61,115,35,137,89,131,41,60,42,51,21,17,12,26,7,27,18,66,29,17,12,23,8,90,61,56,16,104,73,68,21,37,18,37,11,101,67,117,42,138,91,145,57,57,39,51,18,43,35,54,26,66,50,78,29,30,13,36,16,5,5,7,7,9,7,29,17,5,2,8,4,96,61,91,28,122,86,109,30,58,40,44,15,69,51,70,30,97,60,106,37,31,20,38,19,13,10,26,11,23,18,41,23,19,13,20,11,86,66,68,22,96,63,99,38,38,27,34,9,28,14,45,12,55,34,55,16,24,12,28,9,59,43,101,38,123,80,142,58,37,19,54,24,43,32,63,26,80,47,84,35,19,19,30,10,16,14,38,18,43,23,58,28,18,14,24,8
Flavio Cipolla,0,0,0,0,5,1,6,3,0,0,0,0,13,7,13,5,29,15,29,10,0,0,0,0,7,5,8,1,15,8,19,7,0,0,0,0,6,2,5,2,14,7,10,4,0,0,0,0,5,4,7,1,8,5,12,7,0,0,0,0,4,3,4,1,14,9,13,6,0,0,0,0,4,2,2,1,7,3,4,1,0,0,0,0,4,2,6,1,5,4,5,1,0,0,0,0,4,1,4,0,12,5,14,5,0,0,0,0,3,1,2,0,8,5,9,3,0,0,0,0,2,0,1,0,4,2,1,0,0,0,0,0,3,1,5,2,6,5,10,5,0,0,0,0,4,3,2,0,12,6,11,5,0,0,0,0,2,2,1,0,5,2,4,1,0,0,0,0,5,3,4,1,7,6,11,3,0,0,0,0,3,1,1,1,8,1,8,2,0,0,0,0,3,1,1,0,4,3,23,7,0,0,0,0,1,1,1,0,3,2,16,8,0,0,0,0,2,0,0,0,1,1,7,1,0,0,0,0
Radek Stepanek,7,4,7,2,11,5,10,4,0,0,0,0,56,38,58,15,105,65,109,38,13,6,14,2,38,26,43,12,65,39,71,25,6,4,12,7,18,11,15,5,40,20,38,15,7,3,2,1,26,16,31,11,39,24,46,17,4,2,5,2,23,14,22,10,46,22,48,14,5,4,8,2,7,5,4,1,20,10,15,7,4,3,1,1,16,10,20,5,24,16,29,4,2,2,3,1,24,16,23,11,37,21,51,17,6,3,8,2,14,9,13,7,34,24,22,8,4,1,2,0,2,1,1,1,10,8,7,3,1,1,1,0,22,13,17,7,29,22,38,16,3,2,7,3,17,9,17,4,40,21,31,13,4,3,4,1,6,3,7,3,18,9,12,4,4,0,1,0,18,8,20,6,28,19,34,10,4,3,6,4,11,8,8,2,28,19,21,5,1,0,2,0,40,26,25,9,51,29,42,11,5,3,11,1,26,12,16,7,29,16,31,9,3,1,10,4,14,8,9,3,22,10,11,4,2,2,1,0
Fernando Verdasco,33,25,34,16,13,9,15,9,24,15,24,6,160,108,159,41,243,158,246,90,137,86,135,61,108,74,118,41,158,104,156,55,86,52,74,28,52,42,41,19,85,58,91,38,51,33,61,28,74,51,77,25,104,70,101,31,52,33,46,17,76,40,63,21,112,64,108,39,67,41,61,23,10,9,19,6,27,17,38,13,18,10,28,5,51,37,52,19,70,45,70,26,33,21,29,12,63,40,67,16,98,67,100,34,60,41,55,15,45,29,34,9,65,42,64,27,36,24,46,16,1,1,6,2,10,7,13,6,8,4,5,2,54,36,70,27,92,66,92,38,53,36,52,20,52,33,41,16,73,45,71,24,43,27,45,22,17,12,13,8,30,18,34,16,16,10,19,11,51,37,52,18,71,45,85,35,44,24,43,17,31,21,21,8,46,27,42,19,26,20,30,14,74,47,61,21,96,54,106,52,66,43,60,23,47,27,40,15,54,38,54,22,43,31,37,13,27,19,21,6,42,27,52,26,23,14,23,9
Andy Murray,53,36,49,19,106,72,112,49,15,11,14,10,351,247,346,156,606,399,601,264,180,123,175,69,247,181,190,78,399,246,337,138,123,81,106,46,104,74,156,61,207,125,264,134,57,31,69,31,181,131,112,42,246,154,199,85,81,58,60,26,140,103,173,73,278,185,267,128,73,46,84,40,30,25,61,16,82,47,134,58,26,15,31,22,131,82,70,28,154,108,114,49,58,39,34,17,153,108,142,53,277,176,224,94,69,41,70,32,62,38,118,50,140,87,204,91,42,26,49,26,5,3,16,6,35,24,58,29,11,7,22,9,157,113,117,49,222,150,179,65,60,31,55,21,83,53,121,44,188,132,207,90,54,30,55,30,27,17,60,22,77,50,120,50,23,15,39,17,97,70,126,44,204,140,182,78,59,36,46,25,47,35,82,35,106,66,160,81,39,27,52,23,115,80,155,62,242,159,297,132,85,50,116,51,80,52,93,28,159,107,165,68,50,31,65,29,35,25,62,26,83,60,132,60,35,16,51,18
Daniel Gimeno Traver,0,0,0,0,0,0,0,0,0,0,0,0,15,6,16,5,12,8,13,6,0,0,0,0,6,2,11,3,8,4,7,3,0,0,0,0,9,6,5,0,4,1,6,1,0,0,0,0,2,0,8,0,4,3,4,2,0,0,0,0,10,3,8,0,5,2,8,2,0,0,0,0,3,2,0,0,3,3,1,1,0,0,0,0,0,0,8,2,3,2,2,0,0,0,0,0,5,3,8,3,3,2,8,1,0,0,0,0,9,5,0,0,6,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,7,1,3,2,7,2,0,0,0,0,7,4,3,1,6,3,3,0,0,0,0,0,4,2,0,0,1,1,1,0,0,0,0,0,4,1,3,1,4,1,5,3,0,0,0,0,5,3,1,0,4,2,1,0,0,0,0,0,9,4,3,2,6,1,7,3,0,0,0,0,4,4,1,0,1,1,4,1,0,0,0,0,5,3,2,1,5,1,3,1,0,0,0,0
Ivan Ljubicic,10,7,10,4,25,13,23,11,12,10,11,5,39,22,40,12,68,42,70,23,62,43,60,21,22,15,28,7,42,26,47,14,43,27,39,10,17,7,12,3,26,17,23,9,19,10,21,8,15,10,21,10,26,20,33,13,27,20,29,5,14,12,16,5,33,24,28,11,26,20,23,8,10,5,3,2,9,6,9,5,9,6,8,3,10,6,11,3,20,14,20,5,20,13,23,6,17,14,21,9,30,22,30,10,27,20,20,5,7,4,6,4,15,11,15,5,12,7,13,7,5,3,2,2,3,1,5,3,3,2,3,2,18,13,15,6,28,20,25,6,27,18,21,9,7,6,11,3,19,14,20,6,14,9,11,1,6,5,4,2,5,4,7,1,7,5,8,5,11,7,14,2,22,15,20,6,18,13,19,8,6,2,5,2,9,6,12,5,10,7,4,1,15,8,5,1,21,11,28,12,23,16,18,8,8,5,4,0,11,8,16,7,16,9,10,3,7,6,1,1,10,5,12,4,7,4,8,4
Marin Cilic,20,11,22,4,37,24,36,17,32,18,33,13,88,63,88,33,270,172,266,105,87,61,86,38,63,49,55,16,172,117,161,68,61,36,48,20,25,14,33,14,98,70,105,48,26,16,38,17,49,36,39,9,117,82,93,35,36,20,28,14,28,17,35,11,125,77,125,51,41,24,41,17,11,8,14,5,28,18,48,21,10,6,17,6,36,26,30,11,82,58,58,15,20,15,14,4,30,14,33,8,112,70,109,58,40,23,38,16,19,11,20,8,66,38,78,32,23,12,28,6,3,1,5,2,10,7,21,11,4,3,6,4,24,15,36,13,94,72,66,16,28,22,26,12,27,23,20,5,80,53,104,41,29,19,38,12,9,5,11,3,35,24,42,17,14,6,8,5,32,26,28,10,75,52,79,30,25,18,38,17,9,6,13,5,51,37,66,25,16,11,15,8,17,11,36,13,101,60,130,43,30,21,40,14,11,8,23,8,60,46,87,32,21,15,26,8,6,2,13,3,41,27,43,16,9,6,14,6
Ivo Karlovic,11,8,12,3,41,29,40,15,8,7,8,2,31,21,30,8,100,65,100,25,21,13,22,4,21,16,22,5,65,42,75,19,13,10,18,5,10,8,8,1,35,22,25,9,8,5,4,1,16,10,17,3,42,27,56,19,10,5,13,2,13,9,12,4,45,27,35,6,8,6,8,1,2,2,1,0,13,11,9,1,3,3,1,0,10,7,14,4,27,23,37,7,5,5,11,5,14,12,11,4,42,22,48,13,11,7,9,4,6,4,5,1,29,19,14,5,5,3,2,1,0,0,0,0,2,2,1,1,0,0,0,0,15,11,11,4,26,24,42,9,7,5,10,0,6,4,8,3,39,33,22,5,7,3,5,1,2,2,1,1,12,10,5,2,2,2,1,0,8,6,9,4,35,22,26,9,5,4,4,1,4,1,3,1,16,11,8,2,6,4,2,0,5,4,7,1,38,23,23,12,14,6,5,2,4,2,6,1,23,13,11,1,6,4,3,0,1,0,1,1,15,4,12,5,8,7,2,0
Janko Tipsarevic,12,8,11,4,66,40,67,21,20,15,18,10,77,46,80,27,338,224,335,141,146,87,142,51,46,30,53,22,224,148,194,75,87,67,91,35,31,26,27,10,114,68,141,59,59,38,51,17,30,24,31,9,148,100,119,42,67,44,56,21,42,23,39,10,144,84,157,61,58,35,69,23,5,3,10,2,46,34,59,21,21,16,17,5,24,19,22,9,100,59,77,23,44,27,35,9,29,21,37,12,132,91,138,54,58,36,67,25,22,16,18,7,93,57,99,35,39,24,35,14,2,1,2,1,12,4,21,9,5,4,5,2,26,20,34,5,132,95,107,33,53,35,51,19,24,17,23,5,98,72,118,36,46,34,46,17,7,5,8,3,40,32,47,19,19,11,17,7,23,17,23,9,109,76,115,49,52,33,48,21,12,10,10,3,58,36,64,22,23,12,27,12,30,19,29,9,109,73,176,70,59,41,67,29,19,12,20,6,73,50,106,42,41,25,38,13,11,7,9,2,36,17,70,27,18,12,29,11
