surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Serena Williams,4406,2909,4529,2234,557,Lucie Safarova,4098,2466,4230,1679,211,149
Hard,Samantha Stosur,4167,2461,4051,1699,189,Alize Cornet,2535,1303,2534,1163,69,118
Hard,Petra Kvitova,3507,2073,3601,1565,182,Venus Williams,2342,1357,2341,1062,137,93
Hard,Roberta Vinci,4610,2577,4673,2066,169,Kate Makarova,3637,2050,3691,1547,123,129
Hard,Svetlana Kuznetsova,4150,2273,4263,1928,182,Angelique Kerber,5666,3235,5627,2491,142,147
Hard,Maria Sharapova,4552,2684,4698,2205,234,Carla Suarez Navarro,3839,1988,3704,1642,36,135
Hard,Ana Ivanovic,4126,2376,4118,1798,211,Sabine Lisicki,4721,2692,4650,1986,346,147
Hard,Simona Halep,3404,1773,3347,1487,60,Andrea Petkovic,3416,1906,3491,1575,87,106
Hard,Samantha Stosur,6812,4082,6767,2803,277,Serena Williams,5877,3946,6164,2998,764,221
Hard,Petra Kvitova,7138,4293,7335,3246,376,Roberta Vinci,5790,3290,5785,2595,235,211
Hard,Maria Sharapova,6247,3720,6450,3082,318,Svetlana Kuznetsova,4348,2397,4447,1966,203,171
Hard,Ana Ivanovic,5170,2965,5199,2343,283,Simona Halep,5157,2714,4992,2209,107,180
Hard,Petra Kvitova,8182,4841,8335,3678,407,Samantha Stosur,8137,4924,8012,3345,361,257
Hard,Maria Sharapova,6306,3709,6470,3043,299,Ana Ivanovic,4471,2572,4487,1998,228,191
Hard,Maria Sharapova,6595,3873,6818,3242,329,Petra Kvitova,6964,4143,7064,3083,362,226
Clay,Serena Williams,1855,1249,1950,957,209,Carla Suarez Navarro,2177,1094,2111,938,23,75
Clay,Petra Kvitova,1948,1098,2007,897,65,Lucie Safarova,1383,808,1345,543,59,53
Clay,Simona Halep,976,511,961,428,23,Sabine Lisicki,1016,585,1000,443,84,28
Clay,Ana Ivanovic,1136,637,1164,561,68,Anastasia Pavlyuchenkova,1088,589,1038,448,45,42
Clay,Caroline Garcia,510,264,467,180,28,Sara Errani,601,312,568,241,1,19
Clay,Agnieszka Radwanska,3243,1838,3178,1467,113,Roberta Vinci,2247,1222,2193,947,87,88
Clay,Maria Sharapova,3743,2165,3804,1761,155,Samantha Stosur,2650,1544,2588,1116,104,107
Clay,Na Li,1018,577,978,405,24,Sloane Stephens,534,287,568,229,13,25
Clay,Petra Kvitova,2947,1708,3067,1361,130,Serena Williams,2548,1683,2659,1307,342,97
Clay,Simona Halep,859,448,850,369,14,Ana Ivanovic,644,371,629,319,41,28
Clay,Agnieszka Radwanska,223,143,208,80,3,Caroline Garcia,238,122,209,84,8,7
Clay,Maria Sharapova,3458,1983,3450,1549,188,Na Li,3642,2098,3548,1610,104,115
Clay,Simona Halep,1017,571,1040,478,33,Petra Kvitova,1105,681,1170,528,56,38
Clay,Maria Sharapova,2172,1245,2219,1063,110,Agnieszka Radwanska,2046,1105,2077,984,58,75
Clay,Maria Sharapova,2118,1245,2240,1000,102,Simona Halep,1950,1012,1850,791,38,66
Hard,Na Li,3137,1841,3110,1423,113,Aleksandra Wozniak,1810,986,1829,794,46,76
Hard,Dominika Cibulkova,5182,2860,5063,2308,95,Petra Kvitova,6631,3983,6742,2986,362,192
Hard,Flavia Pennetta,918,477,878,425,31,Camila Giorgi,472,260,407,163,11,19
Hard,Sloane Stephens,1231,677,1282,579,39,Alisa Kleybanova,860,453,934,421,28,31
Hard,Simona Halep,2097,1150,2078,894,54,Eugenie Bouchard,1321,687,1245,530,32,54
Hard,Casey Dellacqua,293,148,322,133,4,Lauren Davis,193,98,209,91,3,9
Hard,Jelena Jankovic,7078,3966,7154,3217,233,Caroline Wozniacki,8080,4743,7866,3653,174,226
Hard,Agnieszka Radwanska,5725,3303,5800,2694,210,Alize Cornet,3475,1790,3477,1571,93,164
Hard,Na Li,5342,3135,5465,2536,173,Dominika Cibulkova,4490,2505,4379,2022,80,169
Hard,Flavia Pennetta,2621,1357,2538,1160,83,Sloane Stephens,2347,1246,2474,1067,61,76
Hard,Simona Halep,1404,720,1282,560,28,Casey Dellacqua,864,438,849,339,13,39
Hard,Agnieszka Radwanska,8997,5219,8709,4014,302,Jelena Jankovic,7150,4003,7157,3220,226,258
Hard,Flavia Pennetta,3587,1938,3524,1620,135,Na Li,5985,3480,6163,2858,175,164
Hard,Agnieszka Radwanska,7114,4045,6929,3210,257,Simona Halep,5210,2802,5183,2329,119,209
Hard,Flavia Pennetta,4348,2412,4365,1983,177,Agnieszka Radwanska,6562,3796,6552,3036,211,184
Hard,Serena Williams,1813,1210,1851,910,225,Coco Vandeweghe,1407,785,1393,580,84,55
Hard,Angelique Kerber,6650,3778,6619,2946,195,Kate Makarova,4727,2643,4710,2035,152,171
Hard,Maria Sharapova,3721,2138,3673,1687,202,Kirsten Flipkens,1864,1047,1898,804,88,97
Hard,Petra Kvitova,9114,5409,9321,4106,481,Ana Ivanovic,5791,3341,5847,2662,321,241
Hard,Dominika Cibulkova,3329,1797,3288,1550,57,Venus Williams,2619,1516,2586,1176,148,94
Hard,Agnieszka Radwanska,1785,1099,1848,879,76,Elina Svitolina,876,483,858,378,35,51
Hard,Caroline Wozniacki,5140,3043,5181,2410,122,Varvara Lepchenko,3264,1761,3235,1291,84,133
Hard,Na Li,4829,2800,4733,2180,135,Carla Suarez Navarro,3700,1862,3552,1540,37,140
Hard,Serena Williams,6073,4050,6393,3123,792,Angelique Kerber,7021,4025,6962,3158,179,224
Hard,Maria Sharapova,6595,3873,6818,3242,329,Petra Kvitova,6964,4143,7064,3083,362,226
Hard,Dominika Cibulkova,6899,3829,6794,3124,101,Agnieszka Radwanska,8254,4786,8152,3802,274,240
Hard,Na Li,7321,4292,7361,3423,231,Caroline Wozniacki,8317,4824,8141,3752,172,245
Hard,Serena Williams,4964,3335,5263,2529,620,Maria Sharapova,5926,3540,6053,2868,303,192
Hard,Na Li,5342,3135,5465,2536,173,Dominika Cibulkova,4490,2505,4379,2022,80,169
Hard,Serena Williams,5211,3499,5489,2668,698,Na Li,6352,3755,6464,3023,203,200
Hard,Serena Williams,4406,2909,4529,2234,557,Lucie Safarova,4098,2466,4230,1679,211,149
Hard,Caroline Wozniacki,58,39,43,23,4,Shelby Rogers,75,41,50,13,5,2
Hard,Carla Suarez Navarro,3839,1988,3704,1642,36,Maria Sharapova,4552,2684,4698,2205,234,135
Hard,Venus Williams,2608,1530,2631,1193,162,Angelique Kerber,4458,2486,4471,2007,106,109
Hard,Victoria Azarenka,3389,2000,3704,1889,92,Heather Watson,2188,1211,2166,875,79,89
Hard,Agnieszka Radwanska,6941,3966,6921,3194,210,Sabine Lisicki,4925,2833,4927,2167,354,193
Hard,Coco Vandeweghe,1242,708,1306,536,101,Jelena Jankovic,3006,1696,3089,1421,96,60
Hard,Kate Makarova,4553,2595,4533,1881,172,Petra Kvitova,6429,3814,6693,2985,329,176
Hard,Serena Williams,6065,4051,6334,3069,794,Caroline Wozniacki,7449,4331,7338,3487,146,229
Hard,Venus Williams,2217,1289,2138,950,130,Carla Suarez Navarro,2440,1261,2433,1074,21,70
Hard,Agnieszka Radwanska,8345,4898,8207,3883,288,Victoria Azarenka,8307,4829,8875,4352,190,289
Hard,Kate Makarova,1499,860,1459,640,59,Coco Vandeweghe,1172,633,1172,460,84,41
Hard,Venus Williams,2721,1565,2740,1242,149,Serena Williams,4352,2927,4562,2180,594,122
Hard,Agnieszka Radwanska,8252,4747,8145,3774,266,Kate Makarova,5513,3125,5521,2330,199,215
Hard,Agnieszka Radwanska,5340,3056,5250,2411,182,Venus Williams,3141,1828,3160,1448,184,130
Hard,Alize Cornet,1889,963,1808,822,41,Kirsten Flipkens,2055,1165,2069,852,102,63
Hard,Eugenie Bouchard,251,136,236,99,7,Alison Riske Amritraj,249,138,255,97,5,8
Hard,Timea Bacsinszky,372,189,376,144,5,Maria Sharapova,989,603,1047,517,50,22
Hard,Caroline Wozniacki,2797,1620,2720,1278,80,Casey Dellacqua,1007,510,977,420,15,61
Hard,Caroline Garcia,377,211,376,154,15,Coco Vandeweghe,246,120,205,78,9,8
Hard,Petra Kvitova,2175,1298,2209,1012,105,Karolina Pliskova,705,410,668,232,69,49
Hard,Angelique Kerber,4449,2546,4436,1935,129,Barbora Strycova,2689,1399,2719,1134,49,107
Hard,Elina Svitolina,59,29,67,28,1,Garbine Muguruza,157,95,147,57,5,6
Hard,Eugenie Bouchard,1105,606,1105,517,34,Alize Cornet,1133,601,1087,490,32,31
Hard,Caroline Wozniacki,1790,1068,1827,889,54,Timea Bacsinszky,478,245,456,186,13,35
Hard,Petra Kvitova,2295,1344,2352,1034,108,Caroline Garcia,961,517,871,326,45,46
Hard,Elina Svitolina,839,447,832,349,29,Angelique Kerber,1903,1078,1860,837,58,43
Hard,Eugenie Bouchard,2046,1119,2024,870,60,Caroline Wozniacki,4352,2526,4173,1940,73,96
Hard,Petra Kvitova,1813,1047,1897,823,84,Elina Svitolina,601,323,608,244,18,42
Hard,Petra Kvitova,3629,2097,3676,1584,156,Eugenie Bouchard,1321,705,1228,518,39,72
Clay,Serena Williams,1539,1042,1708,840,177,Varvara Lepchenko,1149,633,1312,584,37,49
Clay,Shuai Zhang,113,55,98,31,1,Christina Mchale,85,54,75,34,4,4
Clay,Carla Suarez Navarro,1230,625,1216,549,14,Simona Halep,1470,781,1397,594,37,44
Clay,Ana Ivanovic,1046,552,990,468,56,Maria Sharapova,1798,1025,1794,849,96,53
Clay,Jelena Jankovic,986,544,943,414,30,Flavia Pennetta,827,449,851,418,29,33
Clay,Agnieszka Radwanska,2280,1256,2320,1081,60,Francesca Schiavone,1049,563,1062,461,29,55
Clay,Sara Errani,1316,701,1376,678,3,Petra Cetkovska,759,404,760,347,19,39
Clay,Na Li,2615,1467,2588,1185,71,Samantha Stosur,2172,1253,2095,828,77,87
Clay,Serena Williams,0,0,0,0,0,Shuai Zhang,0,0,0,0,0,0
Clay,Ana Ivanovic,923,531,894,442,69,Carla Suarez Navarro,1128,597,1102,528,9,36
Clay,Jelena Jankovic,1779,923,1663,732,40,Agnieszka Radwanska,2540,1478,2607,1232,77,69
Clay,Sara Errani,3431,1772,3466,1578,13,Na Li,4750,2747,4709,2126,130,137
Clay,Serena Williams,1882,1232,1937,943,263,Ana Ivanovic,1947,1095,1927,910,114,66
Clay,Sara Errani,3144,1696,3130,1454,10,Jelena Jankovic,3639,2061,3646,1681,114,108
Clay,Serena Williams,3051,2041,3216,1587,423,Sara Errani,2804,1455,2917,1373,12,117
Hard,Petra Cetkovska,1866,1036,1853,842,48,Na Li,2144,1251,2126,1010,64,63
Hard,Angelique Kerber,5299,3022,5340,2435,162,Klara Koukalova,0,0,0,0,0,150
Hard,Petra Kvitova,6212,3693,6379,2845,291,Lucie Safarova,4922,2938,5038,1975,247,193
Hard,Jelena Jankovic,1594,864,1563,707,52,Alisa Kleybanova,778,447,772,335,48,35
Hard,Simona Halep,1176,642,1094,512,33,Annika Beck,794,389,791,331,14,31
Hard,Sara Errani,3415,1823,3483,1622,14,Monica Niculescu,2545,1347,2643,1168,48,106
Hard,Yanina Wickmayer,903,509,823,369,28,Jana Cepelova,610,317,630,270,3,23
Hard,Agnieszka Radwanska,1859,1155,1776,884,79,Mirjana Lucic,44,34,46,23,9,51
Hard,Angelique Kerber,3051,1749,2970,1307,83,Petra Cetkovska,1845,1019,1899,850,39,73
Hard,Jelena Jankovic,6218,3441,6259,2817,199,Petra Kvitova,7458,4409,7564,3320,380,213
Hard,Simona Halep,4119,2136,4095,1794,93,Sara Errani,5173,2639,5242,2434,20,161
Hard,Agnieszka Radwanska,6703,3863,6736,3217,227,Yanina Wickmayer,5160,2888,5033,2095,135,183
Hard,Angelique Kerber,7925,4557,7908,3557,217,Jelena Jankovic,6956,3852,6989,3202,218,221
Hard,Simona Halep,5210,2802,5183,2329,119,Agnieszka Radwanska,7114,4045,6929,3210,257,209
Hard,Simona Halep,4186,2246,4240,1905,105,Angelique Kerber,6552,3745,6509,2907,175,174
Hard,Serena Williams,5244,3549,5568,2734,721,Flavia Pennetta,3596,1970,3607,1669,142,157
Hard,Jelena Jankovic,3881,2037,3941,1725,106,Sloane Stephens,3490,1929,3643,1568,90,110
Hard,Agnieszka Radwanska,6941,3966,6921,3194,210,Sabine Lisicki,4925,2833,4927,2167,354,193
Hard,Caroline Wozniacki,8116,4741,7929,3731,193,Angelique Kerber,7758,4477,7784,3473,214,244
Hard,Ana Ivanovic,4321,2453,4219,1904,204,Svetlana Kuznetsova,4602,2586,4694,2127,216,149
Hard,Elina Svitolina,320,163,331,123,10,Carla Suarez Navarro,1099,535,1043,474,8,24
Hard,Maria Sharapova,6689,3922,6851,3246,325,Anastasia Pavlyuchenkova,5113,2922,5073,2207,189,195
Hard,Simona Halep,3432,1876,3379,1516,71,Lucie Safarova,3639,2158,3711,1425,186,128
Hard,Serena Williams,5596,3741,5817,2825,723,Jelena Jankovic,5720,3166,5829,2647,169,189
Hard,Caroline Wozniacki,9682,5674,9558,4437,214,Agnieszka Radwanska,9888,5728,9716,4517,307,309
Hard,Ana Ivanovic,1284,749,1352,604,72,Elina Svitolina,629,332,672,270,20,41
Hard,Maria Sharapova,5777,3361,5788,2644,297,Simona Halep,3998,2129,3878,1684,95,163
Hard,Serena Williams,6065,4051,6334,3069,794,Caroline Wozniacki,7449,4331,7338,3487,146,229
Hard,Ana Ivanovic,4471,2572,4487,1998,228,Maria Sharapova,6306,3709,6470,3043,299,191
Hard,Serena Williams,5752,3856,6078,2987,769,Ana Ivanovic,4800,2717,4924,2222,239,196
Hard,Ana Ivanovic,4800,2717,4924,2222,239,Serena Williams,5752,3856,6078,2987,769,196
Hard,Eugenie Bouchard,597,348,617,262,22,Casey Dellacqua,538,280,509,219,5,19
Hard,Na Li,5391,3079,5330,2422,150,Kate Makarova,3938,2217,3916,1608,150,143
Hard,Flavia Pennetta,3447,1861,3345,1518,135,Angelique Kerber,5243,3000,5277,2383,154,137
Hard,Simona Halep,4631,2453,4548,2025,102,Jelena Jankovic,5178,2843,5240,2369,156,161
Hard,Dominika Cibulkova,5620,3060,5488,2493,88,Maria Sharapova,6066,3557,6199,2899,289,192
Hard,Agnieszka Radwanska,3434,1926,3390,1549,122,Garbine Muguruza,1259,687,1267,536,31,71
Hard,Victoria Azarenka,5813,3399,6177,3064,154,Sloane Stephens,4069,2213,4179,1844,112,165
Hard,Eugenie Bouchard,1579,827,1486,615,35,Ana Ivanovic,2148,1241,2097,895,101,62
Hard,Na Li,5985,3480,6163,2858,175,Flavia Pennetta,3587,1938,3524,1620,135,164
Hard,Dominika Cibulkova,4332,2373,4259,1955,71,Simona Halep,3403,1811,3158,1347,92,139
Hard,Agnieszka Radwanska,8345,4898,8207,3883,288,Victoria Azarenka,8307,4829,8875,4352,190,289
Hard,Na Li,3009,1763,3138,1414,93,Eugenie Bouchard,1430,767,1343,564,36,74
Hard,Dominika Cibulkova,6899,3829,6794,3124,101,Agnieszka Radwanska,8254,4786,8152,3802,274,240
Hard,Na Li,5342,3135,5465,2536,173,Dominika Cibulkova,4490,2505,4379,2022,80,169
Clay,Garbine Muguruza,113,48,98,51,2,Pauline Parmentier,62,34,70,27,1,3
