name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Serena Williams,1434,1003,1590,710,246,5243,3471,5371,2656,637,2154,1465,2377,1232,240
Samantha Stosur,930,571,935,395,65,8348,5102,8299,3576,399,3047,1889,2995,1261,112
Roberta Vinci,1530,931,1554,695,73,6848,3958,6887,3138,271,3769,2130,3776,1734,127
Svetlana Kuznetsova,523,309,576,254,35,5627,3196,5850,2683,249,2232,1282,2255,1033,72
Maria Sharapova,1049,665,1122,515,74,5609,3291,5746,2851,265,3102,1909,3233,1557,163
Ana Ivanovic,1169,724,1152,485,94,7003,4117,7149,3327,369,1694,1000,1667,792,94
Simona Halep,819,462,809,360,32,4978,2717,5002,2292,117,2853,1590,2856,1389,64
Petra Kvitova,2031,1277,2087,913,131,7570,4506,7857,3517,402,2707,1594,2762,1274,105
Caroline Garcia,231,140,193,57,13,1463,808,1353,536,87,700,406,707,282,36
Agnieszka Radwanska,1452,889,1454,629,52,9919,5830,9716,4716,353,1856,1092,1933,930,72
Na Li,908,532,889,386,25,6674,3941,6885,3295,240,2396,1450,2277,1011,79
Dominika Cibulkova,1011,564,961,419,20,7563,4251,7506,3522,117,1995,1100,1883,897,38
Flavia Pennetta,1029,588,1054,451,34,4374,2443,4370,2013,193,2340,1279,2514,1220,87
Sloane Stephens,678,393,692,300,33,5443,3056,5659,2566,150,1778,982,1804,770,23
Jelena Jankovic,763,441,729,298,32,8015,4531,8328,3884,303,3452,1988,3510,1674,118
Angelique Kerber,1235,757,1314,588,53,8093,4650,8129,3821,214,2366,1371,2307,1049,48
Caroline Wozniacki,1078,651,1054,445,47,9548,5639,9388,4528,212,2736,1585,2642,1233,62
Carla Suarez Navarro,799,442,763,330,11,4746,2531,4657,2052,44,2999,1651,3131,1575,33
Venus Williams,698,433,779,343,54,2827,1627,2798,1315,145,1065,611,1070,481,59
Victoria Azarenka,1191,757,1264,585,43,7539,4405,7932,4111,165,2779,1673,2995,1471,81
Coco Vandeweghe,439,248,400,147,20,2606,1504,2564,1078,213,290,148,269,99,10
Kate Makarova,1400,861,1466,588,64,5255,3001,5310,2346,193,1537,902,1524,629,42
Alize Cornet,697,384,678,294,25,4022,2163,4101,1917,125,2935,1521,2966,1456,55
Eugenie Bouchard,325,197,331,133,11,2498,1410,2449,1095,84,506,283,528,249,24
Timea Bacsinszky,0,0,0,0,0,667,342,663,276,17,248,108,219,106,1
