surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Rafael Nadal,678,473,730,318,38,Kei Nishikori,786,470,765,292,26,24
Hard,Grigor Dimitrov,428,261,408,163,41,Roberto Bautista Agut,575,336,562,207,13,11
Hard,Andy Murray,83,55,75,37,6,Stephane Robert,94,54,115,43,8,2
Hard,Roger Federer,838,571,883,337,76,Jo-Wilfried Tsonga,718,482,715,223,86,19
Hard,Tomas Berdych,1294,865,1391,553,171,Kevin Anderson,1194,800,1208,403,156,31
Hard,David Ferrer,855,504,800,289,29,Florian Mayer,444,260,514,181,24,19
Hard,Stan Wawrinka,475,312,483,175,41,Tommy Robredo,230,127,195,60,11,9
Hard,Novak Djokovic,709,508,859,380,57,Fabio Fognini,595,324,540,214,22,20
Hard,Rafael Nadal,1018,673,1097,435,43,Grigor Dimitrov,659,415,654,225,76,25
Hard,Roger Federer,1295,861,1351,542,107,Andy Murray,1124,737,1091,417,88,30
Hard,Tomas Berdych,2192,1444,2224,863,248,David Ferrer,1891,1153,1858,750,75,56
Hard,Stan Wawrinka,1057,706,1107,424,100,Novak Djokovic,1231,867,1382,591,109,34
Hard,Rafael Nadal,1589,1085,1633,639,61,Roger Federer,1283,867,1374,541,115,38
Hard,Stan Wawrinka,1837,1186,1856,673,174,Tomas Berdych,1620,1107,1703,623,165,44
Hard,Stan Wawrinka,1121,700,1022,366,98,Rafael Nadal,986,658,1031,412,39,26
Hard,Alexandr Dolgopolov,100,57,94,20,9,Fabio Fognini,234,129,210,94,8,5
Hard,Milos Raonic,1255,892,1303,418,257,Andy Murray,1280,839,1285,530,102,34
Hard,Kevin Anderson,791,514,784,255,112,Stan Wawrinka,931,620,940,354,95,22
Hard,Roger Federer,1124,783,1191,456,97,Tommy Haas,899,572,948,354,46,29
Hard,John Isner,1116,803,1137,355,206,Fernando Verdasco,1158,748,1150,397,70,26
Hard,Ernests Gulbis,431,262,371,134,42,Roberto Bautista Agut,653,383,630,230,18,12
Hard,Julien Benneteau,639,377,664,257,66,Feliciano Lopez,851,526,733,228,105,20
Hard,Novak Djokovic,905,635,970,392,85,Marin Cilic,503,315,561,221,47,18
Hard,Alexandr Dolgopolov,660,393,670,217,64,Milos Raonic,878,639,964,319,194,25
Hard,Roger Federer,872,582,917,359,83,Kevin Anderson,769,501,720,220,101,19
Hard,John Isner,865,596,890,276,176,Ernests Gulbis,780,521,831,319,90,21
Hard,Novak Djokovic,1901,1339,2188,930,153,Julien Benneteau,843,503,925,360,73,39
Hard,Roger Federer,1212,806,1200,455,105,Alexandr Dolgopolov,805,473,805,280,60,26
Hard,Novak Djokovic,1439,985,1593,651,133,John Isner,891,620,903,278,162,33
Hard,Novak Djokovic,2103,1440,2323,955,170,Roger Federer,1637,1075,1628,589,111,46
Hard,Rafael Nadal,793,524,800,316,29,Fabio Fognini,695,400,664,260,22,22
Hard,Milos Raonic,926,662,1047,381,198,Benjamin Becker,852,533,852,279,77,24
Hard,Alexandr Dolgopolov,182,111,194,69,14,Stan Wawrinka,438,304,499,176,49,9
Hard,Tomas Berdych,1405,931,1431,536,145,John Isner,1173,861,1257,403,233,36
Hard,Roger Federer,1979,1324,2022,754,154,Richard Gasquet,1726,1096,1836,674,126,43
Hard,Kei Nishikori,773,481,794,322,43,David Ferrer,964,600,1008,443,46,23
Hard,Andy Murray,862,595,921,396,88,Jo-Wilfried Tsonga,1335,880,1287,433,150,27
Hard,Novak Djokovic,1372,933,1566,651,102,Tommy Robredo,662,396,614,211,35,25
Hard,Rafael Nadal,1543,1058,1632,635,59,Milos Raonic,1287,896,1279,387,250,37
Hard,Tomas Berdych,785,523,804,318,84,Alexandr Dolgopolov,499,324,495,211,59,20
Hard,Kei Nishikori,814,504,791,291,27,Roger Federer,808,524,836,323,50,21
Hard,Novak Djokovic,2010,1385,2237,989,164,Andy Murray,1400,914,1362,551,119,43
Hard,Rafael Nadal,1423,967,1416,549,66,Tomas Berdych,1262,835,1274,433,128,40
Hard,Novak Djokovic,648,469,723,318,62,Kei Nishikori,648,379,651,233,17,19
Hard,Novak Djokovic,2042,1436,2330,995,180,Rafael Nadal,1474,1010,1619,651,60,50
Clay,Rafael Nadal,794,511,801,358,24,Andreas Seppi,489,279,491,188,35,16
Clay,David Ferrer,679,388,676,280,14,Grigor Dimitrov,317,190,322,112,18,13
Clay,Stan Wawrinka,490,299,469,171,37,Nicolas Almagro,704,445,728,292,54,16
