surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Serena Williams,456,286,454,229,37,Lucie Safarova,427,236,416,160,13,14
Hard,Samantha Stosur,549,303,489,189,23,Alize Cornet,415,214,411,202,15,19
Hard,Petra Kvitova,268,153,277,102,10,Venus Williams,348,193,365,182,11,8
Hard,Roberta Vinci,1248,694,1275,580,47,Kate Makarova,806,471,799,354,36,30
Hard,Svetlana Kuznetsova,874,483,934,417,48,Angelique Kerber,976,537,966,408,30,30
Hard,Maria Sharapova,702,404,726,335,40,Carla Suarez Navarro,565,271,577,241,10,23
Hard,Ana Ivanovic,622,338,598,264,27,Sabine Lisicki,636,361,562,217,53,17
Hard,Simona Halep,231,126,249,107,8,Andrea Petkovic,468,265,505,239,12,12
Hard,Samantha Stosur,1298,746,1321,577,40,Serena Williams,1524,996,1471,736,172,52
Hard,Petra Kvitova,1270,726,1222,558,68,Roberta Vinci,1330,731,1316,598,54,40
Hard,Maria Sharapova,516,322,556,277,38,Svetlana Kuznetsova,712,405,774,346,40,19
Hard,Ana Ivanovic,1067,617,1095,544,58,Simona Halep,922,508,860,407,15,36
Hard,Petra Kvitova,1736,1030,1692,767,81,Samantha Stosur,1430,849,1474,665,65,48
Hard,Maria Sharapova,575,350,620,302,38,Ana Ivanovic,501,295,462,205,22,21
Hard,Maria Sharapova,1202,745,1282,616,68,Petra Kvitova,1862,1060,1884,817,83,52
Clay,Serena Williams,186,133,209,120,20,Carla Suarez Navarro,420,198,407,194,3,15
Clay,Petra Kvitova,330,168,308,146,9,Lucie Safarova,369,215,412,172,19,12
Clay,Simona Halep,153,87,159,87,6,Sabine Lisicki,287,155,271,115,21,5
Clay,Ana Ivanovic,113,63,112,52,4,Anastasia Pavlyuchenkova,215,135,220,84,11,7
Clay,Caroline Garcia,116,58,80,15,5,Sara Errani,111,48,94,25,0,4
Clay,Agnieszka Radwanska,263,139,310,158,10,Roberta Vinci,303,156,256,115,16,10
Clay,Maria Sharapova,340,225,345,178,21,Samantha Stosur,525,303,530,245,20,14
Clay,Na Li,293,168,269,116,9,Sloane Stephens,272,144,250,87,7,8
Clay,Petra Kvitova,259,134,249,123,7,Serena Williams,144,105,168,91,14,8
Clay,Simona Halep,286,159,250,115,7,Ana Ivanovic,144,78,110,46,11,8
Clay,Agnieszka Radwanska,0,0,0,0,0,Caroline Garcia,0,0,0,0,0,0
Clay,Maria Sharapova,175,105,200,109,6,Na Li,268,154,301,152,5,7
Clay,Simona Halep,209,126,224,110,11,Petra Kvitova,134,74,153,70,1,7
Clay,Maria Sharapova,335,190,325,159,24,Agnieszka Radwanska,206,110,250,131,7,10
Clay,Maria Sharapova,482,269,505,211,17,Simona Halep,291,147,245,102,7,11
Hard,Na Li,519,284,467,223,18,Aleksandra Wozniak,210,97,228,99,4,10
Hard,Dominika Cibulkova,1335,718,1319,571,19,Petra Kvitova,1540,856,1555,705,66,42
Hard,Flavia Pennetta,105,60,123,54,5,Camila Giorgi,169,98,139,50,5,4
Hard,Sloane Stephens,421,245,437,217,15,Alisa Kleybanova,251,106,265,111,6,11
Hard,Simona Halep,730,421,805,356,29,Eugenie Bouchard,855,450,788,363,20,25
Hard,Casey Dellacqua,73,40,75,30,2,Lauren Davis,0,0,0,0,0,2
Hard,Jelena Jankovic,1481,799,1457,650,34,Caroline Wozniacki,1412,838,1360,610,23,39
Hard,Agnieszka Radwanska,1622,933,1743,810,58,Alize Cornet,1325,691,1264,568,49,50
