name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Elise Mertens,51,33,65,38,6,210,132,210,98,9,135,76,178,93,2,Aryna Sabalenka,0,0,0,0,0,415,243,336,148,36,0,0,0,0,0,0,0,0
Elina Svitolina,620,390,631,252,32,6058,3409,6338,2922,215,1571,916,1553,695,66,Johanna Konta,2097,1299,2165,925,131,3856,2417,4271,1912,258,745,439,751,317,47,0,0,0
Sloane Stephens,482,292,524,211,17,3077,1827,3096,1300,82,1058,629,1079,474,30,Carla Suarez Navarro,525,310,525,210,8,3750,2100,3824,1670,53,2068,1161,2185,1018,23,0,0,0
Anastasija Sevastova,620,354,574,239,15,2176,1182,2010,896,71,1713,966,1748,754,44,Julia Goerges,90,66,100,52,13,2786,1675,2775,1113,228,1235,719,1265,527,85,0,0,0
Kiki Bertens,564,346,506,214,19,2320,1268,2431,1032,132,1949,1159,1974,900,102,Petra Kvitova,627,382,692,302,57,3783,2332,3908,1772,238,1053,650,1053,420,56,0,0,0
Ashleigh Barty,544,344,637,265,29,1420,853,1310,556,103,260,156,243,116,10,Alize Cornet,305,157,312,139,1,1799,975,1918,844,35,826,446,781,333,11,0,0,0
Caroline Garcia,414,256,426,175,30,3881,2267,3688,1475,192,1210,738,1242,521,86,Maria Sharapova,219,135,222,111,8,1590,987,1649,788,124,1239,778,1267,563,68,0,0,0
Simona Halep,742,427,780,329,26,4887,2831,5029,2325,114,2299,1341,2374,1146,47,Venus Williams,865,536,843,354,34,4593,2604,4607,2075,228,1147,655,1123,486,48,0,0,0
Elina Svitolina,349,219,335,137,14,3226,1880,3369,1586,100,603,358,598,260,24,Elise Mertens,422,236,417,198,23,1032,581,1025,453,51,728,394,746,327,29,0,0,0
Sloane Stephens,466,288,480,201,19,2257,1311,2309,967,64,585,352,571,256,15,Anastasija Sevastova,537,310,538,223,15,2033,1088,1880,790,64,914,516,883,385,16,0,0,0
Ashleigh Barty,413,255,433,175,26,1499,895,1404,632,122,224,127,211,93,7,Kiki Bertens,309,199,295,114,13,1390,777,1419,609,98,711,437,817,400,39,0,0,0
Simona Halep,797,465,822,374,24,4530,2621,4755,2246,110,2519,1517,2582,1233,62,Caroline Garcia,1117,684,1074,422,80,5420,3210,5198,2071,294,1781,1081,1890,794,133,0,0,0
Sloane Stephens,746,453,790,322,26,3288,1951,3217,1343,98,1172,713,1230,548,35,Elina Svitolina,605,369,596,247,24,5500,3129,5788,2639,186,1548,917,1545,677,58,0,0,0
Simona Halep,380,206,368,151,11,3066,1803,3092,1419,86,1253,734,1301,601,33,Ashleigh Barty,625,388,695,284,38,1774,1064,1666,712,138,224,127,211,93,7,0,0,0
Simona Halep,567,341,571,243,17,4049,2327,4162,1929,104,1547,945,1560,749,44,Sloane Stephens,644,393,664,270,23,2675,1616,2611,1113,80,1127,688,1137,499,37,0,0,0
Simona Halep,448,248,471,223,13,3596,2123,3713,1730,107,1683,1030,1693,818,47,Anastasija Sevastova,800,457,784,325,20,2506,1399,2397,1018,101,1481,855,1533,683,41,0,0,0
Catherine Cartan Bellis,185,89,199,90,2,1492,821,1504,656,21,518,288,461,189,7,Karolina Pliskova,877,554,826,338,115,3485,2162,3585,1524,366,749,443,703,272,61,0,0,0
Garbine Muguruza,571,361,617,268,41,3546,2044,3481,1536,179,714,423,748,364,36,Sorana Cirstea,385,210,336,130,12,1315,692,1335,610,43,1422,785,1455,645,19,0,0,0
Caroline Garcia,114,68,111,43,6,659,403,603,216,38,240,149,252,105,28,Anna Blinkova,86,51,106,41,8,362,186,346,144,9,158,69,155,59,2,0,0,0
Julia Goerges,59,41,73,36,4,754,440,744,300,53,257,133,201,84,17,Mihaela Buzarnescu,0,0,0,0,0,499,294,506,209,18,0,0,0,0,0,0,0,0
Petra Kvitova,684,450,707,311,64,4449,2754,4519,1961,271,1140,702,1165,484,59,Elina Svitolina,340,220,349,132,19,5567,3157,5872,2701,206,1643,966,1643,760,54,0,0,0
Angelique Kerber,1242,779,1310,568,27,6709,3879,7070,3207,150,1919,1113,1950,884,26,Johanna Konta,1719,1078,1790,726,110,4243,2665,4631,2058,281,618,348,633,256,32,0,0,0
Caroline Wozniacki,1044,622,1096,455,41,4551,2674,4464,2068,146,940,513,849,404,33,Monica Niculescu,827,487,804,342,13,3157,1674,3250,1512,35,631,319,649,296,3,0,0,0
Simona Halep,319,184,320,143,9,2209,1306,2239,1007,54,1197,661,1243,619,26,Catherine Cartan Bellis,235,124,260,120,5,1457,818,1480,613,27,699,391,613,262,8,0,0,0
Garbine Muguruza,1397,852,1420,594,74,5011,2922,4994,2207,251,1831,1118,1959,864,85,Caroline Garcia,916,577,891,373,73,5545,3286,5333,2181,295,1217,753,1301,585,94,0,0,0
Petra Kvitova,626,398,644,267,52,3648,2236,3804,1673,224,1277,797,1238,501,62,Julia Goerges,275,175,269,116,27,3015,1775,3015,1198,231,1722,1023,1638,657,105,0,0,0
Caroline Wozniacki,1463,896,1507,679,72,6116,3583,6008,2744,203,1124,639,1042,503,37,Angelique Kerber,1384,865,1484,664,28,7398,4283,7759,3511,164,1644,937,1682,730,22,0,0,0
Garbine Muguruza,1325,790,1353,568,73,5304,3107,5271,2313,286,2245,1380,2341,1069,108,Simona Halep,828,483,877,395,23,5561,3262,5735,2639,146,2156,1289,2179,1037,47,0,0,0
Petra Kvitova,823,524,830,350,70,5133,3129,5137,2255,299,1192,735,1176,469,51,Caroline Wozniacki,1178,714,1244,554,48,5483,3209,5470,2532,179,1323,732,1228,562,43,0,0,0
Petra Kvitova,708,454,721,294,63,4469,2761,4608,2016,274,1024,624,1049,423,44,Garbine Muguruza,964,569,909,383,47,4861,2854,4819,2122,256,1828,1099,1888,839,77,0,0,0
Monica Puig,785,453,753,280,43,3204,1841,3241,1363,155,1498,850,1441,586,54,Caroline Wozniacki,621,377,649,282,26,5772,3377,5554,2544,193,1461,806,1311,607,53,0,0,0
Qiang Wang,0,0,0,0,0,2050,1122,2125,910,68,445,269,481,173,20,Daria Saville,227,129,218,85,17,2610,1470,2562,1092,80,678,393,750,333,21,0,0,0
Katerina Siniakova,653,373,598,239,13,2798,1484,2614,1105,97,1716,985,1694,729,41,Garbine Muguruza,1149,707,1135,475,66,4578,2656,4574,2024,247,1635,985,1720,781,68,0,0,0
Anett Kontaveit,432,249,385,146,22,1728,996,1660,730,91,619,367,589,243,24,Shuai Zhang,296,150,313,135,9,2204,1172,2094,932,65,634,349,613,265,13,0,0,0
Anastasia Pavlyuchenkova,616,355,586,226,14,4816,2683,4755,2101,192,926,512,1005,441,24,Petra Kvitova,831,544,862,376,81,4930,3009,5042,2233,292,1049,646,1079,449,57,0,0,0
Ashleigh Barty,553,336,611,245,33,1633,967,1539,650,109,224,127,211,93,7,Angelique Kerber,829,534,942,402,23,3433,1986,3725,1717,60,844,464,813,326,16,0,0,0
Aryna Sabalenka,0,0,0,0,0,163,92,159,74,3,0,0,0,0,0,Sofia Kenin,0,0,0,0,0,143,76,164,77,1,0,0,0,0,0,0,0,0
Dominika Cibulkova,905,520,861,380,11,4329,2484,4317,1959,45,712,403,706,334,8,Daria Kasatkina,272,152,272,118,10,3589,1986,3645,1661,95,1301,737,1241,583,23,0,0,0
Qiang Wang,99,58,87,29,4,2153,1178,2292,1016,71,562,318,588,236,19,Monica Puig,506,284,496,188,22,2020,1176,2147,936,107,549,297,529,183,23,0,0,0
Anett Kontaveit,628,399,585,226,44,1517,852,1519,676,85,535,316,508,218,18,Katerina Siniakova,550,326,563,234,15,1935,1029,1761,747,62,862,482,882,405,17,0,0,0
Ashleigh Barty,544,344,637,265,29,1335,771,1253,530,93,260,156,243,116,10,Anastasia Pavlyuchenkova,305,176,263,102,5,2099,1159,2028,872,86,342,228,364,155,16,0,0,0
Aryna Sabalenka,100,61,96,37,6,498,291,491,204,25,0,0,0,0,0,Dominika Cibulkova,93,55,73,33,2,862,505,819,384,11,0,0,0,0,0,0,0,0
Anett Kontaveit,453,289,421,154,33,1014,581,1084,492,58,324,199,322,149,14,Qiang Wang,182,103,176,67,5,1526,862,1562,656,61,412,255,453,198,19,0,0,0
Aryna Sabalenka,0,0,0,0,0,276,165,308,135,19,0,0,0,0,0,Ashleigh Barty,72,52,84,39,5,179,104,163,57,13,0,0,0,0,0,0,0,0
Aryna Sabalenka,100,61,96,37,6,616,369,586,263,36,0,0,0,0,0,Anett Kontaveit,94,64,87,46,12,344,209,316,160,19,285,166,272,100,9,0,0,0
Simona Halep,483,297,526,229,7,2647,1539,2828,1316,63,1515,900,1581,776,32,Elise Mertens,651,354,633,286,25,1275,709,1202,545,58,949,512,921,409,34,0,0,0
Angelique Kerber,1329,850,1423,642,34,6175,3612,6388,2928,131,2065,1212,2120,916,31,Caroline Garcia,750,459,759,301,56,5616,3315,5501,2175,286,1758,1064,1846,744,126,0,0,0
Garbine Muguruza,1088,664,1103,466,61,4749,2792,4691,2105,243,1905,1149,1954,893,87,Lesia Tsurenko,829,481,833,356,15,3615,2012,3511,1561,87,992,495,953,418,12,0,0,0
Maria Sharapova,177,114,193,95,10,1177,734,1243,564,98,966,619,1038,456,67,Serena Williams,344,238,408,183,70,2043,1308,2124,961,279,838,529,805,375,90,0,0,0
Yulia Putintseva,469,273,503,188,12,3103,1655,2986,1248,53,1521,846,1642,744,17,Barbora Strycova,751,441,818,363,34,4405,2482,4313,1948,134,919,487,843,365,20,0,0,0
Madison Keys,115,75,97,31,10,210,123,195,66,15,192,123,204,99,9,Mihaela Buzarnescu,0,0,0,0,0,331,201,338,130,12,0,0,0,0,0,0,0,0
Sloane Stephens,293,177,294,128,16,2495,1453,2455,1031,60,428,283,458,217,12,Anett Kontaveit,551,336,535,216,46,1342,762,1342,522,66,747,435,745,309,31,0,0,0
Daria Kasatkina,318,174,327,137,8,4252,2330,4382,2009,107,1298,745,1268,569,23,Caroline Wozniacki,923,566,1004,438,40,5239,3046,5143,2310,173,1190,645,1077,494,48,0,0,0
Simona Halep,786,486,831,355,27,5537,3241,5674,2627,142,2524,1497,2552,1210,69,Angelique Kerber,1472,945,1532,647,31,6757,3915,7135,3237,142,2059,1215,2182,965,34,0,0,0
Garbine Muguruza,1026,605,980,406,51,3776,2202,3752,1587,199,1589,967,1664,732,81,Maria Sharapova,285,172,272,124,10,1714,1058,1785,799,150,1174,753,1221,536,88,0,0,0
Madison Keys,720,477,736,294,87,2919,1819,2875,1209,237,1035,640,1112,511,73,Yulia Putintseva,389,222,367,129,6,2748,1426,2750,1164,61,1345,750,1460,688,21,0,0,0
