name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Rafael Nadal,426,309,498,199,39,3607,2523,3902,1583,185,1437,999,1660,806,59
Marin Cilic,1262,948,1457,534,246,2663,1754,2783,1049,368,1227,840,1340,579,139
Grigor Dimitrov,654,455,648,247,92,3994,2733,4107,1580,405,761,496,770,284,63
Kyle Edmund,360,243,405,147,27,3349,2196,3358,1220,260,1184,749,1122,411,56
Tennys Sandgren,85,53,96,27,6,298,193,297,105,24,201,108,191,54,7
Hyeon Chung,0,0,0,0,0,2253,1372,2296,933,111,1206,791,1283,508,52
Tomas Berdych,1036,762,1071,342,137,2006,1320,1927,729,211,1084,722,1080,384,67
Roger Federer,918,690,1073,434,126,3482,2482,3912,1548,423,0,0,0,0,0
Philipp Kohlschreiber,452,292,469,156,42,2190,1454,2256,846,131,1331,884,1396,541,103
Juan Martin del Potro,237,160,229,73,24,3247,2184,3422,1242,368,674,436,725,284,68
Sam Querrey,1055,746,1092,360,192,2840,1890,2948,1120,465,699,472,674,231,109
Kevin Anderson,529,414,621,190,119,2419,1702,2505,885,465,1420,953,1427,514,154
Borna Coric,174,116,176,51,19,2554,1649,2507,867,174,1351,876,1280,460,99
Milos Raonic,653,477,701,225,120,1350,957,1388,493,262,1153,804,1221,444,185
John Isner,678,501,704,207,181,3418,2481,3362,984,767,1126,814,1099,294,231
Alexander Zverev,863,606,935,354,128,3830,2545,3656,1302,394,1411,933,1469,580,126
Pablo Carreno Busta,0,0,0,0,0,2892,1812,2700,989,135,2254,1405,2272,939,85
Kei Nishikori,468,318,484,186,23,1756,1128,1818,736,66,1450,910,1489,606,52
Richard Gasquet,788,511,763,280,24,2434,1578,2566,1007,105,528,339,559,237,20
David Goffin,0,0,0,0,0,4725,3072,4806,1908,373,1886,1207,1864,751,123
Dominic Thiem,606,419,665,227,57,3418,2203,3439,1277,272,1822,1214,1976,832,124
Denis Shapovalov,313,227,322,87,40,1926,1271,1935,669,204,0,0,0,0,0
Dusan Lajovic,387,273,340,91,17,1508,966,1465,518,73,1288,791,1241,448,40
Novak Djokovic,577,407,622,259,40,1307,871,1301,524,68,1288,815,1281,556,61
Fabio Fognini,257,172,312,129,24,2409,1484,2338,883,106,2162,1299,2158,859,67
Diego Schwartzman,203,113,205,79,3,2903,1806,3125,1302,110,2057,1188,2147,983,50
Marco Cecchinato,64,27,59,13,2,0,0,0,0,0,350,208,361,134,12
Stefanos Tsitsipas,90,57,100,29,11,812,522,788,255,85,176,111,171,47,10
Karen Khachanov,725,451,656,232,68,2220,1411,2264,788,258,1977,1268,1999,753,146
Robin Haase,626,398,637,226,41,2704,1730,2838,1059,292,1337,866,1360,513,125
Stan Wawrinka,188,121,181,47,17,1679,1120,1664,606,167,1385,907,1341,514,80
John Millman,79,36,70,22,5,613,385,574,212,27,222,123,236,92,11
Matthew Ebden,396,257,409,158,28,641,382,665,272,30,150,99,128,39,17
Jack Sock,252,178,247,85,29,3891,2521,3976,1461,334,692,430,746,273,36
Nick Kyrgios,92,64,95,22,15,2718,1935,2794,997,490,718,483,743,251,135
Andreas Seppi,609,420,646,224,69,1711,1072,1688,608,162,767,453,791,316,44
Marton Fucsovics,161,92,156,53,15,779,517,861,339,76,473,311,450,171,18
Pierre Hugues Herbert,418,270,432,146,40,1426,909,1450,455,180,567,371,540,165,59
Leonardo Mayer,0,0,0,0,0,739,461,776,284,70,757,525,826,293,58
Feliciano Lopez,967,687,985,298,149,1868,1215,1802,590,246,1215,773,1243,456,125
Taylor Fritz,135,84,136,32,15,1962,1271,1983,730,198,0,0,0,0,0
Pablo Cuevas,0,0,0,0,0,1291,810,1315,456,105,1891,1214,1903,713,112
Jeremy Chardy,489,347,531,150,77,1541,969,1492,544,164,775,491,871,338,67
Joao Sousa,285,186,257,74,20,1972,1239,2005,721,102,2323,1435,2321,920,148
Filip Krajinovic,0,0,0,0,0,569,378,541,191,54,0,0,0,0,0
Frances Tiafoe,321,206,343,116,44,1550,986,1565,543,134,203,121,227,93,16
Fernando Verdasco,382,253,383,125,36,2420,1548,2568,991,123,1429,895,1472,609,58
Jan Lennard Struff,372,253,394,130,45,2415,1557,2314,801,263,1762,1127,1744,641,167
Mischa Zverev,822,575,880,305,105,3181,2001,3089,1079,216,1090,680,1027,349,74
Roberto Bautista Agut,654,416,682,268,18,3312,2186,3444,1435,138,1445,903,1527,622,46
Benoit Paire,755,494,693,253,88,2615,1612,2667,1007,320,1416,838,1291,510,107
Aljaz Bedene,612,432,606,202,78,1058,661,1178,435,127,1128,750,1221,457,88
Albert Ramos,522,334,459,159,42,2285,1438,2336,810,165,2914,1791,2924,1189,96
