surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Elise Mertens,210,132,210,98,9,Aryna Sabalenka,190,119,143,56,13,5
Hard,Elina Svitolina,927,542,1024,515,36,Johanna Konta,716,439,850,377,50,24
Hard,Sloane Stephens,627,401,610,266,12,Carla Suarez Navarro,404,220,437,174,7,14
Hard,Anastasija Sevastova,765,428,706,321,17,Julia Goerges,703,406,676,263,58,20
Hard,Kiki Bertens,279,150,317,129,9,Petra Kvitova,106,75,115,54,12,6
Hard,Ashleigh Barty,797,480,757,324,65,Alize Cornet,804,439,893,385,14,22
Hard,Caroline Garcia,316,182,311,113,10,Maria Sharapova,297,168,299,137,22,9
Hard,Simona Halep,1110,647,1187,515,31,Venus Williams,909,482,911,416,52,30
Hard,Elina Svitolina,738,431,784,375,26,Elise Mertens,427,236,462,187,16,16
Hard,Sloane Stephens,705,406,680,270,15,Anastasija Sevastova,491,284,465,179,27,19
Hard,Ashleigh Barty,368,229,364,156,34,Kiki Bertens,583,318,630,280,47,15
Hard,Simona Halep,494,263,455,182,9,Caroline Garcia,613,359,616,255,30,15
Hard,Sloane Stephens,665,377,655,274,10,Elina Svitolina,958,562,1052,512,42,25
Hard,Simona Halep,955,562,964,406,29,Ashleigh Barty,824,459,732,307,50,26
Hard,Simona Halep,219,119,201,94,1,Sloane Stephens,340,182,311,122,3,9
Hard,Simona Halep,833,481,842,389,18,Anastasija Sevastova,1012,579,971,406,26,26
Hard,Catherine Cartan Bellis,631,344,591,238,7,Karolina Pliskova,890,556,975,404,84,22
Hard,Garbine Muguruza,767,422,780,361,26,Sorana Cirstea,664,343,670,313,19,22
Hard,Caroline Garcia,224,136,220,79,18,Anna Blinkova,158,71,151,49,7,6
Hard,Julia Goerges,380,225,376,153,32,Mihaela Buzarnescu,323,183,289,121,9,9
Hard,Petra Kvitova,561,345,572,233,44,Elina Svitolina,722,404,769,366,40,17
Hard,Angelique Kerber,1074,639,1189,501,28,Johanna Konta,812,529,857,349,70,26
Hard,Caroline Wozniacki,505,288,480,213,11,Monica Niculescu,410,223,374,179,0,13
Hard,Simona Halep,227,144,241,96,7,Catherine Cartan Bellis,117,62,102,30,1,6
Hard,Garbine Muguruza,1407,791,1419,646,47,Caroline Garcia,1495,863,1487,631,85,43
Hard,Petra Kvitova,564,343,616,261,36,Julia Goerges,767,444,747,280,63,19
Hard,Caroline Wozniacki,1454,872,1392,631,82,Angelique Kerber,1485,862,1657,669,35,41
Hard,Garbine Muguruza,922,522,947,442,47,Simona Halep,881,519,904,408,25,29
Hard,Petra Kvitova,626,375,666,278,38,Caroline Wozniacki,638,379,652,336,28,20
Hard,Petra Kvitova,497,321,558,243,45,Garbine Muguruza,593,328,626,285,20,20
Hard,Monica Puig,551,307,555,227,22,Caroline Wozniacki,1044,604,964,437,55,23
Hard,Qiang Wang,632,323,686,322,19,Daria Saville,653,352,590,255,22,19
Hard,Katerina Siniakova,494,238,469,185,17,Garbine Muguruza,671,367,708,318,33,16
Hard,Anett Kontaveit,471,276,468,220,26,Shuai Zhang,319,205,305,154,25,12
Hard,Anastasia Pavlyuchenkova,793,454,759,349,36,Petra Kvitova,620,383,686,296,50,22
Hard,Ashleigh Barty,904,532,795,326,64,Angelique Kerber,969,541,1102,459,15,26
Hard,Aryna Sabalenka,163,92,159,74,3,Sofia Kenin,143,76,164,77,1,4
Hard,Dominika Cibulkova,1007,553,984,434,3,Daria Kasatkina,505,262,487,218,12,20
Hard,Qiang Wang,682,364,758,337,20,Monica Puig,758,421,858,376,38,19
Hard,Anett Kontaveit,320,182,328,144,10,Katerina Siniakova,399,228,367,149,18,10
Hard,Ashleigh Barty,955,556,888,351,64,Anastasia Pavlyuchenkova,971,547,881,370,41,25
Hard,Aryna Sabalenka,96,53,86,38,5,Dominika Cibulkova,117,62,106,45,0,2
Hard,Anett Kontaveit,296,180,346,169,18,Qiang Wang,387,231,453,205,24,11
Hard,Aryna Sabalenka,207,121,223,95,15,Ashleigh Barty,179,104,163,57,13,6
Hard,Aryna Sabalenka,60,40,45,22,10,Anett Kontaveit,47,38,54,25,8,2
Clay,Simona Halep,300,172,331,164,5,Elise Mertens,212,123,226,106,12,7
Clay,Angelique Kerber,98,55,90,41,1,Caroline Garcia,57,29,78,31,0,2
Clay,Garbine Muguruza,216,131,226,107,7,Lesia Tsurenko,240,111,244,104,5,7
Clay,Maria Sharapova,0,0,0,0,0,Serena Williams,0,0,0,0,0,0
Clay,Yulia Putintseva,0,0,0,0,0,Barbora Strycova,0,0,0,0,0,0
Clay,Madison Keys,0,0,0,0,0,Mihaela Buzarnescu,0,0,0,0,0,0
Clay,Sloane Stephens,0,0,0,0,0,Anett Kontaveit,0,0,0,0,0,0
Clay,Daria Kasatkina,57,36,44,25,1,Caroline Wozniacki,300,153,241,102,12,4
Clay,Simona Halep,353,204,394,176,6,Angelique Kerber,190,94,187,68,3,7
Clay,Garbine Muguruza,270,154,281,115,6,Maria Sharapova,152,97,161,67,12,5
Clay,Madison Keys,0,0,0,0,0,Yulia Putintseva,0,0,0,0,0,0
Clay,Sloane Stephens,0,0,0,0,0,Daria Kasatkina,0,0,0,0,0,0
Clay,Simona Halep,453,252,490,222,6,Garbine Muguruza,360,202,381,165,8,10
Clay,Sloane Stephens,0,0,0,0,0,Madison Keys,0,0,0,0,0,0
Clay,Simona Halep,0,0,0,0,0,Sloane Stephens,0,0,0,0,0,0
Grass,Dominika Cibulkova,104,67,109,36,2,Su Wei Hsieh,91,52,94,43,6,2
