surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Gael Monfils,2578,1662,2608,1006,267,Miomir Kecmanovic,2656,1603,2528,872,149,68
Hard,Matteo Berrettini,2958,2011,2902,943,361,Pablo Carreno Busta,2503,1597,2448,774,135,74
Hard,Denis Shapovalov,4413,2905,4412,1460,454,Alexander Zverev,5062,3405,5394,1964,710,126
Hard,Rafael Nadal,2856,1962,2911,1155,204,Adrian Mannarino,2889,1729,2812,995,173,72
Hard,Jannik Sinner,3729,2410,3818,1472,227,Alex De Minaur,3477,2284,3504,1339,173,91
Hard,Stefanos Tsitsipas,5973,4135,6086,2132,563,Taylor Fritz,4753,3149,4667,1542,579,130
Hard,Felix Auger Aliassime,2560,1682,2713,1011,296,Marin Cilic,3032,1986,2959,992,352,75
Hard,Daniil Medvedev,1320,920,1389,555,165,Maxime Cressy,641,427,633,201,115,26
Hard,Matteo Berrettini,2831,1903,2816,894,335,Gael Monfils,2336,1464,2379,921,202,68
Hard,Rafael Nadal,3150,2182,3229,1242,233,Denis Shapovalov,4287,2861,4331,1506,504,96
Hard,Stefanos Tsitsipas,4900,3416,5188,1940,483,Jannik Sinner,4062,2633,4135,1560,250,121
Hard,Daniil Medvedev,6032,4136,6274,2498,771,Felix Auger Aliassime,4862,3216,5113,1825,596,153
Hard,Rafael Nadal,1886,1280,1866,656,115,Matteo Berrettini,2264,1498,2238,729,234,53
Hard,Daniil Medvedev,7092,4807,7445,2934,903,Stefanos Tsitsipas,7500,5211,7706,2705,724,198
Hard,Rafael Nadal,3392,2399,3643,1413,298,Daniil Medvedev,5397,3656,5710,2317,682,122
Hard,Taylor Fritz,3933,2550,3778,1237,463,Rafael Nadal,2588,1791,2759,1064,211,84
Hard,Rafael Nadal,857,609,940,344,75,Carlos Alcaraz,558,349,554,215,19,18
Hard,Taylor Fritz,5832,3864,5750,1980,710,Andrey Rublev,4836,3242,5151,2005,520,143
Hard,Carlos Alcaraz,1248,810,1294,497,59,Cameron Norrie,1565,1002,1631,608,87,37
Hard,Rafael Nadal,1682,1146,1689,608,107,Nick Kyrgios,1352,955,1291,360,259,37
Hard,Taylor Fritz,3579,2341,3517,1199,396,Miomir Kecmanovic,2282,1393,2213,796,93,76
Hard,Andrey Rublev,5532,3645,5852,2245,536,Grigor Dimitrov,4933,3168,4949,1879,344,137
Hard,Carlos Alcaraz,990,619,1002,391,29,Gael Monfils,1499,945,1575,592,135,30
Hard,Cameron Norrie,1729,1088,1753,660,113,Jenson Brooksby,853,524,871,338,25,32
Hard,Rafael Nadal,2483,1761,2690,1089,191,Reilly Opelka,3639,2516,3378,943,795,73
Hard,Nick Kyrgios,1859,1283,1814,536,386,Jannik Sinner,1971,1269,1952,702,108,48
Hard,Miomir Kecmanovic,2040,1303,2093,735,96,Matteo Berrettini,2818,1924,2914,981,322,68
Hard,Taylor Fritz,4504,3019,4441,1475,552,Alex De Minaur,3879,2489,4058,1468,179,110
Hard,Andrey Rublev,5691,3805,6068,2334,606,Hubert Hurkacz,5754,3769,5786,2032,659,154
Hard,Grigor Dimitrov,3647,2364,3649,1366,253,John Isner,3448,2512,3523,958,888,92
Hard,Carlos Alcaraz,1026,649,1095,422,33,Casper Ruud,1052,655,1017,366,61,29
Hard,Carlos Alcaraz,1223,756,1256,484,50,Hubert Hurkacz,1871,1233,1879,654,199,39
Hard,Casper Ruud,0,0,0,0,0,Francisco Cerundolo,0,0,0,0,0,0
Hard,Hubert Hurkacz,4908,3218,4838,1713,574,Daniil Medvedev,6320,4280,6707,2724,822,152
Hard,Carlos Alcaraz,716,485,745,262,28,Miomir Kecmanovic,955,623,980,356,51,21
Hard,Francisco Cerundolo,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,0
Hard,Casper Ruud,2925,1872,2780,953,191,Alexander Zverev,4872,3253,5219,1965,665,105
Hard,Daniil Medvedev,2562,1749,2696,1054,332,Jenson Brooksby,728,457,725,279,14,44
Hard,Hubert Hurkacz,2825,1841,2763,1021,323,Lloyd Harris,2314,1512,2356,786,321,70
Hard,Carlos Alcaraz,1046,654,1081,411,41,Stefanos Tsitsipas,1519,1057,1624,618,125,36
Hard,Miomir Kecmanovic,2282,1393,2213,796,93,Taylor Fritz,3579,2341,3517,1199,396,76
Hard,Jannik Sinner,1971,1269,1952,702,108,Nick Kyrgios,1859,1283,1814,536,386,48
Hard,Francisco Cerundolo,0,0,0,0,0,Frances Tiafoe,0,0,0,0,0,0
Hard,Casper Ruud,1966,1251,1871,640,152,Cameron Norrie,2655,1632,2682,1039,178,61
Hard,Alexander Zverev,678,423,740,303,77,Thanasi Kokkinakis,336,208,298,91,41,13
Clay,Stefanos Tsitsipas,2104,1400,2055,788,126,Alejandro Davidovich Fokina,1203,696,1145,471,23,39
Clay,Alejandro Davidovich Fokina,624,389,635,268,17,Grigor Dimitrov,648,411,635,238,31,17
Clay,Stefanos Tsitsipas,2158,1351,2051,811,124,Alexander Zverev,1481,919,1612,643,145,43
Clay,Alejandro Davidovich Fokina,492,276,424,155,13,Taylor Fritz,492,287,494,176,36,14
Clay,Grigor Dimitrov,67,45,63,14,4,Hubert Hurkacz,62,39,58,14,4,2
Clay,Stefanos Tsitsipas,2048,1342,1975,769,134,Diego Schwartzman,1890,1085,1924,802,22,49
Clay,Alexander Zverev,847,544,891,332,70,Jannik Sinner,962,557,973,389,21,21
Clay,Alejandro Davidovich Fokina,468,282,476,182,6,David Goffin,372,215,385,144,17,12
Clay,Taylor Fritz,283,176,276,102,20,Sebastian Korda,187,121,161,65,3,5
Clay,Grigor Dimitrov,780,502,800,306,47,Casper Ruud,1081,746,1098,426,62,25
Clay,Hubert Hurkacz,292,193,275,91,28,Albert Ramos,595,348,627,240,19,12
Clay,Diego Schwartzman,1206,707,1211,508,15,Lorenzo Musetti,1081,637,1094,421,25,30
Clay,Stefanos Tsitsipas,1518,1011,1472,590,99,Laslo Djere,1340,826,1386,553,78,39
Clay,Jannik Sinner,576,325,580,228,16,Andrey Rublev,658,394,660,266,30,16
Clay,Alexander Zverev,1593,997,1695,689,154,Pablo Carreno Busta,911,555,1041,425,30,30
Clay,Carlos Alcaraz,290,169,287,114,10,Alexander Zverev,404,237,459,188,42,9
Clay,Carlos Alcaraz,501,288,527,226,11,Novak Djokovic,753,461,744,326,44,17
Clay,Alexander Zverev,1481,919,1612,643,145,Stefanos Tsitsipas,2158,1351,2051,811,124,43
Clay,Novak Djokovic,619,413,614,276,33,Hubert Hurkacz,637,382,569,205,29,14
Clay,Carlos Alcaraz,301,185,301,117,15,Rafael Nadal,224,168,263,121,13,8
Clay,Stefanos Tsitsipas,1247,820,1227,472,84,Andrey Rublev,1453,939,1534,642,87,33
Clay,Alexander Zverev,1704,1068,1814,758,166,Felix Auger Aliassime,1279,783,1207,447,75,36
Clay,Novak Djokovic,0,0,0,0,0,Andy Murray,0,0,0,0,0,0
Clay,Hubert Hurkacz,551,349,515,178,46,Dusan Lajovic,473,303,510,198,12,13
Clay,Rafael Nadal,975,638,987,458,23,David Goffin,557,310,570,213,21,22
Clay,Carlos Alcaraz,480,271,469,201,5,Cameron Norrie,563,332,542,189,21,13
Clay,Andrey Rublev,565,358,576,209,38,Daniel Evans,441,257,452,180,9,14
Clay,Stefanos Tsitsipas,1317,874,1319,513,70,Grigor Dimitrov,1179,747,1176,438,55,31
Clay,Felix Auger Aliassime,568,336,520,177,49,Jannik Sinner,891,517,864,332,22,20
Clay,Alexander Zverev,1054,690,1177,497,87,Lorenzo Musetti,1000,601,1018,393,14,25
Clay,Novak Djokovic,1739,1099,1762,757,96,Stefanos Tsitsipas,2119,1414,2074,815,124,47
Clay,Novak Djokovic,2067,1376,2269,1009,92,Casper Ruud,1690,1120,1780,696,75,47
Clay,Stefanos Tsitsipas,2158,1351,2051,811,124,Alexander Zverev,1481,919,1612,643,145,43
Clay,Novak Djokovic,1653,1064,1686,719,82,Felix Auger Aliassime,1004,631,917,352,69,31
Clay,Casper Ruud,1452,975,1509,637,81,Denis Shapovalov,1390,861,1392,535,79,38
Clay,Stefanos Tsitsipas,1615,1017,1561,603,106,Jannik Sinner,932,537,860,344,24,28
Clay,Alexander Zverev,1373,896,1521,658,125,Cristian Garin,1435,859,1421,576,46,33
Clay,Novak Djokovic,1088,673,1144,491,51,Stan Wawrinka,431,261,378,131,27,14
Clay,Felix Auger Aliassime,251,144,251,104,8,Marcos Giron,114,58,105,38,6,4
Clay,Denis Shapovalov,861,523,907,357,54,Rafael Nadal,1159,756,1254,601,47,29
Clay,Casper Ruud,0,0,0,0,0,Jenson Brooksby,0,0,0,0,0,0
Clay,Jannik Sinner,838,507,799,310,25,Filip Krajinovic,687,436,722,289,24,19
Clay,Stefanos Tsitsipas,1291,823,1210,453,86,Karen Khachanov,964,561,907,333,41,25
Clay,Cristian Garin,842,522,771,276,35,Marin Cilic,726,459,676,239,70,18
Clay,Alexander Zverev,599,383,677,279,49,Alex De Minaur,669,375,699,259,11,15
