surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Gael Monfils,3058,1958,3097,1202,293,Miomir Kecmanovic,3010,1807,2853,981,163,78
Hard,Matteo Berrettini,4504,3058,4435,1483,525,Pablo Carreno Busta,3488,2192,3462,1130,179,104
Hard,Denis Shapovalov,5670,3679,5709,1928,542,Alexander Zverev,6328,4217,6785,2480,819,155
Hard,Rafael Nadal,4326,2904,4314,1778,247,Adrian Mannarino,3387,2028,3252,1142,196,99
Hard,Jannik Sinner,4544,2914,4613,1808,251,Alex De Minaur,4023,2651,4103,1595,204,106
Hard,Stefanos Tsitsipas,7901,5370,7953,2822,707,Taylor Fritz,5798,3812,5683,1860,660,164
Hard,Felix Auger Aliassime,3179,2103,3289,1223,365,Marin Cilic,3581,2335,3520,1188,389,89
Hard,Daniil Medvedev,1762,1199,1903,754,191,Maxime Cressy,641,427,633,201,115,31
Hard,Matteo Berrettini,4126,2772,4074,1330,477,Gael Monfils,2681,1663,2702,1036,220,86
Hard,Rafael Nadal,5048,3405,5134,2076,298,Denis Shapovalov,4949,3293,4985,1729,555,130
Hard,Stefanos Tsitsipas,6599,4566,6857,2599,615,Jannik Sinner,4957,3222,5014,1949,292,152
Hard,Daniil Medvedev,7580,5117,8022,3187,898,Felix Auger Aliassime,6371,4172,6578,2343,752,191
Hard,Rafael Nadal,3478,2291,3458,1338,169,Matteo Berrettini,3214,2103,3131,1016,318,84
Hard,Daniil Medvedev,8651,5813,9156,3604,1044,Stefanos Tsitsipas,10334,7052,10486,3777,924,249
Hard,Rafael Nadal,5858,4003,6103,2475,397,Daniil Medvedev,6236,4169,6554,2626,757,162
Hard,Taylor Fritz,4314,2769,4131,1351,489,Rafael Nadal,4632,3078,4761,1918,279,113
Hard,Rafael Nadal,1496,1027,1559,605,92,Carlos Alcaraz,558,349,554,215,19,26
Hard,Taylor Fritz,7153,4690,7055,2422,822,Andrey Rublev,6834,4565,7273,2815,652,181
Hard,Carlos Alcaraz,1248,810,1294,497,59,Cameron Norrie,1723,1108,1769,656,90,39
Hard,Rafael Nadal,2753,1830,2704,1029,137,Nick Kyrgios,1426,1011,1376,390,274,51
Hard,Taylor Fritz,4095,2691,4016,1333,447,Miomir Kecmanovic,2624,1588,2524,896,109,86
Hard,Andrey Rublev,7260,4745,7644,2942,652,Grigor Dimitrov,6114,3906,6134,2319,401,170
Hard,Carlos Alcaraz,990,619,1002,391,29,Gael Monfils,1695,1057,1749,665,140,32
Hard,Cameron Norrie,1784,1116,1808,678,114,Jenson Brooksby,853,524,871,338,25,33
Hard,Rafael Nadal,3564,2476,3740,1545,233,Reilly Opelka,4031,2759,3771,1049,859,92
Hard,Nick Kyrgios,2083,1444,2058,623,424,Jannik Sinner,2444,1572,2390,891,129,56
Hard,Miomir Kecmanovic,2583,1665,2657,931,139,Matteo Berrettini,3665,2492,3733,1259,388,84
Hard,Taylor Fritz,5510,3685,5418,1779,652,Alex De Minaur,4595,2963,4837,1774,213,129
Hard,Andrey Rublev,6878,4564,7337,2827,666,Hubert Hurkacz,6991,4560,6959,2423,755,182
Hard,Grigor Dimitrov,4163,2701,4160,1543,281,John Isner,4222,3077,4287,1171,1070,104
Hard,Carlos Alcaraz,1026,649,1095,422,33,Casper Ruud,1501,961,1480,538,79,35
Hard,Carlos Alcaraz,1223,756,1256,484,50,Hubert Hurkacz,2196,1429,2191,748,216,43
Hard,Casper Ruud,0,0,0,0,0,Francisco Cerundolo,0,0,0,0,0,0
Hard,Hubert Hurkacz,5836,3802,5710,2001,649,Daniil Medvedev,7192,4842,7675,3113,890,172
Hard,Carlos Alcaraz,716,485,745,262,28,Miomir Kecmanovic,1030,672,1050,388,52,22
Hard,Francisco Cerundolo,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,0
Hard,Casper Ruud,4254,2735,4130,1446,244,Alexander Zverev,5968,3935,6360,2402,755,133
Hard,Daniil Medvedev,2768,1893,2942,1167,352,Jenson Brooksby,801,507,813,307,20,48
