name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Gael Monfils,960,592,918,319,94,6728,4388,6734,2648,674,1658,987,1607,640,78
Matteo Berrettini,2092,1529,2242,800,332,5989,4131,6124,2068,742,2994,2051,3219,1231,295
Denis Shapovalov,1230,836,1262,445,159,8110,5431,8259,2936,916,2470,1542,2556,1001,163
Rafael Nadal,540,395,567,223,57,4896,3460,5206,2083,394,4012,2652,4087,1907,132
Jannik Sinner,284,164,284,103,11,6497,4240,6616,2598,404,2576,1565,2583,1062,90
Stefanos Tsitsipas,563,371,614,206,48,9879,6880,10278,3670,989,4844,3230,4815,1944,298
Felix Auger Aliassime,2039,1437,2102,728,316,7294,4845,7556,2726,888,2743,1707,2615,973,197
Daniil Medvedev,1553,1053,1711,673,193,10739,7402,11545,4716,1412,1780,1118,1949,792,109
Taylor Fritz,1259,852,1177,376,164,8275,5510,8158,2816,1034,2219,1395,2367,888,210
Carlos Alcaraz,251,141,250,100,8,2298,1484,2383,939,111,1488,896,1535,665,38
Andrey Rublev,969,651,1049,404,87,9827,6623,10609,4205,1050,2876,1872,3037,1232,194
Cameron Norrie,1107,731,1082,382,75,7626,4792,7757,3011,513,2322,1409,2260,864,108
Miomir Kecmanovic,1189,799,1172,389,75,5726,3637,5741,2105,333,1889,1118,1893,728,68
Grigor Dimitrov,421,283,455,155,30,6854,4452,6903,2677,513,2293,1450,2333,918,113
Casper Ruud,417,285,414,127,27,4642,3052,4569,1624,337,5640,3730,5774,2336,291
Hubert Hurkacz,1388,949,1448,508,130,7953,5230,7950,2883,917,1503,946,1458,504,106
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,1137,651,1176,478,22
Alexander Zverev,1036,712,1121,408,171,9065,6147,9809,3775,1293,3949,2533,4291,1786,377
Alejandro Davidovich Fokina,329,187,282,104,12,3552,2118,3579,1397,108,3114,1846,3070,1235,58
Diego Schwartzman,843,556,924,374,12,7329,4537,7526,3112,186,4747,2792,4827,2165,78
Novak Djokovic,1403,998,1508,620,127,7800,5454,8506,3552,773,4203,2766,4422,1991,217
Cristian Garin,969,598,919,340,72,3558,2237,3522,1196,212,5845,3621,5973,2451,293
Holger Rune,0,0,0,0,0,540,340,574,207,37,861,514,837,323,30
Marin Cilic,1263,863,1337,508,189,7088,4639,7162,2562,882,2009,1271,1969,744,181
David Goffin,1105,732,1207,480,99,6189,3831,6152,2412,467,1666,982,1814,747,89
Nick Kyrgios,787,540,809,254,140,4030,2836,4032,1214,848,219,145,213,59,35
Pablo Carreno Busta,643,434,652,206,37,6985,4552,6951,2535,397,3185,2043,3429,1385,147
Daniel Evans,1081,734,1177,446,48,7516,4772,7581,2835,389,1595,931,1536,612,44
Tommy Paul,72,45,79,26,3,4646,2914,4731,1830,274,1727,1082,1696,600,82
Borna Coric,499,346,492,158,54,4787,3153,4725,1659,453,1906,1234,2018,757,114
John Isner,750,540,739,222,168,6828,4973,6966,1978,1768,846,609,855,258,191
Karen Khachanov,1504,991,1486,498,151,8426,5552,8913,3279,768,2789,1720,2726,1053,151
Frances Tiafoe,880,582,923,312,69,8184,5251,8078,2910,603,1836,1125,1802,657,106
Lorenzo Musetti,96,57,82,18,3,1941,1183,1862,660,91,1955,1191,1952,784,46
Adrian Mannarino,1296,842,1243,424,89,6814,4267,6891,2602,452,1372,784,1193,396,48
Alex De Minaur,1431,951,1436,524,52,7767,5027,8017,3112,382,1315,760,1299,507,40
Maxime Cressy,185,128,202,77,30,1091,737,1123,373,213,0,0,0,0,0
Jenson Brooksby,347,237,371,154,16,1517,949,1549,630,51,84,49,77,20,1
Reilly Opelka,601,398,598,177,106,7439,5337,7125,1953,1817,1453,962,1401,433,266
Lloyd Harris,667,434,685,222,100,5746,3792,5863,2066,838,988,613,977,321,75
Thanasi Kokkinakis,0,0,0,0,0,1079,715,1107,402,131,0,0,0,0,0
Sebastian Korda,820,525,869,342,61,2416,1552,2390,901,186,1102,686,1070,431,52
Albert Ramos,345,205,334,98,13,3206,1976,3250,1136,140,6296,3928,6269,2517,194
Laslo Djere,707,434,670,228,60,2868,1724,2840,985,215,5598,3524,5715,2261,300
Dusan Lajovic,519,315,484,152,17,5719,3560,5611,1997,297,3840,2351,3794,1503,118
Stan Wawrinka,364,275,399,135,49,5309,3579,5305,1867,616,1608,1039,1573,592,129
Marcos Giron,556,355,476,129,32,4083,2571,4017,1427,262,1079,637,1029,391,54
Filip Krajinovic,224,138,244,81,20,6217,3943,6191,2363,414,3116,1947,3068,1220,133
Bernabe Zapata Miralles,252,157,249,73,7,517,314,498,164,21,761,415,729,311,18
Tim Van Rijthoven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Nakashima,125,81,116,36,7,2636,1777,2657,966,243,0,0,0,0,0
Jason Kubler,0,0,0,0,0,285,174,293,106,21,0,0,0,0,0
Botic Van De Zandschulp,228,154,235,82,21,1868,1203,1961,706,150,367,238,358,147,12
Jack Draper,317,205,314,97,27,43,24,53,22,3,0,0,0,0,0
Roberto Bautista Agut,1400,935,1514,593,66,7423,4910,8037,3167,372,2811,1736,2905,1196,91
Ben Shelton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corentin Moutet,573,341,617,215,15,2359,1461,2331,796,69,2302,1308,2313,979,44
Ilya Ivashka,1018,673,1020,382,105,3841,2474,4011,1518,336,776,502,765,298,48
Gilles Simon,1525,952,1506,587,77,4723,2924,4959,1918,245,1401,770,1396,556,37
