surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Ashleigh Barty,2424,1555,2507,1090,225,Amanda Anisimova,1678,949,1599,632,37,59
Hard,Jessica Pegula,2423,1425,2462,1100,109,Maria Sakkari,2792,1643,2957,1260,182,85
Hard,Barbora Krejcikova,1581,936,1531,644,107,Victoria Azarenka,1646,905,1614,765,61,51
Hard,Madison Keys,915,541,878,327,62,Paula Badosa,906,522,943,410,48,25
Hard,Danielle Collins,2555,1487,2312,970,136,Elise Mertens,3708,2129,3798,1692,196,92
Hard,Alize Cornet,2006,1126,1889,805,46,Simona Halep,2408,1371,2563,1188,84,62
Hard,Iga Swiatek,782,456,875,402,42,Sorana Cirstea,820,455,828,333,23,25
Hard,Kaia Kanepi,1264,713,1251,479,60,Aryna Sabalenka,1969,1197,1912,836,150,46
Hard,Ashleigh Barty,3430,2171,3488,1506,339,Jessica Pegula,2689,1537,2704,1223,107,87
Hard,Madison Keys,1267,721,1257,556,102,Barbora Krejcikova,1297,790,1291,557,90,37
Hard,Danielle Collins,1969,1150,1863,773,108,Alize Cornet,2133,1156,2046,878,44,58
Hard,Iga Swiatek,821,498,821,347,29,Kaia Kanepi,947,546,896,372,53,25
Hard,Ashleigh Barty,2741,1738,2795,1186,268,Madison Keys,1858,1119,1800,744,178,62
Hard,Danielle Collins,1723,1021,1554,638,102,Iga Swiatek,1856,1111,1987,858,98,51
Hard,Ashleigh Barty,3505,2202,3542,1561,318,Danielle Collins,2623,1530,2423,1014,133,90
Hard,Iga Swiatek,1788,1035,1906,832,76,Maria Sakkari,2284,1314,2343,963,126,64
Hard,Anett Kontaveit,3495,2032,3367,1469,155,Jelena Ostapenko,2679,1403,2663,1172,83,92
Hard,Iga Swiatek,1895,1109,1994,880,87,Aryna Sabalenka,3474,2068,3464,1528,252,82
Hard,Maria Sakkari,1818,1079,1945,826,111,Cori Gauff,1465,832,1491,626,71,49
Hard,Anett Kontaveit,4197,2482,4014,1811,208,Ons Jabeur,3307,1906,3339,1428,199,112
Hard,Jelena Ostapenko,2747,1466,2692,1200,96,Garbine Muguruza,3265,1909,3431,1530,181,92
Hard,Aryna Sabalenka,3171,1940,3201,1382,262,Jil Teichmann,2409,1414,2318,941,98,85
Hard,Iga Swiatek,1613,956,1694,743,83,Daria Kasatkina,1821,1005,1973,900,35,52
Hard,Cori Gauff,1301,765,1245,543,60,Paula Badosa,884,543,870,364,63,29
Hard,Maria Sakkari,2792,1643,2957,1260,182,Jessica Pegula,2423,1425,2462,1100,109,85
Hard,Ons Jabeur,1793,1040,1830,804,108,Tereza Martincova,1496,830,1475,613,25,44
Hard,Anett Kontaveit,4135,2454,3929,1748,190,Elise Mertens,4294,2438,4302,1955,205,125
Hard,Garbine Muguruza,1493,879,1564,689,82,Madison Brengle,1084,557,1120,465,1,39
Hard,Jelena Ostapenko,1566,842,1550,658,58,Barbora Krejcikova,1313,761,1322,507,66,41
Hard,Iga Swiatek,1835,1082,1896,822,79,Anett Kontaveit,2635,1580,2503,1099,133,74
Hard,Iga Swiatek,1788,1035,1906,832,76,Maria Sakkari,2284,1314,2343,963,126,64
Hard,Iga Swiatek,1409,818,1470,626,63,Simona Halep,1687,946,1711,781,61,49
Hard,Maria Sakkari,2412,1392,2462,1021,142,Paula Badosa,1662,972,1587,674,79,61
Hard,Simona Halep,2313,1321,2433,1133,86,Petra Martic,1958,1155,1960,794,103,60
Hard,Iga Swiatek,967,591,1026,435,44,Madison Keys,1047,653,1027,417,95,33
Hard,Paula Badosa,1458,874,1467,604,81,Veronika Kudermetova,1421,787,1409,556,96,44
