Player,BPQ
Gael Monfils,0.3695
Matteo Berrettini,0.4072
Denis Shapovalov,0.395
Rafael Nadal,0.4422
Jannik Sinner,0.4494
Stefanos Tsitsipas,0.4227
Felix Auger Aliassime,0.38
Daniil Medvedev,0.473
Taylor Fritz,0.3844
Carlos Alcaraz,0.4343
Andrey Rublev,0.4203
Cameron Norrie,0.4476
Miomir Kecmanovic,0.367
Grigor Dimitrov,0.4114
Casper Ruud,0.4483
Hubert Hurkacz,0.3543
Francisco Cerundolo,0.3895
Alexander Zverev,0.4164
Alejandro Davidovich Fokina,0.3939
Diego Schwartzman,0.4605
Novak Djokovic,0.4499
Cristian Garin,0.4164
Holger Rune,0.4375
Marin Cilic,0.3455
David Goffin,0.4174
Nick Kyrgios,0.321
Pablo Carreno Busta,0.4282
Daniel Evans,0.426
Tommy Paul,0.3884
Borna Coric,0.3462
John Isner,0.2745
Karen Khachanov,0.3936
Frances Tiafoe,0.3905
Lorenzo Musetti,0.3569
Adrian Mannarino,0.3723
Alex De Minaur,0.4217
Maxime Cressy,0.3421
Jenson Brooksby,0.3867
Reilly Opelka,0.3677
Lloyd Harris,0.3893
Thanasi Kokkinakis,0.3478
Sebastian Korda,0.4082
Albert Ramos,0.4091
Laslo Djere,0.3766
Dusan Lajovic,0.3689
Stan Wawrinka,0.3542
Marcos Giron,0.3895
Filip Krajinovic,0.4021
Bernabe Zapata Miralles,0.3782
Tim Van Rijthoven,
Brandon Nakashima,0.4264
Jason Kubler,
Botic Van De Zandschulp,0.3548
Jack Draper,
Roberto Bautista Agut,0.4293
Ben Shelton,
Corentin Moutet,0.3756
Ilya Ivashka,0.4028
Gilles Simon,0.4227
