name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Gael Monfils,0,0,0,0,0,579,369,570,203,72,0,0,0,0,0,Miomir Kecmanovic,0,0,0,0,0,318,177,289,94,15,164,94,184,52,4,0,0,0
Matteo Berrettini,403,279,422,163,59,749,498,669,216,119,672,473,689,238,80,Pablo Carreno Busta,96,58,69,20,5,760,473,780,266,43,673,446,710,270,32,0,0,0
Denis Shapovalov,397,271,412,157,47,1081,712,1092,359,96,532,329,514,193,44,Alexander Zverev,285,201,297,102,28,1746,1192,1927,698,254,294,188,343,139,19,0,0,0
Rafael Nadal,0,0,0,0,0,233,169,240,80,22,703,455,698,322,23,Adrian Mannarino,0,0,0,0,0,453,267,440,131,26,125,65,98,23,4,0,0,0
Jannik Sinner,132,73,139,55,2,1318,863,1383,574,68,308,195,317,123,15,Alex De Minaur,299,194,294,109,9,1263,739,1123,408,49,336,207,326,136,20,0,0,0
Stefanos Tsitsipas,0,0,0,0,0,1024,691,1055,388,94,1163,797,1128,437,72,Taylor Fritz,144,94,117,23,13,2045,1338,1973,668,242,390,225,398,156,27,0,0,0
Felix Auger Aliassime,69,55,91,37,13,1113,729,1242,457,129,422,258,407,153,18,Marin Cilic,219,140,248,96,19,994,650,992,359,139,348,211,350,117,36,0,0,0
Daniil Medvedev,114,85,153,61,20,586,395,608,244,74,0,0,0,0,0,Maxime Cressy,81,53,73,27,16,464,311,463,144,88,0,0,0,0,0,0,0,0
Matteo Berrettini,280,187,277,104,31,669,460,595,178,110,475,308,461,163,37,Gael Monfils,0,0,0,0,0,396,260,426,184,46,135,77,129,53,12,0,0,0
Rafael Nadal,0,0,0,0,0,235,166,260,111,20,774,483,766,347,24,Denis Shapovalov,174,110,177,52,7,770,501,770,253,66,71,46,62,25,2,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,2029,1365,2079,756,193,1188,791,1102,394,75,Jannik Sinner,0,0,0,0,0,1792,1154,1799,681,120,886,524,880,371,30,0,0,0
Daniil Medvedev,511,350,560,232,59,1879,1309,1999,802,258,346,219,338,110,28,Felix Auger Aliassime,559,383,598,204,75,1645,1106,1705,610,220,381,234,371,146,26,0,0,0
Rafael Nadal,0,0,0,0,0,305,222,340,126,28,945,605,906,386,31,Matteo Berrettini,310,214,296,102,42,545,351,470,139,66,436,291,421,127,36,0,0,0
Daniil Medvedev,477,323,541,219,53,2579,1763,2737,1100,334,484,324,540,224,42,Stefanos Tsitsipas,78,51,103,33,15,1737,1176,1745,635,164,1404,956,1368,523,87,0,0,0
Rafael Nadal,0,0,0,0,0,223,161,236,80,21,1511,964,1509,663,51,Daniil Medvedev,133,97,178,79,16,1635,1094,1781,729,209,180,119,190,67,15,0,0,0
Taylor Fritz,144,94,117,23,13,1208,790,1118,360,149,64,36,77,29,4,Rafael Nadal,0,0,0,0,0,82,61,104,46,7,905,550,910,399,29,0,0,0
Rafael Nadal,0,0,0,0,0,233,169,240,80,22,759,499,756,338,25,Carlos Alcaraz,0,0,0,0,0,523,342,539,194,19,49,34,55,26,0,0,0,0
Taylor Fritz,260,174,242,67,29,1927,1254,1847,661,228,438,254,448,162,28,Andrey Rublev,78,54,85,36,6,952,623,980,373,120,942,616,1007,391,56,0,0,0
Carlos Alcaraz,0,0,0,0,0,1003,664,1003,386,42,616,368,656,281,20,Cameron Norrie,305,213,317,107,24,1272,810,1350,533,76,507,303,466,157,19,0,0,0
Rafael Nadal,0,0,0,0,0,233,169,240,80,22,312,212,317,131,14,Nick Kyrgios,0,0,0,0,0,149,96,137,33,24,0,0,0,0,0,0,0,0
Taylor Fritz,0,0,0,0,0,573,381,627,229,78,165,105,193,71,15,Miomir Kecmanovic,159,98,159,57,10,382,234,376,141,17,225,132,277,109,5,0,0,0
Andrey Rublev,252,172,258,93,18,1546,1017,1628,626,155,647,404,641,259,43,Grigor Dimitrov,0,0,0,0,0,1302,837,1339,503,93,443,272,452,183,13,0,0,0
Carlos Alcaraz,0,0,0,0,0,677,424,725,272,25,264,170,294,129,14,Gael Monfils,0,0,0,0,0,736,451,806,316,80,359,197,335,137,22,0,0,0
Cameron Norrie,61,42,64,30,3,648,421,667,279,41,55,28,55,18,1,Jenson Brooksby,0,0,0,0,0,771,478,794,315,25,84,49,77,20,1,0,0,0
Rafael Nadal,0,0,0,0,0,314,223,321,109,30,795,530,809,384,31,Reilly Opelka,0,0,0,0,0,725,473,638,156,121,130,98,110,32,36,0,0,0
Nick Kyrgios,245,178,266,91,52,393,258,400,118,67,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,243,162,221,80,22,290,192,315,128,15,0,0,0
Miomir Kecmanovic,159,98,159,57,10,388,241,387,137,14,301,163,335,141,4,Matteo Berrettini,298,200,280,96,43,394,257,382,134,48,364,253,407,147,48,0,0,0
Taylor Fritz,455,302,423,132,53,1212,808,1203,446,129,168,90,134,48,9,Alex De Minaur,308,207,315,115,9,894,534,865,315,44,78,48,70,32,1,0,0,0
Andrey Rublev,78,54,85,36,6,1261,796,1278,479,123,225,133,220,81,5,Hubert Hurkacz,229,159,242,86,22,1581,1050,1642,600,222,154,98,163,50,11,0,0,0
Grigor Dimitrov,0,0,0,0,0,731,475,756,304,58,69,44,76,25,3,John Isner,0,0,0,0,0,388,263,355,91,97,360,261,392,109,97,0,0,0
Carlos Alcaraz,82,41,64,16,2,1356,858,1427,547,58,176,107,162,71,11,Casper Ruud,57,31,48,14,2,848,548,841,297,47,562,364,579,243,26,0,0,0
Carlos Alcaraz,82,41,64,16,2,1338,845,1382,551,54,316,207,351,157,13,Hubert Hurkacz,403,265,408,127,31,1443,976,1555,566,205,216,130,202,57,15,0,0,0
Casper Ruud,0,0,0,0,0,114,74,115,40,7,401,286,437,190,29,Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,551,327,567,247,13,0,0,0
Hubert Hurkacz,248,164,240,69,16,1909,1253,1957,740,248,216,130,202,57,15,Daniil Medvedev,69,49,96,38,10,2205,1514,2412,1009,296,427,272,468,189,26,0,0,0
Carlos Alcaraz,0,0,0,0,0,470,341,499,179,28,126,85,144,67,8,Miomir Kecmanovic,0,0,0,0,0,502,315,530,181,34,372,223,402,174,14,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,368,214,389,164,8,Jannik Sinner,0,0,0,0,0,44,34,49,26,8,220,146,248,100,12,0,0,0
Casper Ruud,107,71,99,32,6,1207,783,1143,413,80,762,489,804,302,39,Alexander Zverev,375,263,424,168,50,2173,1491,2368,859,304,374,243,377,157,25,0,0,0
Daniil Medvedev,0,0,0,0,0,1142,771,1212,483,144,214,146,237,94,20,Jenson Brooksby,0,0,0,0,0,849,522,861,349,22,84,49,77,20,1,0,0,0
Hubert Hurkacz,53,33,63,17,4,1082,706,1100,420,128,0,0,0,0,0,Lloyd Harris,223,139,235,71,34,964,638,956,324,136,111,69,97,35,12,0,0,0
Carlos Alcaraz,82,41,64,16,2,1141,728,1213,458,49,617,370,636,274,16,Stefanos Tsitsipas,78,51,103,33,15,1485,1020,1540,557,151,878,613,896,351,51,0,0,0
Miomir Kecmanovic,159,98,159,57,10,382,234,376,141,17,225,132,277,109,5,Taylor Fritz,0,0,0,0,0,573,381,627,229,78,165,105,193,71,15,0,0,0
Jannik Sinner,0,0,0,0,0,243,162,221,80,22,290,192,315,128,15,Nick Kyrgios,245,178,266,91,52,393,258,400,118,67,0,0,0,0,0,0,0,0
Francisco Cerundolo,0,0,0,0,0,0,0,0,0,0,302,167,310,123,5,Frances Tiafoe,70,43,79,25,4,277,183,297,118,33,226,136,227,88,13,0,0,0
Casper Ruud,50,40,51,18,4,1077,709,1013,348,94,1054,692,1099,439,54,Cameron Norrie,153,110,150,43,5,1452,912,1458,631,87,536,349,513,178,25,0,0,0
Alexander Zverev,0,0,0,0,0,178,110,195,81,19,142,91,138,44,11,Thanasi Kokkinakis,0,0,0,0,0,207,129,147,37,23,0,0,0,0,0,0,0,0
Stefanos Tsitsipas,0,0,0,0,0,1481,1008,1520,603,123,1295,878,1238,472,86,Alejandro Davidovich Fokina,60,34,62,36,1,960,579,983,376,39,1063,656,1038,423,11,0,0,0
Alejandro Davidovich Fokina,0,0,0,0,0,375,215,407,156,16,642,367,580,215,6,Grigor Dimitrov,115,79,125,37,4,1016,655,1009,358,77,232,153,249,100,6,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,2092,1445,2178,797,222,1333,894,1258,473,75,Alexander Zverev,323,221,334,111,37,1800,1248,1970,730,280,650,419,685,314,48,0,0,0
Alejandro Davidovich Fokina,162,97,147,53,9,634,374,658,255,33,501,292,481,190,5,Taylor Fritz,339,222,298,88,37,1993,1277,1980,701,242,255,166,308,109,21,0,0,0
Grigor Dimitrov,115,79,125,37,4,1077,690,1080,428,70,233,145,257,92,8,Hubert Hurkacz,385,281,412,153,39,1228,820,1200,428,170,38,22,39,10,2,0,0,0
Stefanos Tsitsipas,78,51,103,33,15,1473,1014,1517,561,166,854,607,854,363,49,Diego Schwartzman,68,51,93,46,0,1359,809,1376,554,30,571,342,607,231,9,0,0,0
Alexander Zverev,205,157,229,72,39,2118,1451,2321,877,310,261,164,273,97,21,Jannik Sinner,0,0,0,0,0,1902,1232,1968,776,102,496,284,502,202,17,0,0,0
Alejandro Davidovich Fokina,0,0,0,0,0,462,283,470,171,26,479,301,496,208,6,David Goffin,0,0,0,0,0,580,360,580,219,49,401,243,434,168,20,0,0,0
Taylor Fritz,116,80,125,44,16,1331,858,1261,433,154,265,160,257,104,22,Sebastian Korda,343,232,324,124,36,827,527,812,310,57,251,163,211,89,6,0,0,0
Grigor Dimitrov,115,79,125,37,4,731,483,754,271,63,330,207,368,134,11,Casper Ruud,57,31,48,14,2,803,539,764,262,59,440,302,492,195,27,0,0,0
