surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Gael Monfils,399,257,409,158,52,Miomir Kecmanovic,318,177,289,94,15,9
Hard,Matteo Berrettini,1111,714,999,335,140,Pablo Carreno Busta,541,332,517,158,24,21
Hard,Denis Shapovalov,1267,823,1267,418,113,Alexander Zverev,1581,1089,1696,577,228,36
Hard,Rafael Nadal,488,337,496,192,31,Adrian Mannarino,175,100,167,48,7,7
Hard,Jannik Sinner,1185,776,1213,494,69,Alex De Minaur,1119,681,1035,396,50,29
Hard,Stefanos Tsitsipas,1394,958,1405,506,114,Taylor Fritz,1507,1004,1438,468,180,34
Hard,Felix Auger Aliassime,663,439,752,285,81,Marin Cilic,897,573,917,344,116,20
Hard,Daniil Medvedev,655,444,704,282,84,Maxime Cressy,464,311,463,144,88,14
Hard,Matteo Berrettini,1141,745,1020,326,138,Gael Monfils,183,115,172,73,22,16
Hard,Rafael Nadal,296,205,321,142,22,Denis Shapovalov,312,185,313,95,20,8
Hard,Stefanos Tsitsipas,2035,1392,2114,778,174,Jannik Sinner,1675,1085,1638,621,111,46
Hard,Daniil Medvedev,1557,1070,1659,669,199,Felix Auger Aliassime,1902,1262,2004,718,237,47
Hard,Rafael Nadal,273,186,256,79,17,Matteo Berrettini,64,43,59,13,6,4
Hard,Daniil Medvedev,1945,1343,2075,815,243,Stefanos Tsitsipas,2139,1482,2163,765,192,57
Hard,Rafael Nadal,345,239,356,125,23,Daniil Medvedev,189,125,203,72,22,6
Hard,Taylor Fritz,214,135,188,62,24,Rafael Nadal,215,151,240,113,14,6
Hard,Rafael Nadal,488,337,496,192,31,Carlos Alcaraz,244,154,252,99,8,7
Hard,Taylor Fritz,1478,953,1419,491,167,Andrey Rublev,1318,880,1384,520,131,34
Hard,Carlos Alcaraz,683,460,691,262,33,Cameron Norrie,795,524,836,323,40,20
Hard,Rafael Nadal,488,337,496,192,31,Nick Kyrgios,41,24,50,12,8,7
Hard,Taylor Fritz,267,184,324,135,29,Miomir Kecmanovic,382,234,376,141,17,8
Hard,Andrey Rublev,1685,1083,1774,671,146,Grigor Dimitrov,1291,826,1313,493,87,42
Hard,Carlos Alcaraz,418,276,455,168,15,Gael Monfils,539,317,577,216,49,12
Hard,Cameron Norrie,648,421,667,279,41,Jenson Brooksby,565,355,592,222,16,17
Hard,Rafael Nadal,569,391,577,221,39,Reilly Opelka,437,282,368,91,71,10
Hard,Nick Kyrgios,241,151,231,63,37,Jannik Sinner,333,218,286,109,28,8
Hard,Miomir Kecmanovic,244,159,242,70,7,Matteo Berrettini,193,130,206,80,18,6
Hard,Taylor Fritz,1453,961,1428,501,172,Alex De Minaur,997,614,1011,386,42,31
Hard,Andrey Rublev,1270,800,1318,494,122,Hubert Hurkacz,1509,1011,1520,540,203,38
Hard,Grigor Dimitrov,594,385,599,222,48,John Isner,547,379,553,137,129,16
Hard,Carlos Alcaraz,804,500,851,335,24,Casper Ruud,778,505,776,277,45,23
Hard,Carlos Alcaraz,1001,613,1017,402,39,Hubert Hurkacz,918,598,985,363,119,23
Hard,Casper Ruud,0,0,0,0,0,Francisco Cerundolo,0,0,0,0,0,0
Hard,Hubert Hurkacz,1530,1014,1576,583,197,Daniil Medvedev,1981,1332,2172,887,256,50
Hard,Carlos Alcaraz,282,216,313,111,18,Miomir Kecmanovic,381,248,402,143,26,7
Hard,Francisco Cerundolo,0,0,0,0,0,Jannik Sinner,0,0,0,0,0,0
Hard,Casper Ruud,1193,758,1131,407,73,Alexander Zverev,1911,1287,2041,727,262,41
Hard,Daniil Medvedev,1215,826,1300,523,154,Jenson Brooksby,643,399,659,256,13,25
Hard,Hubert Hurkacz,794,514,829,321,84,Lloyd Harris,964,638,956,324,136,25
Hard,Carlos Alcaraz,931,586,981,357,37,Stefanos Tsitsipas,1148,788,1168,430,83,27
Hard,Miomir Kecmanovic,382,234,376,141,17,Taylor Fritz,267,184,324,135,29,8
Hard,Jannik Sinner,333,218,286,109,28,Nick Kyrgios,241,151,231,63,37,8
Hard,Francisco Cerundolo,0,0,0,0,0,Frances Tiafoe,0,0,0,0,0,0
Hard,Casper Ruud,814,520,773,277,80,Cameron Norrie,629,390,633,274,43,21
Hard,Alexander Zverev,320,201,333,125,30,Thanasi Kokkinakis,207,129,147,37,23,4
Clay,Stefanos Tsitsipas,1405,916,1295,475,90,Alejandro Davidovich Fokina,659,380,602,243,5,25
Clay,Alejandro Davidovich Fokina,87,55,107,46,3,Grigor Dimitrov,213,137,210,80,9,5
