name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Gael Monfils,0,0,0,0,0,86,63,100,34,14,0,0,0,0,0,Miomir Kecmanovic,0,0,0,0,0,100,66,86,23,0,0,0,0,0,0,0,1,0
Matteo Berrettini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Shapovalov,0,0,0,0,0,116,81,113,28,5,0,0,0,0,0,Alexander Zverev,0,0,0,0,0,113,85,116,35,15,0,0,0,0,0,0,1,0
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adrian Mannarino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannik Sinner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alex De Minaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefanos Tsitsipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taylor Fritz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Auger Aliassime,72,42,71,20,4,0,0,0,0,0,0,0,0,0,0,Marin Cilic,71,51,72,30,7,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniil Medvedev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maxime Cressy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Berrettini,0,0,0,0,0,60,37,66,34,6,0,0,0,0,0,Gael Monfils,0,0,0,0,0,66,32,60,23,3,0,0,0,0,0,0,1,0
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,119,70,114,49,2,Denis Shapovalov,0,0,0,0,0,0,0,0,0,0,114,65,119,49,12,0,0,1
