name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Ashleigh Barty,286,183,271,124,27,524,346,548,256,67,443,293,499,213,39,Amanda Anisimova,220,118,201,94,6,594,340,559,203,21,385,201,365,173,9,0,0,0
Jessica Pegula,362,212,341,138,11,1309,782,1386,656,61,423,226,383,173,15,Maria Sakkari,32,28,48,27,7,988,602,1056,465,70,414,255,445,216,33,0,0,0
Barbora Krejcikova,192,121,189,78,11,1070,634,1028,413,63,514,298,510,239,20,Victoria Azarenka,263,157,233,106,19,927,519,908,433,32,320,170,352,173,7,0,0,0
Madison Keys,324,204,343,136,28,226,124,210,78,11,124,60,106,37,6,Paula Badosa,0,0,0,0,0,741,430,716,321,48,251,158,282,139,19,0,0,0
Danielle Collins,42,14,43,15,0,1040,594,908,373,53,64,43,52,23,7,Elise Mertens,0,0,0,0,0,670,368,715,313,42,481,278,573,268,24,0,0,0
Alize Cornet,90,52,88,39,4,613,336,609,295,18,199,103,205,95,1,Simona Halep,0,0,0,0,0,595,353,577,274,34,272,152,231,103,9,0,0,0
Iga Swiatek,176,98,190,76,8,562,358,676,322,38,404,251,373,172,10,Sorana Cirstea,85,40,39,12,3,662,397,717,306,24,234,125,233,114,5,0,0,0
Kaia Kanepi,0,0,0,0,0,517,291,464,169,30,247,130,218,85,9,Aryna Sabalenka,192,116,165,69,15,515,326,541,231,48,174,109,157,70,7,0,0,0
Ashleigh Barty,168,105,149,66,15,468,296,456,207,38,504,325,542,242,36,Jessica Pegula,242,142,250,105,7,915,558,984,445,46,100,50,99,44,4,0,0,0
Madison Keys,130,84,158,69,12,307,170,325,131,20,448,254,448,196,27,Barbora Krejcikova,0,0,0,0,0,405,230,399,173,23,385,234,424,198,17,0,0,0
Danielle Collins,0,0,0,0,0,857,489,773,317,52,165,93,155,74,5,Alize Cornet,0,0,0,0,0,612,319,602,279,9,173,83,202,108,1,0,0,0
Iga Swiatek,69,29,72,28,2,295,191,308,134,14,198,128,212,99,3,Kaia Kanepi,0,0,0,0,0,576,318,525,218,29,176,95,148,58,7,0,0,0
Ashleigh Barty,0,0,0,0,0,237,154,231,104,18,317,198,295,123,20,Madison Keys,78,49,104,42,8,58,38,78,26,8,124,60,106,37,6,0,0,0
Danielle Collins,0,0,0,0,0,1216,718,1072,453,73,56,33,50,30,8,Iga Swiatek,137,61,161,61,4,586,369,587,247,28,272,178,305,158,10,0,0,0
Ashleigh Barty,173,115,152,66,20,506,337,530,222,56,549,359,595,271,55,Danielle Collins,0,0,0,0,0,871,520,782,323,62,141,79,133,59,8,0,0,0
Iga Swiatek,0,0,0,0,0,604,361,695,303,23,475,310,472,221,8,Maria Sakkari,32,28,48,27,7,1086,621,1051,427,51,237,140,251,108,7,0,0,0
Anett Kontaveit,0,0,0,0,0,1193,709,1065,471,61,173,100,186,65,17,Jelena Ostapenko,158,96,141,67,7,692,373,729,312,19,485,254,464,198,10,0,0,0
Iga Swiatek,185,92,207,85,8,738,435,743,311,30,549,350,561,247,14,Aryna Sabalenka,513,323,454,184,52,1146,687,1200,487,100,583,352,553,247,38,0,0,0
Maria Sakkari,87,48,73,28,6,755,450,782,336,40,433,254,459,208,27,Cori Gauff,166,88,145,59,14,556,323,570,231,35,524,297,563,247,30,0,0,0
Anett Kontaveit,187,109,184,82,9,1547,927,1473,663,85,221,131,271,109,20,Ons Jabeur,505,323,568,251,41,1243,706,1247,515,76,113,73,117,50,9,0,0,0
Jelena Ostapenko,446,262,482,224,13,815,452,824,368,22,408,216,375,165,12,Garbine Muguruza,279,167,281,113,7,1516,908,1577,702,90,137,72,122,69,7,0,0,0
Aryna Sabalenka,433,282,400,169,48,756,453,803,331,67,420,248,376,153,24,Jil Teichmann,51,24,44,11,2,1030,621,1057,405,43,85,40,87,39,1,0,0,0
Iga Swiatek,207,131,247,114,12,641,411,750,347,34,311,193,305,139,3,Daria Kasatkina,354,181,361,171,12,810,466,833,364,22,463,251,499,234,14,0,0,0
Cori Gauff,151,89,152,54,16,1021,606,963,400,68,774,432,815,366,41,Paula Badosa,250,146,289,131,13,1027,614,1027,453,63,689,412,712,337,39,0,0,0
Maria Sakkari,32,28,48,27,7,988,602,1056,465,70,414,255,445,216,33,Jessica Pegula,362,212,341,138,11,1309,782,1386,656,61,423,226,383,173,15,0,0,0
Ons Jabeur,292,179,336,155,16,773,460,742,335,42,386,227,365,173,22,Tereza Martincova,263,146,245,99,10,932,508,943,409,15,141,69,152,63,1,0,0,0
Anett Kontaveit,230,131,228,102,12,1598,947,1509,662,67,291,173,298,126,14,Elise Mertens,0,0,0,0,0,1040,593,1115,519,76,584,326,664,296,17,0,0,0
Garbine Muguruza,0,0,0,0,0,349,218,382,163,25,72,36,58,20,1,Madison Brengle,147,86,184,85,0,239,124,248,105,0,0,0,0,0,0,0,0,0
Jelena Ostapenko,547,318,579,301,13,810,452,844,369,28,485,254,464,198,10,Barbora Krejcikova,192,121,189,78,11,1046,628,1029,413,43,599,344,594,265,24,0,0,0
Iga Swiatek,213,131,253,110,10,887,539,921,377,39,251,161,257,119,5,Anett Kontaveit,103,58,76,28,8,1331,823,1257,536,76,148,81,163,56,5,0,0,0
Iga Swiatek,0,0,0,0,0,604,361,695,303,23,475,310,472,221,8,Maria Sakkari,32,28,48,27,7,1086,621,1051,427,51,237,140,251,108,7,0,0,0
Iga Swiatek,0,0,0,0,0,419,257,444,197,21,310,192,323,148,3,Simona Halep,0,0,0,0,0,832,469,814,371,26,124,73,108,44,6,0,0,0
Maria Sakkari,0,0,0,0,0,1238,700,1195,496,70,447,264,456,204,22,Paula Badosa,165,91,182,73,5,1151,656,1077,465,56,149,97,205,96,7,0,0,0
Simona Halep,0,0,0,0,0,418,258,390,174,27,58,34,57,34,0,Petra Martic,112,62,106,50,3,321,173,302,122,14,223,136,232,98,12,0,0,0
Iga Swiatek,0,0,0,0,0,374,228,354,132,19,61,35,62,19,0,Madison Keys,78,49,104,42,8,170,93,153,59,8,0,0,0,0,0,0,0,0
Paula Badosa,219,125,237,101,7,786,484,795,331,52,545,323,548,260,39,Veronika Kudermetova,289,168,282,107,19,987,554,973,381,63,216,116,201,88,17,0,0,0
Maria Sakkari,87,48,73,28,6,808,455,768,318,31,308,184,294,123,16,Elena Rybakina,507,306,488,198,58,635,393,593,227,69,102,51,90,40,5,0,0,0
Simona Halep,0,0,0,0,0,656,387,677,323,28,156,92,139,64,3,Sorana Cirstea,0,0,0,0,0,546,306,605,241,15,338,195,377,182,6,0,0,0
Petra Martic,96,55,100,24,7,367,218,394,150,20,250,141,264,108,16,Liudmila Samsonova,214,131,254,100,19,431,272,433,182,38,75,36,84,38,7,0,0,0
Iga Swiatek,137,61,161,61,4,673,415,752,316,33,443,277,435,172,7,Angelique Kerber,179,113,183,78,6,895,489,877,373,17,214,107,241,106,2,0,0,0
Madison Keys,112,75,117,55,6,0,0,0,0,0,67,42,77,40,6,Harriet Dart,145,81,130,48,3,80,48,90,40,3,0,0,0,0,0,0,0,0
Paula Badosa,96,50,113,48,3,802,480,815,376,39,270,172,300,158,14,Leylah Fernandez,162,88,133,46,3,597,346,579,251,17,177,85,170,79,5,0,0,0
Veronika Kudermetova,186,108,176,60,13,1263,718,1221,480,85,463,257,368,167,17,Marketa Vondrousova,161,93,162,63,12,1068,621,1082,480,32,206,116,192,75,3,0,0,0
Maria Sakkari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Saville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elena Rybakina,0,0,0,0,0,620,409,633,255,69,102,51,90,40,5,Viktorija Golubic,283,179,309,147,3,401,224,434,202,1,95,50,70,26,0,0,0,0
Iga Swiatek,159,100,201,90,8,254,152,282,107,11,135,84,134,49,1,Naomi Osaka,0,0,0,0,0,500,310,484,199,51,52,34,77,38,6,0,0,0
Naomi Osaka,0,0,0,0,0,487,306,472,216,49,196,117,228,92,15,Belinda Bencic,142,86,125,49,8,677,415,673,285,26,74,52,65,22,4,0,0,0
Iga Swiatek,137,61,161,61,4,840,511,934,404,40,217,144,211,97,3,Jessica Pegula,61,36,59,31,2,1091,672,1196,541,49,309,162,295,131,8,0,0,0
Belinda Bencic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daria Saville,0,0,0,0,0,59,35,59,32,1,0,0,0,0,0,0,0,0
Naomi Osaka,0,0,0,0,0,332,199,313,152,25,113,68,154,68,10,Danielle Collins,42,14,43,15,0,928,546,855,383,42,60,33,59,22,1,0,0,0
Jessica Pegula,266,154,236,97,8,1169,704,1273,596,57,122,64,106,35,4,Paula Badosa,96,50,113,48,3,1060,613,1038,445,58,198,128,242,117,16,0,0,0
Iga Swiatek,116,63,135,57,6,569,351,656,296,27,304,192,320,132,5,Petra Kvitova,0,0,0,0,0,715,433,691,308,57,470,279,514,215,23,0,0,0
Belinda Bencic,0,0,0,0,0,411,235,451,186,26,107,62,93,44,1,Aliaksandra Sasnovich,62,31,59,18,3,846,448,838,354,21,0,0,0,0,0,0,0,0
Daria Saville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucia Bronzetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naomi Osaka,0,0,0,0,0,299,187,272,111,29,0,0,0,0,0,Alison Riske Amritraj,0,0,0,0,0,194,111,176,81,8,0,0,0,0,0,0,0,0
Danielle Collins,0,0,0,0,0,1278,773,1240,525,86,52,34,53,29,5,Ons Jabeur,335,218,352,158,23,864,518,900,388,50,233,138,231,104,8,0,0,0
Paula Badosa,100,62,121,55,8,69,44,69,29,2,0,0,0,0,0,Linda Fruhvirtova,0,0,0,0,0,67,34,75,33,5,98,49,107,59,0,0,0,0
Jessica Pegula,0,0,0,0,0,204,118,199,86,8,124,68,127,70,2,Anhelina Kalinina,0,0,0,0,0,151,73,159,71,5,117,59,102,45,2,0,0,0
Petra Kvitova,159,100,153,58,4,436,250,425,198,18,346,190,377,156,16,Veronika Kudermetova,0,0,0,0,0,613,351,654,276,45,247,152,239,102,19,0,0,0
Iga Swiatek,121,70,155,61,6,780,487,837,355,32,391,247,408,176,5,Cori Gauff,58,36,50,27,5,880,518,860,349,66,610,347,665,296,27,0,0,0
Ons Jabeur,271,161,276,119,23,1052,614,1139,503,59,371,218,356,172,16,Jessica Pegula,200,124,208,86,6,1340,802,1403,634,59,352,189,326,151,12,0,0,0
Jessica Pegula,61,36,59,31,2,1179,705,1221,582,49,205,127,197,91,9,Jil Teichmann,51,24,44,11,2,741,447,744,342,35,124,67,99,45,2,0,0,0
Ons Jabeur,257,166,282,131,23,674,420,746,363,36,289,178,270,121,22,Ekaterina Alexandrova,278,177,311,126,32,976,548,990,445,58,211,121,214,113,17,0,0,0
Jil Teichmann,0,0,0,0,0,365,210,375,158,16,8,3,17,7,0,Anhelina Kalinina,0,0,0,0,0,233,113,267,120,4,290,150,286,132,7,0,0,0
Jessica Pegula,362,212,341,138,11,986,582,990,439,43,41,19,46,13,2,Sara Sorribes Tormo,124,69,103,42,4,547,291,516,239,8,257,125,256,116,0,0,0,0
Ekaterina Alexandrova,72,49,76,31,6,617,354,608,262,36,108,57,119,42,5,Amanda Anisimova,0,0,0,0,0,203,116,200,84,10,277,144,280,138,4,0,0,0
Ons Jabeur,282,182,277,122,31,928,563,1040,462,48,61,40,78,42,4,Simona Halep,0,0,0,0,0,695,384,665,293,31,378,220,349,172,12,0,0,0
Jil Teichmann,0,0,0,0,0,763,457,788,319,26,304,154,279,120,7,Elena Rybakina,225,146,253,107,17,702,425,606,217,49,0,0,0,0,0,0,0,0
Anhelina Kalinina,0,0,0,0,0,89,40,94,42,1,0,0,0,0,0,Emma Raducanu,0,0,0,0,0,66,40,41,25,3,0,0,0,0,0,0,0,0
Sara Sorribes Tormo,184,98,166,77,4,730,395,708,352,3,52,27,84,31,0,Daria Kasatkina,183,105,190,88,4,812,467,899,416,25,343,188,383,176,13,0,0,0
Jessica Pegula,0,0,0,0,0,263,151,299,136,10,136,87,131,60,6,Bianca Andreescu,50,21,49,18,1,469,263,507,213,15,0,0,0,0,0,0,0,0
Ekaterina Alexandrova,72,49,76,31,6,601,337,585,240,39,0,0,0,0,0,Marie Bouzkova,0,0,0,0,0,453,243,459,192,10,0,0,0,0,0,0,0,0
Amanda Anisimova,295,162,268,113,2,155,88,176,75,6,312,176,281,145,10,Victoria Azarenka,270,159,248,116,11,475,278,504,249,19,0,0,0,0,0,0,0,0
Ons Jabeur,284,184,276,132,28,1179,681,1237,540,62,294,157,236,124,14,Belinda Bencic,180,113,160,65,14,901,554,973,385,51,303,158,260,90,11,0,0,0
Simona Halep,0,0,0,0,0,700,415,728,318,33,332,191,289,135,12,Cori Gauff,255,143,237,90,24,786,459,798,366,52,272,168,270,118,14,0,0,0
Iga Swiatek,229,136,256,104,12,665,410,752,323,29,271,186,269,138,6,Ons Jabeur,403,251,474,211,26,1058,620,1140,508,46,242,140,239,104,18,0,0,0
