name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Novak Djokovic,18,10,19,10,11,8,12,1,0,0,0,0,113,78,110,47,119,81,115,44,0,0,0,0,78,59,63,29,81,55,71,26,0,0,0,0,35,26,47,17,38,28,44,19,0,0,0,0,59,51,34,14,55,40,45,15,0,0,0,0,45,33,59,25,54,37,51,24,0,0,0,0,9,6,17,8,10,7,19,11,0,0,0,0,51,40,20,6,40,26,30,14,0,0,0,0,41,30,48,19,52,34,42,21,0,0,0,0,18,11,34,15,24,15,32,13,0,0,0,0,3,2,8,3,3,2,11,2,0,0,0,0,41,25,35,14,48,29,35,13,0,0,0,0,22,17,38,19,33,22,40,15,0,0,0,0,9,9,20,7,11,9,22,8,0,0,0,0,33,27,33,11,41,32,38,16,0,0,0,0,14,11,32,11,20,13,29,16,0,0,0,0,25,18,55,24,49,32,60,18,0,0,0,0,18,14,31,10,32,17,42,23,0,0,0,0,7,4,24,11,17,12,18,10,0,0,0,0
Jack Draper,0,0,0,0,0,0,0,0,0,0,0,0,16,9,17,3,0,0,0,0,0,0,0,0,9,4,14,3,0,0,0,0,0,0,0,0,7,5,3,1,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,10,5,5,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,11,1,0,0,0,0,0,0,0,0,8,4,4,2,0,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,9,4,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
Marcelo Tomas Barrios Vera,11,10,11,1,0,0,0,0,0,0,0,0,22,15,22,5,0,0,0,0,0,0,0,0,15,11,17,8,0,0,0,0,0,0,0,0,7,4,5,1,0,0,0,0,0,0,0,0,11,9,9,2,0,0,0,0,0,0,0,0,8,6,12,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,9,7,7,1,0,0,0,0,0,0,0,0,8,5,9,1,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,9,2,0,0,0,0,0,0,0,0,4,3,7,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,4,7,4,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,0,0,6,4,8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kevin Anderson,11,10,11,1,15,12,16,6,0,0,0,0,35,24,36,8,36,28,38,12,0,0,0,0,24,11,28,9,28,19,26,6,0,0,0,0,11,7,8,3,8,5,12,1,0,0,0,0,11,7,19,4,19,14,20,5,0,0,0,0,20,14,14,3,14,9,17,4,0,0,0,0,4,1,3,1,3,2,1,1,0,0,0,0,7,6,15,3,14,11,15,6,0,0,0,0,18,15,15,4,14,8,18,7,0,0,0,0,7,6,5,3,7,6,4,1,0,0,0,0,3,2,1,1,1,0,1,1,0,0,0,0,16,10,14,5,11,8,17,6,0,0,0,0,9,6,6,1,12,7,10,2,0,0,0,0,3,1,3,1,1,0,1,0,0,0,0,0,12,6,10,2,10,7,14,3,0,0,0,0,4,3,3,0,5,4,3,0,0,0,0,0,11,11,8,1,18,11,9,1,0,0,0,0,11,9,7,2,11,5,8,2,0,0,0,0,0,0,1,0,7,5,1,0,0,0,0,0
Andreas Seppi,0,0,0,0,7,5,7,3,0,0,0,0,33,17,33,13,58,34,59,19,0,0,0,0,17,10,20,7,34,20,40,11,0,0,0,0,16,9,13,2,24,15,19,4,0,0,0,0,10,5,13,8,20,16,29,11,0,0,0,0,16,6,18,6,29,19,26,10,0,0,0,0,7,3,2,0,9,4,4,1,0,0,0,0,5,2,5,2,16,11,18,7,0,0,0,0,11,5,20,11,23,13,27,5,0,0,0,0,13,9,8,4,14,8,13,5,0,0,0,0,4,3,0,0,5,3,1,0,0,0,0,0,8,7,11,4,18,10,29,7,0,0,0,0,15,10,15,2,18,12,13,4,0,0,0,0,7,3,4,1,9,7,6,5,0,0,0,0,11,6,17,5,20,15,16,5,0,0,0,0,8,8,5,2,13,5,5,2,0,0,0,0,22,11,19,7,14,13,15,6,0,0,0,0,11,9,12,8,13,10,9,3,0,0,0,0,11,7,7,4,1,1,6,2,0,0,0,0
Joao Sousa,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,10,0,0,0,0,0,0,0,0,10,7,10,4,0,0,0,0,0,0,0,0,10,10,10,4,0,0,0,0,0,0,0,0,7,2,6,4,0,0,0,0,0,0,0,0,13,8,10,5,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,13,7,9,4,0,0,0,0,0,0,0,0,5,2,7,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,8,5,6,1,0,0,0,0,0,0,0,0,8,6,9,4,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,9,5,6,3,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,17,10,19,9,0,0,0,0,0,0,0,0,10,3,10,2,0,0,0,0,0,0,0,0,7,3,9,2,0,0,0,0,0,0,0,0
Denis Kudla,13,7,14,7,6,6,5,1,0,0,0,0,49,33,51,20,36,24,35,10,0,0,0,0,33,19,31,14,24,11,25,10,0,0,0,0,16,7,20,6,12,7,10,5,0,0,0,0,19,10,17,1,11,4,15,4,0,0,0,0,21,13,28,11,20,13,15,4,0,0,0,0,9,6,6,4,5,2,5,2,0,0,0,0,10,6,16,6,4,3,11,6,0,0,0,0,22,10,18,8,20,14,15,6,0,0,0,0,14,5,12,4,9,3,7,0,0,0,0,0,3,2,4,1,3,3,2,0,0,0,0,0,14,11,16,5,15,11,15,8,0,0,0,0,17,16,17,5,9,9,13,3,0,0,0,0,11,7,7,5,9,6,2,0,0,0,0,0,19,16,17,5,13,7,18,4,0,0,0,0,8,3,7,5,6,5,5,0,0,0,0,0,9,6,9,4,20,12,19,9,0,0,0,0,6,5,5,1,12,9,10,4,0,0,0,0,3,2,4,3,8,6,9,3,0,0,0,0
Alejandro Davidovich Fokina,6,2,5,2,5,3,5,4,0,0,0,0,22,15,21,6,22,8,23,7,0,0,0,0,15,8,15,7,8,3,16,6,0,0,0,0,7,6,6,5,14,8,7,2,0,0,0,0,8,8,8,4,3,2,10,4,0,0,0,0,13,8,8,4,13,8,11,5,0,0,0,0,1,0,5,3,6,5,2,0,0,0,0,0,8,4,4,2,2,1,6,2,0,0,0,0,8,5,8,3,9,6,10,5,0,0,0,0,4,3,6,3,10,3,7,1,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,9,5,7,1,7,6,7,1,0,0,0,0,7,3,6,1,6,4,11,6,0,0,0,0,2,1,5,3,7,5,1,1,0,0,0,0,7,5,6,1,5,3,6,2,0,0,0,0,5,1,3,2,7,5,6,3,0,0,0,0,4,3,4,2,11,9,8,2,0,0,0,0,3,2,2,0,9,7,6,1,0,0,0,0,1,0,2,0,2,2,2,0,0,0,0,0
Cristian Garin,18,14,18,6,12,8,12,5,0,0,0,0,73,42,71,28,41,28,39,18,0,0,0,0,42,27,43,14,28,15,21,6,0,0,0,0,31,20,28,12,13,8,18,8,0,0,0,0,27,15,29,10,15,12,15,7,0,0,0,0,35,25,30,10,21,14,16,5,0,0,0,0,11,5,12,5,5,3,8,3,0,0,0,0,15,9,19,6,12,7,8,2,0,0,0,0,37,28,30,11,17,10,17,7,0,0,0,0,15,9,17,7,10,5,10,1,0,0,0,0,6,3,5,0,2,2,3,2,0,0,0,0,34,23,25,9,15,14,13,3,0,0,0,0,18,10,21,12,12,7,16,7,0,0,0,0,9,4,12,4,7,5,2,2,0,0,0,0,21,13,18,8,8,5,12,3,0,0,0,0,12,10,20,3,10,3,7,4,0,0,0,0,37,20,43,17,11,8,14,3,0,0,0,0,20,14,26,6,8,5,11,6,0,0,0,0,17,13,17,5,3,2,3,1,0,0,0,0
Bernabe Zapata Miralles,7,5,7,3,13,11,13,2,0,0,0,0,19,11,20,6,37,26,35,15,0,0,0,0,11,7,14,5,26,18,20,6,0,0,0,0,8,6,6,1,11,4,15,5,0,0,0,0,7,6,9,3,18,16,14,3,0,0,0,0,10,5,10,0,12,11,16,3,0,0,0,0,2,1,1,0,7,2,5,0,0,0,0,0,6,4,6,4,16,6,11,4,0,0,0,0,6,3,13,5,13,10,16,7,0,0,0,0,6,3,1,0,3,3,8,1,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,0,5,3,12,2,20,14,13,7,0,0,0,0,6,4,6,2,6,4,14,1,0,0,0,0,4,3,0,0,4,2,1,1,0,0,0,0,6,3,6,4,10,8,20,3,0,0,0,0,5,5,2,0,4,1,1,0,0,0,0,0,17,11,11,5,5,3,6,2,0,0,0,0,11,7,6,1,3,2,4,1,0,0,0,0,6,5,5,1,2,1,2,1,0,0,0,0
