name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Radek Stepanek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,22,8,0,0,0,0,0,0,0,0,16,10,15,7,0,0,0,0,0,0,0,0,7,3,8,2,0,0,0,0,0,0,0,0,10,5,8,2,0,0,0,0,0,0,0,0,9,7,13,6,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,5,4,6,1,0,0,0,0,0,0,0,0,12,8,9,6,0,0,0,0,0,0,0,0,6,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,1,0,0,0,0,0,0,0,0,8,6,11,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,9,6,12,3,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,9,8,4,0,0,0,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Fernando Verdasco,0,0,0,0,5,1,5,2,0,0,0,0,0,0,0,0,121,79,125,49,0,0,0,0,0,0,0,0,81,53,77,27,0,0,0,0,0,0,0,0,43,32,49,23,0,0,0,0,0,0,0,0,53,38,50,19,0,0,0,0,0,0,0,0,60,42,53,18,0,0,0,0,0,0,0,0,11,10,23,6,0,0,0,0,0,0,0,0,38,29,31,10,0,0,0,0,0,0,0,0,57,34,54,11,0,0,0,0,0,0,0,0,28,16,34,4,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,43,32,53,23,0,0,0,0,0,0,0,0,39,24,41,14,0,0,0,0,0,0,0,0,12,12,7,3,0,0,0,0,0,0,0,0,35,25,51,16,0,0,0,0,0,0,0,0,27,16,18,6,0,0,0,0,0,0,0,0,40,28,48,13,0,0,0,0,0,0,0,0,28,20,35,14,0,0,0,0,0,0,0,0,12,6,15,7,0,0,0,0
Marcos Baghdatis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,37,15,0,0,0,0,0,0,0,0,27,17,22,7,0,0,0,0,0,0,0,0,12,8,15,6,0,0,0,0,0,0,0,0,17,9,15,5,0,0,0,0,0,0,0,0,18,12,16,9,0,0,0,0,0,0,0,0,4,2,6,3,0,0,0,0,0,0,0,0,9,5,10,5,0,0,0,0,0,0,0,0,20,16,12,5,0,0,0,0,0,0,0,0,8,4,12,4,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,20,15,12,7,0,0,0,0,0,0,0,0,8,5,13,4,0,0,0,0,0,0,0,0,6,3,7,2,0,0,0,0,0,0,0,0,10,9,16,7,0,0,0,0,0,0,0,0,6,3,9,3,0,0,0,0,0,0,0,0,4,3,28,13,0,0,0,0,0,0,0,0,3,3,15,5,0,0,0,0,0,0,0,0,1,0,13,3,0,0,0,0
James Blake,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,11,5,11,6,0,0,0,0,0,0,0,0,5,2,5,2,0,0,0,0,0,0,0,0,6,1,6,2,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,4,2,6,1,0,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,5,4,2,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
David Ferrer,0,0,0,0,6,6,5,1,0,0,0,0,0,0,0,0,64,47,63,30,0,0,0,0,0,0,0,0,47,34,33,18,0,0,0,0,0,0,0,0,17,11,30,12,0,0,0,0,0,0,0,0,34,21,15,6,0,0,0,0,0,0,0,0,24,16,36,17,0,0,0,0,0,0,0,0,6,3,12,6,0,0,0,0,0,0,0,0,21,13,9,5,0,0,0,0,0,0,0,0,29,19,25,11,0,0,0,0,0,0,0,0,11,9,23,10,0,0,0,0,0,0,0,0,3,2,6,4,0,0,0,0,0,0,0,0,27,19,19,7,0,0,0,0,0,0,0,0,19,11,24,8,0,0,0,0,0,0,0,0,4,2,12,4,0,0,0,0,0,0,0,0,19,9,23,9,0,0,0,0,0,0,0,0,10,4,16,6,0,0,0,0,0,0,0,0,21,14,37,16,0,0,0,0,0,0,0,0,14,9,21,8,0,0,0,0,0,0,0,0,7,2,16,6,0,0,0,0
Ryan Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,16,2,0,0,0,0,0,0,0,0,10,4,14,5,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,4,4,9,5,0,0,0,0,0,0,0,0,8,2,7,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,0,0,0,0,0,0,2,1,10,3,0,0,0,0,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,0,0,0,0,0,0,0,0,5,4,5,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,2,5,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,13,6,8,2,0,0,0,0,0,0,0,0,6,4,6,3,0,0,0,0,0,0,0,0,7,7,2,1,0,0,0,0
Robin Soderling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,9,2,0,0,0,0,0,0,0,0,6,1,7,1,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
Lleyton Hewitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,33,64,26,0,0,0,0,0,0,0,0,34,19,38,18,0,0,0,0,0,0,0,0,29,18,27,10,0,0,0,0,0,0,0,0,19,14,20,8,0,0,0,0,0,0,0,0,33,19,35,16,0,0,0,0,0,0,0,0,11,5,10,4,0,0,0,0,0,0,0,0,14,7,12,4,0,0,0,0,0,0,0,0,24,11,27,7,0,0,0,0,0,0,0,0,19,8,22,8,0,0,0,0,0,0,0,0,6,2,4,1,0,0,0,0,0,0,0,0,18,10,24,6,0,0,0,0,0,0,0,0,21,12,21,9,0,0,0,0,0,0,0,0,13,8,11,4,0,0,0,0,0,0,0,0,20,10,18,6,0,0,0,0,0,0,0,0,17,9,16,5,0,0,0,0,0,0,0,0,35,23,25,11,0,0,0,0,0,0,0,0,23,14,14,3,0,0,0,0,0,0,0,0,12,7,11,6,0,0,0,0
Igor Andreev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,13,3,0,0,0,0,0,0,0,0,8,4,10,2,0,0,0,0,0,0,0,0,5,5,3,1,0,0,0,0,0,0,0,0,4,2,8,4,0,0,0,0,0,0,0,0,9,4,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,6,0,7,2,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,11,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,3,1,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,9,3,6,4,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,6,0,4,1,0,0,0,0
Bernard Tomic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,37,54,27,0,0,0,0,0,0,0,0,38,23,27,7,0,0,0,0,0,0,0,0,17,11,27,10,0,0,0,0,0,0,0,0,23,11,20,7,0,0,0,0,0,0,0,0,26,18,24,13,0,0,0,0,0,0,0,0,6,0,10,2,0,0,0,0,0,0,0,0,11,9,13,5,0,0,0,0,0,0,0,0,30,23,18,8,0,0,0,0,0,0,0,0,8,5,21,8,0,0,0,0,0,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,25,16,15,6,0,0,0,0,0,0,0,0,12,8,21,5,0,0,0,0,0,0,0,0,8,8,10,3,0,0,0,0,0,0,0,0,17,11,22,8,0,0,0,0,0,0,0,0,12,9,12,5,0,0,0,0,0,0,0,0,27,22,32,12,0,0,0,0,0,0,0,0,22,14,20,11,0,0,0,0,0,0,0,0,5,4,12,6,0,0,0,0
