P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Novak Djokovic,David Goffin,clay,1,2,0,15
Novak Djokovic,David Goffin,clay,1,1,15,15
Novak Djokovic,David Goffin,clay,1,1,30,15
Novak Djokovic,David Goffin,clay,1,1,40,15
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,2,0,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,2,0,15
Novak Djokovic,David Goffin,clay,1,1,15,15
Novak Djokovic,David Goffin,clay,1,1,30,15
Novak Djokovic,David Goffin,clay,1,2,30,30
Novak Djokovic,David Goffin,clay,1,1,40,30
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,2,0,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,2,30,15
Novak Djokovic,David Goffin,clay,1,2,30,30
Novak Djokovic,David Goffin,clay,1,1,40,30
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,1,15,30
Novak Djokovic,David Goffin,clay,2,1,30,30
Novak Djokovic,David Goffin,clay,2,1,40,30
Novak Djokovic,David Goffin,clay,2,2,40,40
Novak Djokovic,David Goffin,clay,2,2,40,AD
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,2,0,15
Novak Djokovic,David Goffin,clay,1,1,15,15
Novak Djokovic,David Goffin,clay,1,2,15,30
Novak Djokovic,David Goffin,clay,1,1,30,30
Novak Djokovic,David Goffin,clay,1,1,40,30
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,1,15,15
Novak Djokovic,David Goffin,clay,2,2,15,30
Novak Djokovic,David Goffin,clay,2,1,30,30
Novak Djokovic,David Goffin,clay,2,2,30,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,2,0,15
Novak Djokovic,David Goffin,clay,1,1,15,15
Novak Djokovic,David Goffin,clay,1,1,30,15
Novak Djokovic,David Goffin,clay,1,2,30,30
Novak Djokovic,David Goffin,clay,1,1,40,30
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,2,0,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,1,40,0
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,2,0,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,1,1,0
Novak Djokovic,David Goffin,clay,2,2,1,1
Novak Djokovic,David Goffin,clay,2,1,2,1
Novak Djokovic,David Goffin,clay,1,2,2,2
Novak Djokovic,David Goffin,clay,1,1,3,2
Novak Djokovic,David Goffin,clay,2,2,3,3
Novak Djokovic,David Goffin,clay,2,2,3,4
Novak Djokovic,David Goffin,clay,1,1,4,4
Novak Djokovic,David Goffin,clay,1,1,5,4
Novak Djokovic,David Goffin,clay,2,2,5,5
Novak Djokovic,David Goffin,clay,2,1,6,5
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,1,15,0
Novak Djokovic,David Goffin,clay,2,1,30,0
Novak Djokovic,David Goffin,clay,2,1,40,0
Novak Djokovic,David Goffin,clay,2,2,40,15
Novak Djokovic,David Goffin,clay,2,2,40,30
Novak Djokovic,David Goffin,clay,2,2,40,40
Novak Djokovic,David Goffin,clay,2,2,40,AD
Novak Djokovic,David Goffin,clay,2,1,40,40
Novak Djokovic,David Goffin,clay,2,1,AD,40
Novak Djokovic,David Goffin,clay,2,2,40,40
Novak Djokovic,David Goffin,clay,2,2,40,AD
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,1,40,0
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,1,15,0
Novak Djokovic,David Goffin,clay,2,2,15,15
Novak Djokovic,David Goffin,clay,2,1,30,15
Novak Djokovic,David Goffin,clay,2,1,40,15
Novak Djokovic,David Goffin,clay,2,1,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,1,40,0
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,1,15,15
Novak Djokovic,David Goffin,clay,2,2,15,30
Novak Djokovic,David Goffin,clay,2,2,15,40
Novak Djokovic,David Goffin,clay,2,1,30,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,1,40,0
Novak Djokovic,David Goffin,clay,1,1,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,1,15,15
Novak Djokovic,David Goffin,clay,2,2,15,30
Novak Djokovic,David Goffin,clay,2,1,30,30
Novak Djokovic,David Goffin,clay,2,2,30,40
Novak Djokovic,David Goffin,clay,2,2,0,0
Novak Djokovic,David Goffin,clay,1,2,0,15
Novak Djokovic,David Goffin,clay,1,2,0,30
Novak Djokovic,David Goffin,clay,1,2,0,40
Novak Djokovic,David Goffin,clay,1,2,0,0
Novak Djokovic,David Goffin,clay,2,2,0,15
Novak Djokovic,David Goffin,clay,2,2,0,30
Novak Djokovic,David Goffin,clay,2,2,0,40
Novak Djokovic,David Goffin,clay,2,1,15,40
Novak Djokovic,David Goffin,clay,2,1,30,40
Novak Djokovic,David Goffin,clay,2,1,40,40
Novak Djokovic,David Goffin,clay,2,1,AD,40
Novak Djokovic,David Goffin,clay,2,1,0,0
Novak Djokovic,David Goffin,clay,1,1,15,0
Novak Djokovic,David Goffin,clay,1,1,30,0
Novak Djokovic,David Goffin,clay,1,1,40,0
Novak Djokovic,David Goffin,clay,1,2,40,15
Novak Djokovic,David Goffin,clay,1,2,40,30
Novak Djokovic,David Goffin,clay,1,2,40,40
