P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Andy Murray,Alexander Bublik,grass,0,0,0,0
Andy Murray,Alexander Bublik,grass,1,2,0,15
Andy Murray,Alexander Bublik,grass,1,1,15,15
Andy Murray,Alexander Bublik,grass,1,2,15,30
Andy Murray,Alexander Bublik,grass,1,2,15,40
Andy Murray,Alexander Bublik,grass,1,1,30,40
Andy Murray,Alexander Bublik,grass,1,1,40,40
Andy Murray,Alexander Bublik,grass,1,1,AD,40
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,2,0,15
Andy Murray,Alexander Bublik,grass,2,2,0,30
Andy Murray,Alexander Bublik,grass,2,1,15,30
Andy Murray,Alexander Bublik,grass,2,1,30,30
Andy Murray,Alexander Bublik,grass,2,2,30,40
Andy Murray,Alexander Bublik,grass,2,2,0,0
Andy Murray,Alexander Bublik,grass,1,2,0,15
Andy Murray,Alexander Bublik,grass,1,1,15,15
Andy Murray,Alexander Bublik,grass,1,1,30,15
Andy Murray,Alexander Bublik,grass,1,1,40,15
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,1,15,0
Andy Murray,Alexander Bublik,grass,2,1,30,0
Andy Murray,Alexander Bublik,grass,2,2,30,15
Andy Murray,Alexander Bublik,grass,2,1,40,15
Andy Murray,Alexander Bublik,grass,2,2,40,30
Andy Murray,Alexander Bublik,grass,2,2,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,1,AD,40
Andy Murray,Alexander Bublik,grass,2,1,0,0
Andy Murray,Alexander Bublik,grass,1,1,15,0
Andy Murray,Alexander Bublik,grass,1,1,30,0
Andy Murray,Alexander Bublik,grass,1,2,30,15
Andy Murray,Alexander Bublik,grass,1,1,40,15
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,1,15,0
Andy Murray,Alexander Bublik,grass,2,2,15,15
Andy Murray,Alexander Bublik,grass,2,2,15,30
Andy Murray,Alexander Bublik,grass,2,1,30,30
Andy Murray,Alexander Bublik,grass,2,1,40,30
Andy Murray,Alexander Bublik,grass,2,2,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,1,AD,40
Andy Murray,Alexander Bublik,grass,2,1,0,0
Andy Murray,Alexander Bublik,grass,1,1,15,0
Andy Murray,Alexander Bublik,grass,1,1,30,0
Andy Murray,Alexander Bublik,grass,1,1,40,0
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,1,15,0
Andy Murray,Alexander Bublik,grass,2,1,30,0
Andy Murray,Alexander Bublik,grass,2,2,30,15
Andy Murray,Alexander Bublik,grass,2,1,40,15
Andy Murray,Alexander Bublik,grass,2,2,40,30
Andy Murray,Alexander Bublik,grass,2,1,0,0
Andy Murray,Alexander Bublik,grass,1,1,15,0
Andy Murray,Alexander Bublik,grass,1,1,30,0
Andy Murray,Alexander Bublik,grass,1,1,40,0
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,2,0,15
Andy Murray,Alexander Bublik,grass,2,1,15,15
Andy Murray,Alexander Bublik,grass,2,2,15,30
Andy Murray,Alexander Bublik,grass,2,2,15,40
Andy Murray,Alexander Bublik,grass,2,1,30,40
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,1,AD,40
Andy Murray,Alexander Bublik,grass,2,2,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,2,0,0
Andy Murray,Alexander Bublik,grass,1,2,0,15
Andy Murray,Alexander Bublik,grass,1,1,15,15
Andy Murray,Alexander Bublik,grass,1,1,30,15
Andy Murray,Alexander Bublik,grass,1,1,40,15
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,2,0,15
Andy Murray,Alexander Bublik,grass,2,1,15,15
Andy Murray,Alexander Bublik,grass,2,2,15,30
Andy Murray,Alexander Bublik,grass,2,2,15,40
Andy Murray,Alexander Bublik,grass,2,1,30,40
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,1,AD,40
Andy Murray,Alexander Bublik,grass,2,2,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,1,40,40
Andy Murray,Alexander Bublik,grass,2,2,40,AD
Andy Murray,Alexander Bublik,grass,2,2,0,0
Andy Murray,Alexander Bublik,grass,1,2,0,15
Andy Murray,Alexander Bublik,grass,1,1,15,15
Andy Murray,Alexander Bublik,grass,1,1,30,15
Andy Murray,Alexander Bublik,grass,1,1,40,15
Andy Murray,Alexander Bublik,grass,1,2,40,30
Andy Murray,Alexander Bublik,grass,1,2,40,40
Andy Murray,Alexander Bublik,grass,1,1,AD,40
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,2,0,15
Andy Murray,Alexander Bublik,grass,2,2,0,30
Andy Murray,Alexander Bublik,grass,2,1,15,30
Andy Murray,Alexander Bublik,grass,2,2,15,40
Andy Murray,Alexander Bublik,grass,2,2,0,0
Andy Murray,Alexander Bublik,grass,1,1,15,0
Andy Murray,Alexander Bublik,grass,1,1,30,0
Andy Murray,Alexander Bublik,grass,1,1,40,0
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,2,0,15
Andy Murray,Alexander Bublik,grass,2,1,15,15
Andy Murray,Alexander Bublik,grass,2,2,15,30
Andy Murray,Alexander Bublik,grass,2,2,15,40
Andy Murray,Alexander Bublik,grass,2,2,0,0
Andy Murray,Alexander Bublik,grass,1,2,0,15
Andy Murray,Alexander Bublik,grass,1,2,0,30
Andy Murray,Alexander Bublik,grass,1,2,0,40
Andy Murray,Alexander Bublik,grass,1,1,15,40
Andy Murray,Alexander Bublik,grass,1,1,30,40
Andy Murray,Alexander Bublik,grass,1,1,40,40
Andy Murray,Alexander Bublik,grass,1,1,AD,40
Andy Murray,Alexander Bublik,grass,1,1,0,0
Andy Murray,Alexander Bublik,grass,2,1,15,0
Andy Murray,Alexander Bublik,grass,2,2,15,15
Andy Murray,Alexander Bublik,grass,2,1,30,15
Andy Murray,Alexander Bublik,grass,2,2,30,30
Andy Murray,Alexander Bublik,grass,2,1,40,30
Andy Murray,Alexander Bublik,grass,2,2,40,40
Andy Murray,Alexander Bublik,grass,2,1,AD,40
Andy Murray,Alexander Bublik,grass,2,1,0,0
