surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Rafael Nadal,4913,3260,5063,2020,221,Kei Nishikori,3621,2241,3767,1451,127,119
Hard,Grigor Dimitrov,1340,839,1292,438,123,Roberto Bautista Agut,1213,713,1208,445,35,30
Hard,Andy Murray,229,160,250,130,21,Stephane Robert,186,98,201,70,10,6
Hard,Roger Federer,6520,4504,6869,2658,605,Jo-Wilfried Tsonga,5975,4045,5831,2065,754,173
Hard,Tomas Berdych,6532,4318,6691,2592,649,Kevin Anderson,5371,3607,5449,1863,723,165
Hard,David Ferrer,4922,3129,5049,2046,227,Florian Mayer,3541,2241,3682,1285,196,125
Hard,Stan Wawrinka,2257,1423,2264,850,187,Tommy Robredo,1173,723,1137,410,51,42
Hard,Novak Djokovic,5185,3601,5491,2442,406,Fabio Fognini,2591,1445,2376,871,89,115
Hard,Rafael Nadal,4386,2871,4511,1788,195,Grigor Dimitrov,2832,1801,2769,943,261,98
Hard,Roger Federer,6508,4511,6853,2646,620,Andy Murray,5990,3869,6070,2567,490,169
Hard,Tomas Berdych,8655,5804,8740,3276,929,David Ferrer,7658,4922,7946,3273,365,224
Hard,Stan Wawrinka,4507,2946,4699,1814,379,Novak Djokovic,7275,4942,7666,3316,534,158
Hard,Rafael Nadal,5267,3501,5480,2181,227,Roger Federer,6619,4601,7059,2718,599,161
Hard,Stan Wawrinka,5551,3612,5688,2136,499,Tomas Berdych,6849,4576,6964,2626,713,162
Hard,Stan Wawrinka,3764,2397,3857,1452,332,Rafael Nadal,4347,2880,4485,1759,191,105
Hard,Alexandr Dolgopolov,3282,2038,3346,1236,326,Fabio Fognini,2940,1665,2640,958,112,83
Hard,Milos Raonic,5204,3721,5370,1707,1078,Andy Murray,5370,3506,5518,2340,472,140
Hard,Kevin Anderson,4257,2859,4343,1472,592,Stan Wawrinka,4884,3137,4960,1871,406,114
Hard,Roger Federer,5041,3528,5385,2057,505,Tommy Haas,3505,2212,3639,1348,266,121
Hard,John Isner,4412,3110,4328,1303,792,Fernando Verdasco,3864,2473,3823,1345,257,101
Hard,Ernests Gulbis,903,549,864,312,92,Roberto Bautista Agut,1199,697,1149,414,32,27
Hard,Julien Benneteau,3514,2160,3494,1294,282,Feliciano Lopez,4198,2675,3980,1267,515,98
Hard,Novak Djokovic,7180,4839,7516,3212,520,Marin Cilic,3850,2497,3996,1522,360,145
Hard,Alexandr Dolgopolov,5276,3340,5281,1873,552,Milos Raonic,5345,3832,5576,1847,1146,147
Hard,Roger Federer,6676,4674,7198,2844,626,Kevin Anderson,5575,3739,5619,1893,776,168
Hard,John Isner,4461,3120,4429,1353,831,Ernests Gulbis,3141,2027,3268,1211,380,91
Hard,Novak Djokovic,8605,5837,9126,3935,640,Julien Benneteau,3948,2408,3871,1435,285,170
Hard,Roger Federer,7274,5012,7618,2962,665,Alexandr Dolgopolov,4862,3006,4731,1675,476,166
Hard,Novak Djokovic,8647,5835,9132,3982,625,John Isner,5603,3923,5589,1683,1006,185
Hard,Novak Djokovic,8634,5878,9199,4016,639,Roger Federer,6527,4520,6836,2685,596,215
Hard,Rafael Nadal,3627,2392,3668,1425,151,Fabio Fognini,2186,1229,2044,714,86,75
Hard,Milos Raonic,3764,2702,3876,1266,792,Benjamin Becker,2675,1675,2674,888,243,85
Hard,Alexandr Dolgopolov,4015,2524,4057,1486,401,Stan Wawrinka,4462,2937,4671,1792,421,109
Hard,Tomas Berdych,6968,4648,7117,2701,738,John Isner,6451,4573,6595,2048,1190,174
Hard,Roger Federer,7304,5112,7721,2982,685,Richard Gasquet,5832,3788,6101,2311,432,182
Hard,Kei Nishikori,4598,2859,4799,1869,161,David Ferrer,6131,3908,6324,2607,272,149
Hard,Andy Murray,6489,4224,6801,2912,561,Jo-Wilfried Tsonga,6356,4256,6174,2122,773,169
Hard,Novak Djokovic,4838,3251,5179,2176,361,Tommy Robredo,1751,1072,1661,588,91,86
Hard,Rafael Nadal,4883,3296,5274,2135,206,Milos Raonic,4697,3285,4776,1537,972,132
Hard,Tomas Berdych,7172,4749,7340,2846,707,Alexandr Dolgopolov,5814,3648,5763,2127,579,179
Hard,Kei Nishikori,3875,2394,4014,1528,128,Roger Federer,6226,4243,6551,2590,502,144
Hard,Novak Djokovic,7891,5436,8363,3614,625,Andy Murray,5225,3437,5419,2291,456,181
Hard,Rafael Nadal,5269,3487,5518,2212,225,Tomas Berdych,5937,3949,5959,2205,582,159
Hard,Novak Djokovic,7897,5371,8401,3676,595,Kei Nishikori,4599,2830,4723,1778,155,176
Hard,Novak Djokovic,7712,5261,8198,3571,568,Rafael Nadal,4760,3190,5074,2063,200,177
Clay,Rafael Nadal,3178,2093,3312,1517,121,Andreas Seppi,2304,1377,2235,858,105,72
Clay,David Ferrer,1778,1060,1831,759,42,Grigor Dimitrov,1130,676,1091,386,63,41
Clay,Stan Wawrinka,3832,2411,3778,1504,240,Nicolas Almagro,4318,2766,4440,1754,365,103
Clay,Milos Raonic,774,500,715,238,95,Tommy Robredo,874,535,777,268,36,21
Clay,Jo-Wilfried Tsonga,1712,1074,1743,680,101,Fabio Fognini,1959,1110,1890,752,30,48
Clay,Roger Federer,925,655,990,418,73,Lukas Rosol,1068,668,977,354,77,26
Clay,Guillermo Garcia Lopez,1589,908,1499,552,50,Tomas Berdych,1351,855,1266,480,90,41
