name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Rafael Nadal,0,0,0,0,0,128,88,135,56,5,78,55,78,36,1,Kei Nishikori,0,0,0,0,0,135,79,128,40,3,78,42,78,23,0,0,2,1
Grigor Dimitrov,0,0,0,0,0,53,30,48,11,7,0,0,0,0,0,Roberto Bautista Agut,0,0,0,0,0,48,37,53,23,1,0,0,0,0,0,0,1,0
Andy Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephane Robert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,137,104,145,42,17,638,448,639,225,42,166,98,129,42,2,Jo-Wilfried Tsonga,145,103,137,33,18,639,414,638,190,59,129,87,166,68,5,1,8,2
Tomas Berdych,124,81,121,43,11,368,253,376,146,32,347,238,328,115,36,Kevin Anderson,121,78,124,43,19,376,230,368,115,52,328,213,347,109,46,1,4,4
David Ferrer,0,0,0,0,0,155,101,136,52,6,0,0,0,0,0,Florian Mayer,0,0,0,0,0,136,84,155,54,12,0,0,0,0,0,0,2,0
Stan Wawrinka,0,0,0,0,0,99,58,102,38,11,70,39,84,36,1,Tommy Robredo,0,0,0,0,0,102,64,99,41,7,84,48,70,31,3,0,1,1
Novak Djokovic,86,63,102,44,11,124,89,152,72,12,40,32,40,22,3,Fabio Fognini,102,58,86,23,4,152,80,124,35,4,40,18,40,8,1,1,2,2
Rafael Nadal,0,0,0,0,0,87,56,83,33,4,87,53,71,26,2,Grigor Dimitrov,0,0,0,0,0,83,50,87,31,12,71,45,87,34,8,0,1,1
Roger Federer,209,131,244,88,21,374,237,346,117,15,0,0,0,0,0,Andy Murray,244,156,209,78,21,346,229,374,137,38,0,0,0,0,0,2,4,0
Tomas Berdych,0,0,0,0,0,218,146,240,89,28,0,0,0,0,0,David Ferrer,0,0,0,0,0,240,151,218,72,10,0,0,0,0,0,0,4,0
Stan Wawrinka,0,0,0,0,0,575,335,513,174,36,138,80,122,33,11,Novak Djokovic,0,0,0,0,0,513,339,575,240,24,122,89,138,58,9,0,5,2
Rafael Nadal,0,0,0,0,0,485,322,525,202,11,290,185,282,128,6,Roger Federer,0,0,0,0,0,525,323,485,163,43,282,154,290,105,14,0,7,3
Stan Wawrinka,0,0,0,0,0,365,245,360,144,41,88,56,79,25,5,Tomas Berdych,0,0,0,0,0,360,216,365,120,23,79,54,88,32,8,0,5,1
Stan Wawrinka,0,0,0,0,0,135,90,162,52,9,211,116,178,45,13,Rafael Nadal,0,0,0,0,0,162,110,135,45,4,178,133,211,95,12,0,2,3
Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,56,39,62,26,1,Fabio Fognini,0,0,0,0,0,0,0,0,0,0,62,36,56,17,1,0,0,1
Milos Raonic,0,0,0,0,0,198,128,186,54,27,69,51,71,25,14,Andy Murray,0,0,0,0,0,186,132,198,70,17,71,46,69,18,3,0,4,1
Kevin Anderson,0,0,0,0,0,216,140,164,44,27,0,0,0,0,0,Stan Wawrinka,0,0,0,0,0,164,120,216,76,17,0,0,0,0,0,0,2,0
Roger Federer,162,108,155,52,22,100,61,93,36,10,0,0,0,0,0,Tommy Haas,155,103,162,54,11,93,57,100,39,10,0,0,0,0,0,2,1,0
John Isner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Verdasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernests Gulbis,0,0,0,0,0,40,32,47,24,5,0,0,0,0,0,Roberto Bautista Agut,0,0,0,0,0,47,23,40,8,0,0,0,0,0,0,0,1,0
Julien Benneteau,74,51,58,7,12,179,123,154,62,17,0,0,0,0,0,Feliciano Lopez,58,51,74,23,19,154,92,179,56,14,0,0,0,0,0,1,3,0
Novak Djokovic,0,0,0,0,0,120,86,111,48,8,0,0,0,0,0,Marin Cilic,0,0,0,0,0,111,63,120,34,8,0,0,0,0,0,0,2,0
Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Milos Raonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,0,0,0,0,0,62,42,65,27,7,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,65,38,62,20,9,0,0,0,0,0,0,1,0
John Isner,0,0,0,0,0,98,69,106,39,17,93,50,73,20,6,Ernests Gulbis,0,0,0,0,0,106,67,98,29,8,73,53,93,43,11,0,1,1
Novak Djokovic,0,0,0,0,0,66,52,76,35,13,0,0,0,0,0,Julien Benneteau,0,0,0,0,0,76,41,66,14,5,0,0,0,0,0,0,1,0
Roger Federer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novak Djokovic,0,0,0,0,0,311,225,316,108,28,0,0,0,0,0,John Isner,0,0,0,0,0,316,208,311,86,41,0,0,0,0,0,0,4,0
Novak Djokovic,115,76,101,26,9,751,482,753,298,46,325,207,292,112,14,Roger Federer,101,75,115,39,12,753,455,751,269,48,292,180,325,118,33,1,8,3
Rafael Nadal,0,0,0,0,0,79,44,98,47,3,147,98,175,82,5,Fabio Fognini,0,0,0,0,0,98,51,79,35,3,175,93,147,49,3,0,1,2
Milos Raonic,52,32,63,21,5,50,40,54,20,14,0,0,0,0,0,Benjamin Becker,63,42,52,20,7,54,34,50,10,4,0,0,0,0,0,1,1,0
Alexandr Dolgopolov,0,0,0,0,0,114,64,73,15,5,95,58,77,31,11,Stan Wawrinka,0,0,0,0,0,73,58,114,50,14,77,46,95,37,4,0,1,2
Tomas Berdych,0,0,0,0,0,161,106,159,59,13,0,0,0,0,0,John Isner,0,0,0,0,0,159,100,161,55,31,0,0,0,0,0,0,2,0
Roger Federer,0,0,0,0,0,165,116,189,88,15,147,107,149,52,18,Richard Gasquet,0,0,0,0,0,189,101,165,49,9,149,97,147,40,8,0,3,2
Kei Nishikori,75,49,83,37,2,216,108,217,78,6,0,0,0,0,0,David Ferrer,83,46,75,26,5,217,139,216,108,8,0,0,0,0,0,1,3,0
Andy Murray,278,197,333,127,25,67,45,72,31,3,0,0,0,0,0,Jo-Wilfried Tsonga,333,206,278,81,31,72,41,67,22,1,0,0,0,0,0,3,1,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tommy Robredo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Nadal,0,0,0,0,0,96,78,96,37,6,42,29,57,30,4,Milos Raonic,0,0,0,0,0,96,59,96,18,12,57,27,42,13,6,0,2,1
Tomas Berdych,0,0,0,0,0,150,99,128,49,18,0,0,0,0,0,Alexandr Dolgopolov,0,0,0,0,0,128,79,150,51,13,0,0,0,0,0,0,2,0
Kei Nishikori,0,0,0,0,0,65,34,39,6,0,80,50,65,19,1,Roger Federer,0,0,0,0,0,39,33,65,31,5,65,46,80,30,7,0,1,1
Novak Djokovic,170,98,192,69,7,914,566,955,398,45,96,58,98,45,4,Andy Murray,192,123,170,72,15,955,557,914,348,52,98,53,96,38,6,2,9,1
Rafael Nadal,0,0,0,0,0,465,314,485,183,27,105,82,126,52,2,Tomas Berdych,0,0,0,0,0,485,302,465,151,52,126,74,105,23,7,0,6,2
Novak Djokovic,0,0,0,0,0,91,51,82,32,6,0,0,0,0,0,Kei Nishikori,0,0,0,0,0,82,50,91,40,4,0,0,0,0,0,0,1,0
Novak Djokovic,95,64,82,31,7,781,508,859,351,48,600,349,607,244,14,Rafael Nadal,82,51,95,31,5,859,508,781,273,30,607,363,600,251,20,1,8,7
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andreas Seppi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ferrer,0,0,0,0,0,246,153,244,107,8,70,47,63,26,2,Grigor Dimitrov,0,0,0,0,0,244,137,246,93,10,63,37,70,23,2,0,3,1
Stan Wawrinka,0,0,0,0,0,175,100,144,57,13,223,154,196,73,14,Nicolas Almagro,0,0,0,0,0,144,87,175,75,10,196,123,223,69,15,0,2,3
Milos Raonic,0,0,0,0,0,0,0,0,0,0,104,74,117,42,13,Tommy Robredo,0,0,0,0,0,0,0,0,0,0,117,75,104,30,9,0,0,1
Jo-Wilfried Tsonga,0,0,0,0,0,57,40,75,33,5,93,55,107,52,7,Fabio Fognini,0,0,0,0,0,75,42,57,17,3,107,55,93,38,0,0,1,1
Roger Federer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lukas Rosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Garcia Lopez,0,0,0,0,0,48,22,38,6,3,0,0,0,0,0,Tomas Berdych,0,0,0,0,0,38,32,48,26,3,0,0,0,0,0,0,1,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo Carreno Busta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Ferrer,0,0,0,0,0,204,123,211,95,12,697,349,718,278,8,Rafael Nadal,0,0,0,0,0,211,116,204,81,6,718,440,697,348,16,0,3,9
Stan Wawrinka,0,0,0,0,0,162,116,152,45,18,0,0,0,0,0,Milos Raonic,0,0,0,0,0,152,107,162,46,28,0,0,0,0,0,0,2,0
Roger Federer,137,104,145,42,17,638,448,639,225,42,166,98,129,42,2,Jo-Wilfried Tsonga,145,103,137,33,18,639,414,638,190,59,129,87,166,68,5,1,8,2
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,34,32,37,18,5,Guillermo Garcia Lopez,0,0,0,0,0,0,0,0,0,0,37,19,34,2,3,0,0,1
Stan Wawrinka,0,0,0,0,0,231,143,244,100,27,116,74,131,52,6,David Ferrer,0,0,0,0,0,244,144,231,88,2,131,79,116,42,4,0,3,2
Roger Federer,101,75,115,39,12,753,455,751,269,48,292,180,325,118,33,Novak Djokovic,115,76,101,26,9,751,482,753,298,46,325,207,292,112,14,1,8,3
Stan Wawrinka,0,0,0,0,0,492,287,447,140,23,83,49,77,19,5,Roger Federer,0,0,0,0,0,447,307,492,205,26,77,58,83,34,8,0,6,1
