name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Rafael Nadal,0,0,0,0,0,0,0,0,0,0,78,55,78,36,1,Kei Nishikori,0,0,0,0,0,0,0,0,0,0,78,42,78,23,0,0,0,1
Grigor Dimitrov,0,0,0,0,0,53,30,48,11,7,0,0,0,0,0,Roberto Bautista Agut,0,0,0,0,0,48,37,53,23,1,0,0,0,0,0,0,1,0
Andy Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stephane Robert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,0,0,0,0,0,158,109,175,60,6,100,53,76,20,0,Jo-Wilfried Tsonga,0,0,0,0,0,175,115,158,49,20,76,56,100,47,2,0,1,1
Tomas Berdych,124,81,121,43,11,178,121,177,72,12,133,88,135,54,15,Kevin Anderson,121,78,124,43,19,177,105,178,57,19,135,81,133,45,17,1,2,2
David Ferrer,0,0,0,0,0,62,37,60,20,1,0,0,0,0,0,Florian Mayer,0,0,0,0,0,60,40,62,25,6,0,0,0,0,0,0,1,0
Stan Wawrinka,0,0,0,0,0,99,58,102,38,11,70,39,84,36,1,Tommy Robredo,0,0,0,0,0,102,64,99,41,7,84,48,70,31,3,0,1,1
Novak Djokovic,0,0,0,0,0,124,89,152,72,12,40,32,40,22,3,Fabio Fognini,0,0,0,0,0,152,80,124,35,4,40,18,40,8,1,0,2,1
Rafael Nadal,0,0,0,0,0,87,56,83,33,4,87,53,71,26,2,Grigor Dimitrov,0,0,0,0,0,83,50,87,31,12,71,45,87,34,8,0,1,1
Roger Federer,0,0,0,0,0,171,105,157,46,5,0,0,0,0,0,Andy Murray,0,0,0,0,0,157,111,171,66,21,0,0,0,0,0,0,1,0
Tomas Berdych,0,0,0,0,0,140,96,158,55,21,0,0,0,0,0,David Ferrer,0,0,0,0,0,158,103,140,44,9,0,0,0,0,0,0,2,0
Stan Wawrinka,0,0,0,0,0,518,308,445,149,31,0,0,0,0,0,Novak Djokovic,0,0,0,0,0,445,296,518,210,20,0,0,0,0,0,0,4,0
Rafael Nadal,0,0,0,0,0,202,143,236,96,6,42,30,53,29,1,Roger Federer,0,0,0,0,0,236,140,202,59,14,53,24,42,12,3,0,3,1
Stan Wawrinka,0,0,0,0,0,221,153,217,81,26,88,56,79,25,5,Tomas Berdych,0,0,0,0,0,217,136,221,68,19,79,54,88,32,8,0,3,1
Stan Wawrinka,0,0,0,0,0,135,90,162,52,9,141,74,117,29,8,Rafael Nadal,0,0,0,0,0,162,110,135,45,4,117,88,141,67,8,0,2,2
Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fabio Fognini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milos Raonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andy Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Anderson,0,0,0,0,0,120,77,82,21,21,0,0,0,0,0,Stan Wawrinka,0,0,0,0,0,82,61,120,43,14,0,0,0,0,0,0,1,0
Roger Federer,78,56,85,31,15,100,61,93,36,10,0,0,0,0,0,Tommy Haas,85,54,78,22,6,93,57,100,39,10,0,0,0,0,0,1,1,0
John Isner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Verdasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernests Gulbis,0,0,0,0,0,40,32,47,24,5,0,0,0,0,0,Roberto Bautista Agut,0,0,0,0,0,47,23,40,8,0,0,0,0,0,0,0,1,0
Julien Benneteau,74,51,58,7,12,48,31,48,26,6,0,0,0,0,0,Feliciano Lopez,58,51,74,23,19,48,22,48,17,3,0,0,0,0,0,1,1,0
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marin Cilic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Milos Raonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,0,0,0,0,0,62,42,65,27,7,0,0,0,0,0,Kevin Anderson,0,0,0,0,0,65,38,62,20,9,0,0,0,0,0,0,1,0
John Isner,0,0,0,0,0,98,69,106,39,17,93,50,73,20,6,Ernests Gulbis,0,0,0,0,0,106,67,98,29,8,73,53,93,43,11,0,1,1
Novak Djokovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julien Benneteau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Federer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexandr Dolgopolov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novak Djokovic,0,0,0,0,0,200,145,204,71,20,0,0,0,0,0,John Isner,0,0,0,0,0,204,133,200,55,21,0,0,0,0,0,0,3,0
Novak Djokovic,0,0,0,0,0,193,123,192,80,16,0,0,0,0,0,Roger Federer,0,0,0,0,0,192,112,193,70,10,0,0,0,0,0,0,2,0
