name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Rafael Nadal,119,73,121,40,6,2743,1880,2930,1196,121,2733,1854,2877,1274,94
Grigor Dimitrov,393,281,433,153,55,2604,1744,2622,933,328,1222,784,1205,475,86
Andy Murray,1076,748,1155,479,114,2500,1641,2480,1058,208,440,265,461,180,31
Roger Federer,484,358,508,200,56,3141,2132,3318,1307,253,1221,832,1304,532,90
Tomas Berdych,708,503,776,287,83,3827,2589,4005,1587,425,1264,792,1229,467,95
David Ferrer,666,451,751,280,39,3929,2489,4079,1732,172,1963,1241,2034,925,54
Stan Wawrinka,438,290,413,142,45,2929,1936,3031,1129,277,2369,1576,2495,990,166
Novak Djokovic,678,482,820,334,80,3888,2736,4395,1914,334,1270,850,1368,587,62
Alexandr Dolgopolov,576,376,548,198,64,2084,1305,2072,750,191,729,458,807,303,64
Milos Raonic,311,211,313,91,58,3268,2372,3575,1227,690,1019,688,1038,371,135
Kevin Anderson,351,243,375,140,70,3218,2205,3366,1153,451,1232,819,1299,504,130
John Isner,453,337,478,157,101,3349,2400,3479,1082,710,1297,898,1305,420,168
Ernests Gulbis,466,309,408,125,65,2273,1504,2284,899,233,1176,757,1202,482,92
Julien Benneteau,565,376,545,181,46,2704,1691,2896,1152,233,783,474,823,297,35
Kei Nishikori,410,264,453,179,7,2502,1557,2550,1044,110,875,549,929,396,23
Jo-Wilfried Tsonga,505,354,480,157,68,2577,1735,2522,895,289,1129,760,1119,436,72
Guillermo Garcia Lopez,427,274,420,144,24,1053,640,1063,397,66,1690,988,1695,681,49
Roberto Bautista Agut,486,321,484,177,18,2139,1297,2121,819,60,1122,676,1104,466,28
Santiago Giraldo,391,259,379,123,36,1577,983,1579,551,95,979,593,986,361,28
Tommy Haas,628,445,676,238,68,3031,1999,3136,1190,247,1650,1076,1567,592,100
Jeremy Chardy,526,365,576,192,66,2106,1332,2042,718,222,1376,883,1368,507,101
Gael Monfils,212,144,207,75,28,2302,1480,2328,854,267,1870,1176,2000,816,129
Marin Cilic,516,356,526,186,64,1564,1059,1644,638,190,701,460,794,317,47
Nick Kyrgios,0,0,0,0,0,95,53,83,22,8,220,142,191,45,13
Feliciano Lopez,869,637,915,313,149,2199,1406,2058,688,296,1012,640,985,351,101
Tommy Robredo,265,191,249,80,21,1543,975,1586,594,117,2622,1657,2752,1124,114
Fabio Fognini,385,228,370,142,22,1891,1083,1791,707,69,2768,1708,2869,1225,92
Gilles Simon,471,295,428,145,26,2872,1741,2855,1137,147,1451,857,1397,588,63
Mikhail Youzhny,788,543,787,279,45,2879,1797,2728,1035,158,1662,1014,1619,651,76
Stephane Robert,209,128,228,92,9,176,117,203,79,11,0,0,0,0,0
Florian Mayer,264,171,276,101,7,1965,1238,2008,699,132,1652,996,1561,621,92
Fernando Verdasco,692,490,761,286,80,1852,1181,1865,677,120,1676,1073,1860,724,96
Benjamin Becker,393,259,445,157,37,1808,1133,1806,604,163,161,88,135,36,11
Richard Gasquet,539,382,622,236,50,4095,2691,4385,1731,331,1023,662,1013,404,51
Andreas Seppi,786,498,738,269,38,2688,1701,2819,1050,183,1193,703,1207,489,66
Lukas Rosol,371,245,350,112,35,2371,1463,2260,812,231,848,536,821,297,53
Pablo Carreno Busta,0,0,0,0,0,274,167,299,112,14,786,443,696,269,25
Jarkko Nieminen,325,218,335,104,11,3091,1924,3044,1166,142,1265,752,1176,449,33
Lukasz Kubot,442,292,472,182,51,1243,740,1213,449,94,580,322,566,221,25
Jurgen Melzer,712,455,689,249,53,2513,1575,2596,974,138,571,313,589,189,23
Ivan Dodig,865,590,857,298,118,2793,1809,2799,1052,336,805,506,775,293,66
Philipp Kohlschreiber,376,258,410,142,45,2308,1552,2348,807,227,1668,1103,1670,622,87
Dusan Lajovic,0,0,0,0,0,0,0,0,0,0,277,158,283,95,11
Marcel Granollers,146,88,129,42,11,1989,1233,2050,737,119,1625,997,1668,684,76
Leonardo Mayer,404,249,394,140,28,624,380,644,227,32,1175,720,1158,408,75
Jerzy Janowicz,685,494,727,249,119,1941,1245,1905,673,240,1112,726,1110,379,103
Steve Johnson,181,115,154,48,25,985,626,886,260,96,221,129,183,55,9
Yen Hsun Lu,429,270,389,126,22,2010,1286,2194,886,102,203,118,233,96,7
Dominic Thiem,0,0,0,0,0,240,166,236,86,26,177,120,177,64,9
Mikhail Kukushkin,0,0,0,0,0,979,579,901,347,55,0,0,0,0,0
Jack Sock,97,63,121,48,13,1366,861,1223,407,119,367,248,373,130,28
Ivo Karlovic,219,152,236,73,43,1889,1371,1863,504,414,104,75,117,35,28
Malek Jaziri,0,0,0,0,0,81,44,66,16,2,0,0,0,0,0
Juan Monaco,346,236,395,151,17,661,357,674,259,17,2151,1340,2285,987,54
Lucas Pouille,78,43,61,18,7,146,90,128,31,13,189,114,178,66,9
