name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Serena Williams,85,47,110,52,7,614,393,582,298,58,553,379,618,339,56,Lucie Safarova,0,0,0,0,0,591,318,601,231,17,384,239,418,191,20,0,0,0
Samantha Stosur,132,84,134,54,10,811,459,751,285,36,226,126,219,111,7,Alize Cornet,67,43,45,22,2,451,245,454,222,13,146,67,172,78,3,0,0,0
Petra Kvitova,99,61,89,30,2,638,367,668,287,52,85,47,71,29,3,Venus Williams,0,0,0,0,0,396,215,411,195,12,251,135,247,107,6,0,0,0
Roberta Vinci,102,55,109,48,2,1373,758,1356,609,56,305,176,320,150,12,Kate Makarova,149,89,157,74,10,1055,629,1036,466,38,197,105,163,64,4,0,0,0
Svetlana Kuznetsova,0,0,0,0,0,998,558,1059,488,55,428,249,496,235,20,Angelique Kerber,182,110,205,89,5,1011,558,1007,432,29,249,137,229,102,5,0,0,0
Maria Sharapova,66,49,73,27,5,646,409,710,372,44,458,266,471,209,16,Carla Suarez Navarro,80,44,82,42,1,488,253,522,212,5,465,240,468,219,7,0,0,0
Ana Ivanovic,94,56,88,36,8,1227,677,1175,544,61,303,180,297,130,14,Sabine Lisicki,315,200,279,131,26,680,391,621,251,51,464,256,496,223,34,0,0,0
Simona Halep,133,82,118,59,5,374,205,392,183,14,442,255,438,212,15,Andrea Petkovic,103,60,126,59,4,847,475,841,385,27,220,121,218,104,2,0,0,0
Samantha Stosur,168,98,143,42,8,1542,905,1524,669,58,480,268,488,215,8,Serena Williams,127,76,160,83,15,1372,886,1265,614,144,643,414,657,350,62,0,0,0
Petra Kvitova,284,160,256,110,13,1534,861,1530,696,77,523,288,532,231,18,Roberta Vinci,102,55,109,48,2,1425,783,1400,634,57,399,219,360,138,9,0,0,0
Maria Sharapova,0,0,0,0,0,563,339,620,297,39,620,359,624,286,41,Svetlana Kuznetsova,0,0,0,0,0,977,545,1032,457,58,378,221,447,205,13,0,0,0
Ana Ivanovic,0,0,0,0,0,1494,887,1507,732,78,137,77,129,58,9,Simona Halep,203,118,177,82,6,910,502,870,412,16,450,270,475,237,16,0,0,0
Petra Kvitova,223,129,231,105,9,1755,1030,1695,758,83,356,198,322,136,12,Samantha Stosur,133,82,120,45,7,1500,895,1520,682,73,454,263,440,184,10,0,0,0
Maria Sharapova,0,0,0,0,0,494,302,498,256,36,487,318,548,257,31,Ana Ivanovic,139,78,145,58,13,865,490,797,366,36,55,33,49,30,3,0,0,0
Maria Sharapova,66,49,73,27,5,888,559,967,488,60,597,354,648,286,33,Petra Kvitova,266,158,243,93,9,1645,937,1659,741,83,293,165,298,125,10,0,0,0
Serena Williams,0,0,0,0,0,1093,722,1026,511,126,577,381,639,337,47,Carla Suarez Navarro,341,196,306,137,6,842,429,853,390,9,490,260,486,229,4,0,0,0
Petra Kvitova,91,47,90,41,2,1305,755,1339,596,59,501,270,450,192,22,Lucie Safarova,183,116,187,69,12,904,515,967,379,40,366,214,432,184,19,0,0,0
