surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Serena Williams,387,240,359,183,35,Lucie Safarova,381,204,371,136,10,12
Hard,Samantha Stosur,466,259,401,145,22,Alize Cornet,329,176,314,156,12,17
Hard,Petra Kvitova,169,92,188,72,8,Venus Williams,348,193,365,182,11,7
Hard,Roberta Vinci,1194,659,1222,551,45,Kate Makarova,613,365,622,284,27,25
Hard,Svetlana Kuznetsova,824,453,855,374,45,Angelique Kerber,797,442,784,336,24,25
Hard,Maria Sharapova,498,294,543,267,35,Carla Suarez Navarro,252,117,259,101,3,14
Hard,Ana Ivanovic,622,338,598,264,27,Sabine Lisicki,548,310,464,173,42,16
Hard,Simona Halep,231,126,249,107,8,Andrea Petkovic,365,205,379,180,8,11
Hard,Samantha Stosur,1024,602,1031,446,35,Serena Williams,1216,794,1128,548,133,42
Hard,Petra Kvitova,1011,579,986,462,56,Roberta Vinci,1276,696,1263,569,52,34
Hard,Maria Sharapova,446,279,473,241,37,Svetlana Kuznetsova,662,375,695,303,37,16
Hard,Ana Ivanovic,994,580,1017,510,55,Simona Halep,836,460,784,367,15,32
Hard,Petra Kvitova,1455,860,1417,646,68,Samantha Stosur,1263,764,1298,585,62,41
Hard,Maria Sharapova,455,271,465,234,35,Ana Ivanovic,407,239,374,169,14,17
Hard,Maria Sharapova,888,559,967,488,60,Petra Kvitova,1388,784,1414,628,67,39
Clay,Serena Williams,147,103,147,86,14,Carla Suarez Navarro,157,77,142,68,1,9
Clay,Petra Kvitova,157,78,130,49,3,Lucie Safarova,123,72,132,58,4,7
Clay,Simona Halep,153,87,159,87,6,Sabine Lisicki,162,88,163,70,15,4
Clay,Ana Ivanovic,55,33,49,30,3,Anastasia Pavlyuchenkova,42,23,43,11,1,3
Clay,Caroline Garcia,53,25,39,7,2,Sara Errani,111,48,94,25,0,3
Clay,Agnieszka Radwanska,145,69,169,77,3,Roberta Vinci,60,31,48,14,2,4
Clay,Maria Sharapova,263,167,262,124,18,Samantha Stosur,326,180,328,145,4,9
Clay,Na Li,230,129,200,81,7,Sloane Stephens,173,83,151,47,2,6
Clay,Petra Kvitova,86,44,71,26,1,Serena Williams,144,105,168,91,14,6
Clay,Simona Halep,158,94,124,60,6,Ana Ivanovic,64,40,51,24,6,4
Clay,Agnieszka Radwanska,0,0,0,0,0,Caroline Garcia,0,0,0,0,0,0
Clay,Maria Sharapova,137,78,150,77,4,Na Li,154,88,160,73,1,4
Clay,Simona Halep,107,69,124,65,9,Petra Kvitova,134,74,153,70,1,5
Clay,Maria Sharapova,140,84,151,72,13,Agnieszka Radwanska,69,33,83,39,2,5
Clay,Maria Sharapova,327,182,308,123,13,Simona Halep,229,119,206,93,7,7
Hard,Na Li,388,214,359,176,17,Aleksandra Wozniak,210,97,228,99,4,9
Hard,Dominika Cibulkova,1285,701,1273,556,19,Petra Kvitova,1280,719,1274,578,57,37
Hard,Flavia Pennetta,105,60,123,54,5,Camila Giorgi,169,98,139,50,5,4
Hard,Sloane Stephens,421,245,437,217,15,Alisa Kleybanova,251,106,265,111,6,11
Hard,Simona Halep,622,362,704,317,23,Eugenie Bouchard,816,427,755,342,18,22
Hard,Casey Dellacqua,73,40,75,30,2,Lauren Davis,0,0,0,0,0,2
Hard,Jelena Jankovic,1205,649,1230,563,28,Caroline Wozniacki,1412,838,1360,610,23,36
Hard,Agnieszka Radwanska,1477,864,1574,733,55,Alize Cornet,1078,582,1046,471,42,44
Hard,Na Li,1142,628,1161,524,31,Dominika Cibulkova,1002,554,968,420,12,32
Hard,Flavia Pennetta,276,136,258,106,10,Sloane Stephens,615,340,583,253,16,15
Hard,Simona Halep,91,46,78,34,0,Casey Dellacqua,61,30,58,22,0,2
Hard,Agnieszka Radwanska,1222,696,1291,565,31,Jelena Jankovic,1401,753,1373,645,34,40
Hard,Flavia Pennetta,488,246,446,201,25,Na Li,690,387,737,334,25,17
Hard,Agnieszka Radwanska,1599,925,1562,714,63,Simona Halep,1154,648,1177,572,40,49
Hard,Flavia Pennetta,769,387,777,353,34,Agnieszka Radwanska,859,492,917,425,25,27
Hard,Serena Williams,35,27,36,26,4,Coco Vandeweghe,241,129,263,109,17,7
