name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Serena Williams,205,139,277,143,31,2783,1821,2739,1366,289,1338,897,1450,782,139
Samantha Stosur,317,197,293,126,20,2880,1713,2918,1300,129,715,418,717,329,16
Roberta Vinci,327,187,321,157,14,2883,1648,2907,1327,121,1217,696,1197,557,42
Svetlana Kuznetsova,0,0,0,0,0,2297,1297,2422,1087,122,915,533,955,420,38
Maria Sharapova,66,49,73,27,5,1130,714,1248,622,80,1221,755,1296,609,80
Ana Ivanovic,194,117,204,87,19,2692,1568,2723,1292,138,820,482,768,363,45
Simona Halep,437,262,434,218,15,2015,1144,2094,1025,60,1131,659,1145,587,35
Petra Kvitova,528,310,530,230,19,3540,2046,3513,1559,184,1159,656,1192,542,41
Caroline Garcia,127,77,98,30,7,736,407,687,267,48,465,275,495,190,30
Agnieszka Radwanska,539,321,577,255,15,3652,2183,3641,1743,144,408,230,448,215,8
Na Li,378,223,361,161,10,2660,1598,2753,1357,124,468,263,417,183,11
Dominika Cibulkova,205,111,213,83,0,2357,1314,2369,1093,33,706,381,613,281,9
Flavia Pennetta,261,137,269,114,6,1151,616,1104,507,55,726,401,755,344,25
Sloane Stephens,448,248,428,186,24,3159,1801,3233,1464,87,727,412,718,301,10
Jelena Jankovic,118,73,143,61,3,2851,1579,2894,1358,100,1814,1066,1807,862,57
Angelique Kerber,271,169,302,125,14,3424,1985,3542,1676,112,893,523,798,352,22
Caroline Wozniacki,362,206,354,163,16,3145,1838,3024,1413,59,512,279,458,212,11
Carla Suarez Navarro,506,285,484,222,8,2097,1135,2124,944,18,1398,774,1402,687,17
Venus Williams,0,0,0,0,0,1361,763,1409,665,49,350,192,335,149,16
Victoria Azarenka,57,35,68,39,3,2339,1329,2443,1304,58,841,479,905,452,20
Coco Vandeweghe,220,138,214,75,12,732,416,785,350,75,140,69,131,45,6
Kate Makarova,507,311,536,235,26,1794,1046,1772,809,77,572,323,494,205,15
Alize Cornet,299,182,299,131,8,2035,1118,2024,959,70,1258,658,1213,580,23
Eugenie Bouchard,325,197,331,133,11,1573,879,1555,721,43,506,283,528,249,24
Timea Bacsinszky,0,0,0,0,0,62,30,62,26,0,0,0,0,0,0
Elina Svitolina,106,52,109,33,4,1288,707,1251,556,45,629,336,639,310,16
Shuai Zhang,0,0,0,0,0,538,328,503,244,17,110,63,92,38,0
Sara Errani,68,34,60,19,0,2288,1223,2388,1177,4,1253,706,1227,609,3
Petra Cetkovska,280,169,274,122,7,383,205,344,141,12,169,86,195,90,6
Yanina Wickmayer,535,302,488,196,11,1494,822,1411,569,32,414,227,402,180,6
Garbine Muguruza,399,245,416,176,19,1138,639,1086,468,29,380,218,357,143,13
Andrea Petkovic,151,95,176,83,5,1721,973,1665,758,53,647,363,666,324,11
Sabine Lisicki,789,485,738,313,75,1900,1147,1947,859,159,922,540,969,444,59
Lucie Safarova,326,207,311,117,15,1580,913,1681,678,65,759,461,836,361,36
Barbora Strycova,0,0,0,0,0,260,151,303,134,5,198,106,181,70,12
Belinda Bencic,0,0,0,0,0,273,154,297,132,10,86,45,112,57,4
Shuai Peng,62,39,72,22,4,1563,873,1504,669,52,885,486,850,382,17
Anastasia Pavlyuchenkova,0,0,0,0,0,2498,1460,2479,1110,88,899,513,877,383,34
Aleksandra Wozniak,0,0,0,0,0,643,317,597,265,10,0,0,0,0,0
Camila Giorgi,307,174,304,126,6,539,294,532,236,14,308,163,258,108,12
Alisa Kleybanova,0,0,0,0,0,628,319,650,289,39,0,0,0,0,0
Casey Dellacqua,71,41,58,12,1,502,261,471,174,7,0,0,0,0,0
Kirsten Flipkens,874,523,918,401,68,2286,1317,2262,954,106,620,338,615,268,27
Varvara Lepchenko,149,86,156,52,8,1505,811,1552,631,38,1047,594,1085,500,28
Shelby Rogers,0,0,0,0,0,75,41,50,13,5,148,93,148,58,7
Heather Watson,318,186,303,121,21,1496,835,1482,624,66,100,61,87,30,4
Alison Riske Amritraj,627,374,610,256,15,667,409,667,285,15,0,0,0,0,0
Karolina Pliskova,163,95,158,58,22,999,611,965,372,98,448,258,421,162,35
Christina Mchale,186,109,208,80,8,1135,623,1095,467,35,495,278,532,229,11
Francesca Schiavone,519,299,464,180,26,1788,960,1772,755,50,1318,732,1319,609,39
Klara Koukalova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annika Beck,145,82,137,64,2,1836,926,1870,866,17,954,516,965,472,11
Monica Niculescu,180,88,154,66,0,2001,1097,2060,1014,25,191,104,191,87,2
Jana Cepelova,225,116,216,97,3,904,464,921,395,12,402,204,410,170,5
Pauline Parmentier,50,26,48,13,3,251,140,279,107,8,233,99,253,110,0
Ajla Tomljanovic,233,146,269,107,15,508,278,552,248,33,101,48,88,45,2
Kiki Bertens,136,61,89,32,3,937,494,1024,455,36,810,456,869,382,14
Zarina Diyas,0,0,0,0,0,176,115,168,62,8,0,0,0,0,0
Yaroslava Shvedova,46,30,82,40,0,744,359,755,322,26,591,340,612,277,10
Tereza Smitkova,0,0,0,0,0,118,70,124,46,17,69,31,73,34,2
Kaia Kanepi,484,289,463,183,34,432,240,392,164,23,1258,766,1324,611,67
Aleksandra Krunic,0,0,0,0,0,261,137,249,107,3,82,50,108,43,2
Mirjana Lucic,321,211,306,129,32,69,32,71,34,2,161,83,122,47,3
