name,grass_pts_served,grass_service_pts_won,grass_pts_received,grass_receiving_pts_won,grass_aces,hard_pts_served,hard_service_pts_won,hard_pts_received,hard_receiving_pts_won,hard_aces,clay_pts_served,clay_service_pts_won,clay_pts_received,clay_receiving_pts_won,clay_aces
Rafael Nadal,1083,754,1106,408,86,8927,6011,9409,3792,378,5284,3495,5803,2684,157
Marin Cilic,3272,2379,3603,1265,577,9502,6372,9992,3733,1313,2895,1907,2965,1194,306
Grigor Dimitrov,1551,1079,1611,582,183,11221,7488,11473,4348,994,2454,1558,2498,941,153
Kyle Edmund,941,594,955,336,75,5711,3676,5682,2051,425,2138,1365,2037,755,116
Tennys Sandgren,85,53,96,27,6,298,193,297,105,24,201,108,191,54,7
Hyeon Chung,283,179,265,91,11,4033,2491,4183,1674,209,1894,1223,2008,785,72
Tomas Berdych,2343,1682,2545,900,280,9202,6107,9169,3492,1007,3188,2120,3191,1178,210
Roger Federer,3100,2292,3467,1303,396,7125,5087,8020,3243,869,1618,1123,1769,692,126
Philipp Kohlschreiber,1451,991,1541,531,144,5722,3756,5885,2143,409,4382,2842,4635,1883,273
Juan Martin del Potro,850,595,924,324,84,5998,4066,6193,2255,648,1038,663,1087,422,92
Sam Querrey,3031,2155,3215,1072,574,7027,4719,7154,2492,1150,2127,1419,2115,727,317
Kevin Anderson,1857,1389,2064,645,440,8380,5828,8649,2956,1519,2878,1891,2815,986,346
Borna Coric,951,587,845,252,53,6669,4205,6753,2380,462,3887,2505,3967,1467,248
Milos Raonic,2442,1801,2588,840,487,7471,5359,7771,2661,1363,2597,1793,2677,968,335
John Isner,2293,1705,2283,635,622,9927,7272,10071,3020,2382,3469,2489,3460,999,704
Alexander Zverev,2450,1629,2378,858,270,8487,5502,8258,2956,773,3709,2347,3710,1464,251
Pablo Carreno Busta,314,181,293,77,16,6736,4250,6663,2491,410,6102,3825,6175,2501,297
Kei Nishikori,1304,870,1340,517,74,9644,6337,10052,3939,494,4069,2606,4099,1699,144
Richard Gasquet,2001,1336,1971,735,94,7639,5032,8032,3108,473,2637,1723,2607,1046,116
David Goffin,1415,953,1466,578,126,10746,6856,11171,4483,805,4812,3036,4972,2053,303
Dominic Thiem,1851,1270,2001,679,196,8742,5733,9169,3332,712,6336,4170,6652,2694,393
Denis Shapovalov,313,227,322,87,40,2271,1491,2259,781,234,0,0,0,0,0
Dusan Lajovic,661,437,619,172,40,3904,2459,3797,1296,195,4607,2958,4615,1690,201
Novak Djokovic,1647,1166,1757,693,137,9522,6500,10248,4478,628,4041,2685,4194,1809,176
Fabio Fognini,748,475,794,311,38,6168,3725,6000,2268,294,6148,3725,6069,2477,212
Diego Schwartzman,534,300,557,196,11,5079,3108,5323,2181,191,4632,2697,4762,2057,126
Marco Cecchinato,64,27,59,13,2,333,181,310,83,22,1322,801,1277,432,43
Stefanos Tsitsipas,90,57,100,29,11,812,522,788,255,85,176,111,171,47,10
Karen Khachanov,725,451,656,232,68,3312,2147,3393,1199,390,2737,1734,2710,1023,198
Robin Haase,1476,947,1455,490,123,5819,3661,5975,2165,530,2947,1874,3029,1099,223
Stan Wawrinka,1180,824,1226,405,150,9691,6458,9386,3429,859,4148,2776,4323,1695,284
John Millman,1002,622,994,351,28,4075,2519,3967,1480,212,395,238,394,134,16
Matthew Ebden,657,425,660,244,52,1326,766,1241,445,67,150,99,128,39,17
Jack Sock,1004,698,1006,325,98,9486,6217,9715,3539,843,3086,1970,3047,1109,171
Nick Kyrgios,1278,872,1244,393,217,7286,5066,7353,2600,1275,2906,1961,2865,980,396
Andreas Seppi,2028,1361,2120,803,165,6464,4041,6480,2374,498,2071,1244,2017,743,109
Marton Fucsovics,161,92,156,53,15,875,571,964,376,81,1035,628,977,394,39
Pierre Hugues Herbert,1104,715,1081,346,122,3249,2103,3212,1033,430,973,629,929,297,93
Leonardo Mayer,688,474,670,222,53,3432,2263,3522,1244,324,3271,2155,3335,1180,234
Feliciano Lopez,2080,1467,2221,715,337,7834,5141,7664,2633,1083,4056,2657,4178,1481,440
Taylor Fritz,738,464,688,200,83,4318,2744,4191,1512,442,232,130,203,72,20
Pablo Cuevas,1002,648,910,275,114,4763,2981,4684,1668,380,6418,4242,6620,2506,466
Jeremy Chardy,1088,749,1133,344,139,6113,4006,6247,2242,674,3023,1886,3123,1209,205
Joao Sousa,1216,795,1245,395,67,7435,4589,7479,2804,348,5684,3546,5760,2219,252
Filip Krajinovic,140,94,137,43,13,1535,940,1473,520,102,404,218,381,141,16
Frances Tiafoe,321,206,343,116,44,2454,1566,2527,873,205,450,263,448,155,39
Fernando Verdasco,1669,1104,1629,531,195,6763,4334,6839,2478,520,4427,2874,4706,1905,234
Jan Lennard Struff,1066,696,1035,333,132,4686,3013,4647,1628,488,3408,2141,3461,1285,286
Mischa Zverev,1144,794,1198,406,144,5401,3455,5457,1955,388,1635,999,1585,562,103
Roberto Bautista Agut,1577,1026,1587,587,55,10855,7111,11184,4461,502,4021,2541,4086,1648,151
Benoit Paire,1569,991,1481,547,172,7109,4332,6974,2567,790,4348,2570,4232,1733,306
Aljaz Bedene,1427,949,1424,485,170,3749,2360,3854,1385,437,2908,1869,3080,1142,243
Albert Ramos,1214,786,1095,364,79,5865,3661,5836,2070,349,6873,4237,7056,2806,253
Peter Gojowczyk,763,472,743,263,63,1608,1036,1568,565,178,0,0,0,0,0
Maximilian Marterer,222,146,218,56,20,370,234,393,114,32,446,253,416,135,26
Adrian Mannarino,2902,1903,2980,1103,189,8580,5340,8622,3303,506,1628,949,1610,615,65
Gael Monfils,1595,1069,1613,568,226,7309,4816,7410,2876,846,2734,1744,2791,1139,183
Mackenzie Mcdonald,54,27,58,19,1,181,98,218,86,4,0,0,0,0,0
Ernests Gulbis,695,438,668,229,91,2867,1788,2651,857,374,2151,1336,2301,860,219
Gilles Simon,2059,1332,2057,763,89,7997,4887,7963,3272,343,3418,2022,3243,1289,105
Jiri Vesely,1544,1046,1520,478,169,5213,3338,5156,1779,503,4850,3077,4785,1780,334
Daniil Medvedev,1115,744,1077,387,121,2973,1811,2858,1072,255,722,435,717,256,30
Ilya Ivashka,0,0,0,0,0,977,605,999,416,83,172,94,160,79,2
Nikoloz Basilashvili,787,487,720,224,27,3631,2194,3537,1322,157,1876,1083,1750,682,48
Alex De Minaur,0,0,0,0,0,507,289,493,176,18,76,40,76,23,4
Nicolas Jarry,125,69,95,28,8,429,291,399,125,46,602,366,590,204,57
Malek Jaziri,1193,736,1073,334,72,6339,3908,6178,2201,371,1344,797,1304,473,30
