Player,BPQ
Rafael Nadal,0.4104
Marin Cilic,0.3896
Grigor Dimitrov,0.3843
Kyle Edmund,0.3947
Tennys Sandgren,0.3667
Hyeon Chung,0.4174
Tomas Berdych,0.4257
Roger Federer,0.4033
Philipp Kohlschreiber,0.4157
Juan Martin del Potro,0.385
Sam Querrey,0.4202
Kevin Anderson,0.3522
Borna Coric,0.3745
Milos Raonic,0.3498
John Isner,0.3476
Alexander Zverev,0.4507
Pablo Carreno Busta,0.4303
Kei Nishikori,0.4275
Richard Gasquet,0.4116
David Goffin,0.4185
Dominic Thiem,0.4021
Denis Shapovalov,0.3386
Dusan Lajovic,0.4242
Novak Djokovic,0.4497
Fabio Fognini,0.3832
Diego Schwartzman,0.4393
Marco Cecchinato,
Stefanos Tsitsipas,0.3333
Karen Khachanov,0.3737
Robin Haase,0.3692
Stan Wawrinka,0.4007
John Millman,0.4143
Matthew Ebden,0.3643
Jack Sock,0.3621
Nick Kyrgios,0.3652
Andreas Seppi,0.4268
Marton Fucsovics,0.4206
Pierre Hugues Herbert,0.2593
Leonardo Mayer,0.4
Feliciano Lopez,0.3484
Taylor Fritz,0.3812
Pablo Cuevas,0.4016
Jeremy Chardy,0.3652
Joao Sousa,0.4086
Filip Krajinovic,0.5278
Frances Tiafoe,0.3851
Fernando Verdasco,0.4136
Jan Lennard Struff,0.3672
Mischa Zverev,0.4198
Roberto Bautista Agut,0.4206
Benoit Paire,0.4272
Aljaz Bedene,0.3765
Albert Ramos,0.3926
Peter Gojowczyk,0.4444
Maximilian Marterer,0.3171
Adrian Mannarino,0.4398
Gael Monfils,0.4122
Mackenzie Mcdonald,
Ernests Gulbis,0.3297
Gilles Simon,0.4366
Jiri Vesely,0.4252
Daniil Medvedev,0.3986
Ilya Ivashka,
Nikoloz Basilashvili,0.3904
Alex De Minaur,0.2973
Nicolas Jarry,
Malek Jaziri,0.375
