name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Rafael Nadal,179,131,207,88,11,2013,1389,2064,793,109,826,565,881,402,35,Diego Schwartzman,203,113,205,79,3,1632,992,1760,715,68,1000,541,950,400,14,0,0,0
Marin Cilic,406,298,441,171,93,834,535,812,319,117,361,222,396,174,32,Pablo Carreno Busta,0,0,0,0,0,844,491,655,221,33,749,464,811,315,38,0,0,0
Grigor Dimitrov,250,173,238,105,27,1628,1091,1678,657,175,141,100,136,48,18,Nick Kyrgios,0,0,0,0,0,1183,844,1220,436,190,397,271,374,115,69,0,0,0
Kyle Edmund,0,0,0,0,0,584,378,618,242,56,270,176,276,90,7,Andreas Seppi,150,96,148,35,16,518,308,542,204,41,273,161,272,109,15,0,0,0
Tennys Sandgren,0,0,0,0,0,85,50,64,16,5,0,0,0,0,0,Dominic Thiem,0,0,0,0,0,79,52,85,33,6,0,0,0,0,0,0,0,0
Hyeon Chung,0,0,0,0,0,732,428,739,289,40,736,473,785,320,29,Novak Djokovic,362,250,379,151,25,487,317,483,197,28,360,222,322,111,21,0,0,0
Tomas Berdych,556,419,597,181,91,759,500,775,301,84,290,196,297,95,13,Fabio Fognini,189,127,223,81,14,569,354,588,233,24,407,244,410,156,15,0,0,0
Roger Federer,147,106,159,68,11,233,163,276,116,29,0,0,0,0,0,Marton Fucsovics,0,0,0,0,0,112,67,123,47,4,140,99,140,63,4,0,0,0
Marin Cilic,799,590,906,339,159,1247,834,1280,485,171,599,379,646,252,52,Rafael Nadal,262,192,316,113,27,1384,966,1483,554,73,617,435,772,387,26,0,0,0
Kyle Edmund,0,0,0,0,0,1126,744,1188,434,71,218,119,205,73,6,Grigor Dimitrov,208,146,212,99,24,1629,1065,1582,582,154,376,229,378,130,28,0,0,0
Hyeon Chung,0,0,0,0,0,0,0,0,0,0,55,36,58,30,0,Tennys Sandgren,0,0,0,0,0,85,50,64,16,5,0,0,0,0,0,0,0,0
Roger Federer,562,418,644,260,77,1226,866,1374,525,144,0,0,0,0,0,Tomas Berdych,266,199,319,104,48,540,337,464,164,49,588,383,572,182,33,0,0,0
Marin Cilic,310,246,407,158,62,912,566,920,336,109,517,349,560,229,66,Kyle Edmund,75,50,98,37,7,1168,766,1194,428,76,534,324,457,157,27,0,0,0
Roger Federer,376,288,451,177,43,1354,971,1581,624,165,0,0,0,0,0,Hyeon Chung,0,0,0,0,0,707,421,732,290,40,582,360,609,236,21,0,0,0
Roger Federer,328,250,394,158,49,2272,1632,2605,1016,268,0,0,0,0,0,Marin Cilic,560,426,649,256,119,1052,664,1014,380,140,519,332,571,243,47,0,0,0
Philipp Kohlschreiber,76,51,87,31,11,202,135,221,83,7,329,229,377,134,23,Pierre Hugues Herbert,141,94,156,51,17,147,82,138,34,13,229,156,234,68,36,0,0,0
Juan Martin del Potro,0,0,0,0,0,450,311,462,149,49,124,77,142,62,11,Leonardo Mayer,0,0,0,0,0,320,191,288,101,33,292,213,299,96,19,0,0,0
Milos Raonic,113,88,134,42,27,720,495,706,237,122,111,79,96,40,13,Marcos Baghdatis,171,99,177,51,25,543,326,514,176,60,80,42,64,22,0,0,0,0
Sam Querrey,428,286,436,143,66,568,358,635,251,87,294,184,282,94,39,Feliciano Lopez,607,427,666,207,87,673,414,667,212,84,459,266,475,179,41,0,0,0
Kevin Anderson,82,70,79,24,16,514,356,512,171,98,425,295,412,134,50,Pablo Carreno Busta,0,0,0,0,0,348,238,344,125,24,461,292,454,179,12,0,0,0
Borna Coric,64,44,66,16,16,805,514,721,234,66,376,233,356,121,33,Taylor Fritz,78,57,83,14,12,752,476,781,298,64,0,0,0,0,0,0,0,0
Hyeon Chung,0,0,0,0,0,403,206,418,171,11,204,125,213,86,5,Pablo Cuevas,0,0,0,0,0,353,224,375,138,35,149,100,141,51,5,0,0,0
Roger Federer,351,273,425,174,45,954,698,1093,412,118,0,0,0,0,0,Jeremy Chardy,430,306,466,123,71,514,298,446,142,42,274,142,265,89,13,0,0,0
Juan Martin del Potro,0,0,0,0,0,1366,923,1431,499,147,243,148,233,80,19,Philipp Kohlschreiber,235,143,234,72,17,557,359,553,176,36,303,198,278,110,18,0,0,0
Milos Raonic,540,389,567,183,93,841,580,828,281,156,246,149,249,78,27,Sam Querrey,207,141,192,42,25,937,600,947,375,158,63,44,66,26,7,0,0,0
Borna Coric,174,116,176,51,19,1214,765,1156,373,85,318,197,300,100,17,Kevin Anderson,0,0,0,0,0,888,621,885,292,190,310,192,299,104,25,0,0,0
Roger Federer,376,288,451,177,43,1354,971,1581,624,165,0,0,0,0,0,Hyeon Chung,0,0,0,0,0,707,421,732,290,40,582,360,609,236,21,0,0,0
Juan Martin del Potro,125,88,129,45,17,1240,826,1314,462,142,259,169,287,119,25,Milos Raonic,453,317,443,137,72,588,403,559,183,103,394,259,371,121,44,0,0,0
Roger Federer,546,416,624,255,63,1095,783,1286,514,146,0,0,0,0,0,Borna Coric,64,44,66,16,16,1058,672,996,327,73,533,341,496,186,39,0,0,0
Juan Martin del Potro,0,0,0,0,0,1140,763,1211,430,131,193,131,203,87,23,Roger Federer,423,325,506,213,52,1225,884,1427,553,163,0,0,0,0,0,0,0,0
John Isner,83,69,78,21,25,1347,973,1297,367,312,327,243,321,85,80,Marin Cilic,606,455,720,278,136,1115,735,1171,454,167,452,282,516,209,45,0,0,0
Hyeon Chung,0,0,0,0,0,434,281,433,190,23,216,140,212,79,11,Joao Sousa,98,60,85,29,6,396,252,409,140,21,444,285,454,166,38,0,0,0
Milos Raonic,285,198,244,84,43,413,294,452,164,81,262,170,269,85,35,Jeremy Chardy,107,77,111,25,17,538,324,470,154,52,309,193,383,141,19,0,0,0
Juan Martin del Potro,0,0,0,0,0,438,304,453,142,57,48,34,59,30,8,Filip Krajinovic,0,0,0,0,0,304,220,305,103,35,0,0,0,0,0,0,0,0
Borna Coric,64,44,66,16,16,506,311,474,154,24,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,614,384,584,213,56,0,0,0,0,0,0,0,0
Alexander Zverev,148,102,149,54,22,1195,797,1183,400,128,423,296,478,187,42,Nick Kyrgios,0,0,0,0,0,1182,812,1138,401,212,404,265,421,149,73,0,0,0
Kevin Anderson,233,174,295,92,51,548,392,567,191,85,342,212,291,103,20,Frances Tiafoe,190,120,212,70,29,490,302,514,184,40,83,49,97,40,4,0,0,0
Pablo Carreno Busta,0,0,0,0,0,915,556,817,267,33,718,435,741,297,19,Fernando Verdasco,195,134,201,67,12,905,572,909,313,34,307,205,313,131,17,0,0,0
John Isner,232,158,232,61,50,1054,730,1028,279,199,290,204,262,58,38,Hyeon Chung,0,0,0,0,0,607,352,601,254,30,273,188,286,120,15,0,0,0
Juan Martin del Potro,125,88,129,45,17,1240,826,1314,462,142,259,169,287,119,25,Milos Raonic,453,317,443,137,72,588,403,559,183,103,394,259,371,121,44,0,0,0
Alexander Zverev,232,164,279,104,37,898,604,835,290,99,687,450,674,243,61,Borna Coric,64,44,66,16,16,1321,824,1228,381,88,308,187,248,74,25,0,0,0
Pablo Carreno Busta,0,0,0,0,0,348,238,344,125,24,461,292,454,179,12,Kevin Anderson,82,70,79,24,16,514,356,512,171,98,425,295,412,134,50,0,0,0
John Isner,67,41,46,6,14,887,639,829,225,209,194,130,189,48,29,Juan Martin del Potro,0,0,0,0,0,878,590,1009,371,104,76,51,80,31,7,0,0,0
Alexander Zverev,383,273,444,160,62,1194,791,1161,424,126,706,476,745,296,58,Pablo Carreno Busta,0,0,0,0,0,1332,808,1150,399,52,945,578,910,366,28,0,0,0
