surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Rafael Nadal,1234,847,1276,466,63,Diego Schwartzman,1224,755,1279,501,49,33
Hard,Marin Cilic,409,256,432,176,46,Pablo Carreno Busta,489,293,395,153,28,11
Hard,Grigor Dimitrov,1533,1026,1562,612,159,Nick Kyrgios,784,547,806,315,146,30
Hard,Kyle Edmund,295,191,320,130,30,Andreas Seppi,472,290,486,184,40,9
Hard,Tennys Sandgren,85,50,64,16,5,Dominic Thiem,79,52,85,33,6,2
Hard,Hyeon Chung,273,162,266,103,18,Novak Djokovic,228,146,228,99,11,6
Hard,Tomas Berdych,423,284,417,159,49,Fabio Fognini,276,170,263,113,10,8
Hard,Roger Federer,93,68,99,37,17,Marton Fucsovics,112,67,123,47,4,2
Hard,Marin Cilic,875,598,898,328,131,Rafael Nadal,935,641,950,363,58,25
Hard,Kyle Edmund,1022,662,1056,380,63,Grigor Dimitrov,865,572,848,331,85,23
Hard,Hyeon Chung,0,0,0,0,0,Tennys Sandgren,0,0,0,0,0,0
Hard,Roger Federer,717,518,836,314,85,Tomas Berdych,540,337,464,164,49,18
Hard,Marin Cilic,510,336,517,193,64,Kyle Edmund,637,425,636,243,38,15
Hard,Roger Federer,825,593,979,399,103,Hyeon Chung,603,357,615,247,33,21
Hard,Roger Federer,1641,1177,1877,735,201,Marin Cilic,945,585,916,336,115,36
Hard,Philipp Kohlschreiber,147,96,159,56,4,Pierre Hugues Herbert,147,82,138,34,13,4
Hard,Juan Martin del Potro,316,215,324,95,35,Leonardo Mayer,320,191,288,101,33,7
Hard,Milos Raonic,531,366,541,184,99,Marcos Baghdatis,491,291,449,148,55,13
Hard,Sam Querrey,263,174,294,102,46,Feliciano Lopez,385,235,372,110,42,10
Hard,Kevin Anderson,276,200,304,116,47,Pablo Carreno Busta,208,143,211,77,17,6
Hard,Borna Coric,752,473,663,211,64,Taylor Fritz,573,363,600,230,52,15
Hard,Hyeon Chung,346,175,357,148,10,Pablo Cuevas,272,169,284,102,29,8
Hard,Roger Federer,724,525,821,310,88,Jeremy Chardy,514,298,446,142,42,16
Hard,Juan Martin del Potro,812,530,803,255,73,Philipp Kohlschreiber,356,228,359,117,24,14
Hard,Milos Raonic,746,509,735,250,135,Sam Querrey,675,428,691,272,110,21
Hard,Borna Coric,829,518,806,264,57,Kevin Anderson,645,448,641,208,143,19
Hard,Roger Federer,825,593,979,399,103,Hyeon Chung,603,357,615,247,33,21
Hard,Juan Martin del Potro,582,380,631,232,67,Milos Raonic,514,344,481,161,93,15
Hard,Roger Federer,791,559,924,367,100,Borna Coric,823,514,763,248,61,19
Hard,Juan Martin del Potro,813,552,864,308,97,Roger Federer,1225,884,1427,553,163,28
Hard,John Isner,952,675,877,223,213,Marin Cilic,853,559,915,345,121,26
Hard,Hyeon Chung,222,140,209,98,3,Joao Sousa,396,252,409,140,21,9
Hard,Milos Raonic,279,190,305,115,59,Jeremy Chardy,307,181,249,85,30,8
Hard,Juan Martin del Potro,438,304,453,142,57,Filip Krajinovic,304,220,305,103,35,11
Hard,Borna Coric,506,311,474,154,24,Denis Shapovalov,614,384,584,213,56,15
Hard,Alexander Zverev,1073,708,1056,356,113,Nick Kyrgios,822,552,788,290,135,25
Hard,Kevin Anderson,548,392,567,191,85,Frances Tiafoe,490,302,514,184,40,13
Hard,Pablo Carreno Busta,625,385,561,185,19,Fernando Verdasco,502,335,537,184,19,15
Hard,John Isner,693,477,678,183,126,Hyeon Chung,397,230,393,169,16,13
Hard,Juan Martin del Potro,582,380,631,232,67,Milos Raonic,514,344,481,161,93,15
Hard,Alexander Zverev,824,548,747,258,86,Borna Coric,781,487,737,232,42,22
Hard,Pablo Carreno Busta,208,143,211,77,17,Kevin Anderson,276,200,304,116,47,6
Hard,John Isner,809,579,749,202,186,Juan Martin del Potro,823,553,943,340,97,21
Hard,Alexander Zverev,857,590,882,322,94,Pablo Carreno Busta,971,580,824,268,25,23
Hard,John Isner,634,437,591,151,137,Alexander Zverev,1084,699,941,283,113,21
Clay,Marin Cilic,264,183,311,133,30,Milos Raonic,304,207,309,105,47,9
Clay,Kei Nishikori,92,59,106,45,3,Andreas Seppi,123,73,112,50,8,2
Clay,Alexander Zverev,120,85,120,46,14,Jan Lennard Struff,187,93,168,64,8,4
Clay,Richard Gasquet,0,0,0,0,0,Mischa Zverev,0,0,0,0,0,0
Clay,David Goffin,443,255,411,164,25,Roberto Bautista Agut,311,177,309,124,9,9
Clay,Grigor Dimitrov,88,53,87,29,4,Philipp Kohlschreiber,93,66,93,30,4,2
Clay,Dominic Thiem,561,335,552,214,28,Novak Djokovic,475,295,505,226,20,13
