surface,name1,pts_served1,service_pts_won1,pts_received1,receiving_pts_won1,aces1,name2,pts_served2,service_pts_won2,pts_received2,receiving_pts_won2,aces2,sample_size
Hard,Rafael Nadal,1558,1069,1638,625,79,Diego Schwartzman,1516,917,1550,611,50,40
Hard,Marin Cilic,637,393,666,288,62,Pablo Carreno Busta,664,401,616,237,37,16
Hard,Grigor Dimitrov,1533,1026,1562,612,159,Nick Kyrgios,979,662,977,360,173,32
Hard,Kyle Edmund,295,191,320,130,30,Andreas Seppi,542,332,563,218,41,10
Hard,Tennys Sandgren,85,50,64,16,5,Dominic Thiem,79,52,85,33,6,2
Hard,Hyeon Chung,273,162,266,103,18,Novak Djokovic,292,189,287,122,16,7
Hard,Tomas Berdych,676,469,695,250,77,Fabio Fognini,276,170,263,113,10,11
Hard,Roger Federer,163,123,189,78,25,Marton Fucsovics,112,67,123,47,4,3
Hard,Marin Cilic,1257,836,1304,472,184,Rafael Nadal,1065,740,1100,437,67,32
Hard,Kyle Edmund,1022,662,1056,380,63,Grigor Dimitrov,1093,718,1087,428,114,26
Hard,Hyeon Chung,0,0,0,0,0,Tennys Sandgren,0,0,0,0,0,0
Hard,Roger Federer,753,543,886,339,95,Tomas Berdych,599,384,545,194,54,20
Hard,Marin Cilic,756,509,820,314,103,Kyle Edmund,637,425,636,243,38,18
Hard,Roger Federer,979,712,1162,466,121,Hyeon Chung,749,439,775,303,37,25
Hard,Roger Federer,1719,1235,1976,785,215,Marin Cilic,1272,806,1284,497,155,42
Hard,Philipp Kohlschreiber,147,96,159,56,4,Pierre Hugues Herbert,147,82,138,34,13,4
Hard,Juan Martin del Potro,364,249,383,125,43,Leonardo Mayer,414,259,385,124,40,9
Hard,Milos Raonic,531,366,541,184,99,Marcos Baghdatis,592,355,543,175,75,14
Hard,Sam Querrey,263,174,294,102,46,Feliciano Lopez,466,294,469,143,46,11
Hard,Kevin Anderson,350,256,388,145,58,Pablo Carreno Busta,276,183,272,96,17,8
Hard,Borna Coric,985,616,883,277,97,Taylor Fritz,573,363,600,230,52,18
Hard,Hyeon Chung,414,213,417,164,11,Pablo Cuevas,272,169,284,102,29,9
Hard,Roger Federer,836,613,960,376,100,Jeremy Chardy,834,482,776,242,70,23
Hard,Juan Martin del Potro,812,530,803,255,73,Philipp Kohlschreiber,356,228,359,117,24,14
Hard,Milos Raonic,746,509,735,250,135,Sam Querrey,675,428,691,272,110,21
Hard,Borna Coric,949,594,921,291,76,Kevin Anderson,821,554,782,249,153,23
Hard,Roger Federer,979,712,1162,466,121,Hyeon Chung,749,439,775,303,37,25
Hard,Juan Martin del Potro,706,465,770,293,82,Milos Raonic,570,382,522,175,98,18
Hard,Roger Federer,939,672,1113,458,122,Borna Coric,887,558,829,264,77,23
Hard,Juan Martin del Potro,882,598,928,334,105,Roger Federer,1442,1052,1694,665,188,32
Hard,John Isner,1041,733,959,240,221,Marin Cilic,1157,766,1288,503,162,31
Hard,Hyeon Chung,222,140,209,98,3,Joao Sousa,538,350,561,190,35,11
Hard,Milos Raonic,279,190,305,115,59,Jeremy Chardy,307,181,249,85,30,8
Hard,Juan Martin del Potro,486,338,512,172,65,Filip Krajinovic,304,220,305,103,35,12
Hard,Borna Coric,570,355,540,170,40,Denis Shapovalov,614,384,584,213,56,16
Hard,Alexander Zverev,1313,865,1290,430,141,Nick Kyrgios,1007,674,1012,376,172,31
Hard,Kevin Anderson,870,622,916,296,132,Frances Tiafoe,566,350,598,208,51,17
Hard,Pablo Carreno Busta,789,480,736,246,23,Fernando Verdasco,722,488,745,245,28,19
Hard,John Isner,791,541,768,202,135,Hyeon Chung,465,268,453,185,17,15
Hard,Juan Martin del Potro,706,465,770,293,82,Milos Raonic,570,382,522,175,98,18
Hard,Alexander Zverev,1172,777,1080,372,111,Borna Coric,837,519,786,243,45,27
Hard,Pablo Carreno Busta,276,183,272,96,17,Kevin Anderson,350,256,388,145,58,8
Hard,John Isner,898,637,831,219,194,Juan Martin del Potro,899,604,1023,371,104,23
Hard,Alexander Zverev,1001,692,1052,387,107,Pablo Carreno Busta,1039,620,885,287,25,26
Hard,John Isner,634,437,591,151,137,Alexander Zverev,1277,827,1120,345,135,24
Clay,Marin Cilic,344,237,405,165,35,Milos Raonic,479,325,444,149,70,11
Clay,Kei Nishikori,92,59,106,45,3,Andreas Seppi,123,73,112,50,8,2
Clay,Alexander Zverev,206,154,228,87,33,Jan Lennard Struff,251,125,213,76,14,6
Clay,Richard Gasquet,0,0,0,0,0,Mischa Zverev,0,0,0,0,0,0
Clay,David Goffin,443,255,411,164,25,Roberto Bautista Agut,311,177,309,124,9,10
Clay,Grigor Dimitrov,88,53,87,29,4,Philipp Kohlschreiber,93,66,93,30,4,2
Clay,Dominic Thiem,949,559,960,371,61,Novak Djokovic,555,357,579,256,30,18
Clay,Rafael Nadal,246,178,299,155,8,Karen Khachanov,545,325,571,219,40,13
Clay,Kei Nishikori,499,322,506,226,16,Marin Cilic,364,214,371,175,34,11
Clay,Alexander Zverev,214,149,229,82,19,Richard Gasquet,151,99,179,69,3,5
Clay,Grigor Dimitrov,296,198,293,105,14,David Goffin,276,183,276,117,19,6
Clay,Rafael Nadal,552,381,639,305,26,Dominic Thiem,1036,634,1075,450,69,25
Clay,Kei Nishikori,808,527,836,343,26,Alexander Zverev,642,419,690,271,64,18
Clay,Rafael Nadal,310,203,317,142,8,Grigor Dimitrov,435,285,438,166,31,10
Clay,Rafael Nadal,363,252,435,201,10,Kei Nishikori,487,311,491,202,16,12
Clay,Alexander Zverev,296,221,314,91,35,Leonardo Mayer,196,133,201,57,9,6
Clay,John Isner,504,371,500,123,101,Pablo Cuevas,461,320,500,189,23,11
Clay,Denis Shapovalov,0,0,0,0,0,Milos Raonic,0,0,0,0,0,0
Clay,Kyle Edmund,153,80,146,55,0,David Goffin,424,261,384,146,25,8
Clay,Kevin Anderson,112,76,122,50,21,Philipp Kohlschreiber,85,58,97,26,6,2
Clay,Dusan Lajovic,0,0,0,0,0,Juan Martin del Potro,0,0,0,0,0,0
Clay,Dominic Thiem,576,370,590,257,36,Borna Coric,490,310,456,174,28,12
Clay,Rafael Nadal,695,486,703,311,35,Diego Schwartzman,695,368,627,272,12,20
Clay,Alexander Zverev,211,140,187,64,16,John Isner,172,113,153,37,35,4
Clay,Denis Shapovalov,0,0,0,0,0,Kyle Edmund,0,0,0,0,0,0
Clay,Kevin Anderson,0,0,0,0,0,Dusan Lajovic,0,0,0,0,0,0
Clay,Dominic Thiem,1036,634,1075,450,69,Rafael Nadal,552,381,639,305,26,25
Clay,Alexander Zverev,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,0
Clay,Dominic Thiem,515,322,478,174,29,Kevin Anderson,444,294,414,133,54,11
Clay,Alexander Zverev,351,214,315,99,39,Dominic Thiem,525,320,589,221,21,12
Clay,Alexander Zverev,580,377,563,193,58,Kyle Edmund,403,246,346,111,19,11
Clay,David Goffin,237,150,242,105,20,Juan Martin del Potro,281,166,292,100,26,7
Clay,Marin Cilic,68,34,77,23,5,Benoit Paire,182,115,166,64,15,3
Clay,Pablo Carreno Busta,436,261,401,161,14,Aljaz Bedene,283,186,274,81,17,7
Clay,Novak Djokovic,563,352,572,257,25,Albert Ramos,733,435,738,277,38,17
Clay,Kei Nishikori,383,250,396,174,15,Philipp Kohlschreiber,270,172,286,114,29,8
Clay,Fabio Fognini,0,0,0,0,0,Peter Gojowczyk,0,0,0,0,0,0
Clay,Rafael Nadal,0,0,0,0,0,Denis Shapovalov,0,0,0,0,0,0
Clay,Alexander Zverev,971,612,977,356,81,David Goffin,659,394,615,241,39,20
