name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Elise Mertens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elina Svitolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Johanna Konta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sloane Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carla Suarez Navarro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasija Sevastova,91,53,100,44,5,64,37,51,12,3,0,0,0,0,0,Julia Goerges,100,56,91,38,3,51,39,64,27,5,0,0,0,0,0,1,1,0
Kiki Bertens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Petra Kvitova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashleigh Barty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alize Cornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maria Sharapova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venus Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elina Svitolina,0,0,0,0,0,0,0,0,0,0,51,31,56,30,1,Elise Mertens,0,0,0,0,0,0,0,0,0,0,56,26,51,20,3,0,0,1
Sloane Stephens,0,0,0,0,0,180,96,163,67,0,0,0,0,0,0,Anastasija Sevastova,0,0,0,0,0,163,96,180,84,4,0,0,0,0,0,0,2,0
Ashleigh Barty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kiki Bertens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simona Halep,0,0,0,0,0,186,126,199,84,6,0,0,0,0,0,Caroline Garcia,0,0,0,0,0,199,115,186,60,7,0,0,0,0,0,0,3,0
