name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Gael Monfils,364,216,337,117,27,3492,2246,3507,1326,355,999,586,968,387,42,Miomir Kecmanovic,789,515,723,241,46,3069,1888,3002,1052,168,772,431,769,282,16,0,0,0
Matteo Berrettini,1429,1032,1527,549,209,3882,2663,3881,1274,467,1924,1302,2022,730,191,Pablo Carreno Busta,361,229,312,88,11,3700,2345,3666,1245,198,2164,1376,2374,946,102,0,0,0
Denis Shapovalov,617,410,668,236,65,5415,3583,5430,1844,567,1605,995,1619,619,115,Alexander Zverev,601,425,628,221,86,5985,4010,6448,2425,824,2191,1388,2403,947,201,0,0,0
Rafael Nadal,362,252,364,150,36,3281,2267,3434,1384,250,2769,1835,2714,1255,88,Adrian Mannarino,869,557,786,249,55,4067,2491,4025,1473,263,899,510,770,262,26,0,0,0
Jannik Sinner,190,108,205,77,3,4226,2730,4301,1660,259,1677,1000,1655,650,43,Alex De Minaur,678,448,698,255,26,4380,2842,4431,1663,205,483,284,447,166,28,0,0,0
Stefanos Tsitsipas,256,170,311,116,30,6549,4546,6729,2377,634,2992,1990,2926,1162,191,Taylor Fritz,598,394,524,136,60,6142,4048,6003,2023,744,1391,852,1418,485,129,0,0,0
Felix Auger Aliassime,735,514,685,245,111,3679,2417,3830,1389,439,1789,1125,1660,620,139,Marin Cilic,658,440,692,266,95,4070,2646,3969,1367,477,1342,850,1264,439,119,0,0,0
Daniil Medvedev,256,194,333,135,42,1320,920,1389,555,165,322,195,351,127,9,Maxime Cressy,123,86,122,53,25,641,427,633,201,115,0,0,0,0,0,0,0,0
Matteo Berrettini,1508,1083,1574,544,229,3221,2192,3249,1032,389,1896,1296,2040,793,194,Gael Monfils,339,204,315,104,23,3586,2310,3638,1436,352,991,582,929,378,43,0,0,0
Rafael Nadal,270,187,272,109,26,3592,2503,3713,1455,283,3027,1982,3063,1408,97,Denis Shapovalov,759,514,775,283,92,5572,3729,5645,2005,635,998,612,1039,412,64,0,0,0
Stefanos Tsitsipas,166,109,182,55,21,5804,4020,6057,2194,586,2879,1877,2780,1071,176,Jannik Sinner,190,108,205,77,3,4593,2943,4699,1778,268,1533,931,1488,623,54,0,0,0
Daniil Medvedev,905,616,1061,432,112,7194,4954,7652,3036,928,1339,830,1426,559,86,Felix Auger Aliassime,1795,1248,1814,620,274,5393,3582,5637,2029,673,1394,822,1294,476,92,0,0,0
Rafael Nadal,397,290,411,149,41,3457,2403,3601,1399,258,3115,2042,3120,1409,101,Matteo Berrettini,1400,1002,1429,481,193,3877,2611,3900,1284,446,1508,1019,1529,561,128,0,0,0
Daniil Medvedev,1308,868,1416,548,155,8443,5744,8914,3543,1084,1450,912,1582,642,91,Stefanos Tsitsipas,399,261,462,162,37,8118,5642,8362,2965,802,3887,2556,3828,1525,250,0,0,0
Rafael Nadal,458,338,487,185,46,3455,2442,3700,1436,305,3545,2318,3573,1657,114,Daniil Medvedev,902,610,1009,411,108,7401,5055,7921,3223,939,790,488,834,324,51,0,0,0
Taylor Fritz,565,383,546,160,76,4952,3239,4807,1587,590,1060,668,1114,404,113,Rafael Nadal,343,248,365,149,36,3012,2095,3176,1247,256,3020,1957,3027,1392,95,0,0,0
Rafael Nadal,0,0,0,0,0,1716,1207,1851,700,142,1375,929,1395,629,45,Carlos Alcaraz,82,41,64,16,2,837,545,847,321,34,611,375,615,260,24,0,0,0
Taylor Fritz,759,509,747,225,86,5832,3864,5750,1980,710,1466,904,1512,546,144,Andrey Rublev,514,344,512,191,47,5725,3825,6118,2390,621,2072,1349,2207,866,140,0,0,0
