name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Novak Djokovic,41,26,41,20,22,16,23,5,0,0,0,0,238,166,231,97,229,160,220,91,0,0,0,0,166,124,134,59,160,112,129,51,0,0,0,0,72,56,97,40,69,46,91,37,0,0,0,0,124,92,75,28,112,78,78,28,0,0,0,0,98,66,116,44,94,66,105,51,0,0,0,0,16,10,40,19,23,15,37,18,0,0,0,0,92,65,47,15,78,55,50,24,0,0,0,0,98,71,100,43,100,60,82,41,0,0,0,0,42,27,65,24,43,28,70,30,0,0,0,0,6,4,19,7,8,6,18,6,0,0,0,0,98,64,72,26,83,57,65,22,0,0,0,0,54,41,84,37,68,43,81,37,0,0,0,0,19,15,36,15,21,14,42,13,0,0,0,0,75,53,73,26,69,54,66,26,0,0,0,0,28,18,58,27,39,26,66,32,0,0,0,0,68,51,110,50,83,55,128,46,0,0,0,0,51,36,60,23,55,34,82,46,0,0,0,0,17,13,50,20,28,21,46,24,0,0,0,0
Jack Draper,0,0,0,0,0,0,0,0,0,0,0,0,16,9,17,3,0,0,0,0,0,0,0,0,9,4,14,3,0,0,0,0,0,0,0,0,7,5,3,1,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,10,5,5,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,11,1,0,0,0,0,0,0,0,0,8,4,4,2,0,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,9,4,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
Marcelo Tomas Barrios Vera,11,10,11,1,0,0,0,0,0,0,0,0,22,15,22,5,0,0,0,0,0,0,0,0,15,11,17,8,0,0,0,0,0,0,0,0,7,4,5,1,0,0,0,0,0,0,0,0,11,9,9,2,0,0,0,0,0,0,0,0,8,6,12,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,9,7,7,1,0,0,0,0,0,0,0,0,8,5,9,1,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,9,2,0,0,0,0,0,0,0,0,4,3,7,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,4,7,4,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,0,0,6,4,8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kevin Anderson,22,19,23,1,26,19,25,8,0,0,0,0,84,57,84,27,64,46,67,18,0,0,0,0,57,38,57,21,46,36,49,12,0,0,0,0,27,18,27,9,18,13,18,4,0,0,0,0,38,26,36,12,36,26,37,9,0,0,0,0,37,28,39,13,23,14,26,6,0,0,0,0,9,4,9,2,5,4,4,1,0,0,0,0,26,23,24,8,26,19,28,11,0,0,0,0,40,31,38,14,24,14,29,12,0,0,0,0,13,10,20,6,13,11,9,1,0,0,0,0,5,3,2,2,1,0,1,1,0,0,0,0,34,23,32,15,21,14,28,9,0,0,0,0,19,12,28,10,21,14,20,7,0,0,0,0,6,4,6,2,2,0,1,0,0,0,0,0,23,15,33,10,21,15,22,5,0,0,0,0,11,9,14,3,7,5,8,2,0,0,0,0,25,18,38,10,24,16,18,2,0,0,0,0,18,16,28,11,16,8,16,5,0,0,0,0,7,6,10,4,8,5,2,0,0,0,0,0
Andreas Seppi,9,7,9,1,26,18,25,12,0,0,0,0,76,47,75,30,102,60,106,38,0,0,0,0,47,32,45,16,60,39,68,22,0,0,0,0,29,15,30,6,42,25,38,9,0,0,0,0,32,18,29,15,39,25,46,14,0,0,0,0,30,16,40,15,46,30,51,16,0,0,0,0,14,8,6,1,17,8,9,3,0,0,0,0,18,15,14,3,25,17,32,12,0,0,0,0,30,17,40,18,44,28,49,12,0,0,0,0,22,13,20,9,24,15,22,7,0,0,0,0,6,5,1,0,9,6,3,0,0,0,0,0,20,12,25,9,36,20,49,12,0,0,0,0,26,18,29,9,31,21,27,9,0,0,0,0,14,8,10,3,15,13,10,6,0,0,0,0,26,16,29,10,37,26,30,11,0,0,0,0,16,12,16,6,23,11,13,6,0,0,0,0,38,23,47,20,35,22,32,10,0,0,0,0,23,17,27,15,22,16,22,6,0,0,0,0,15,10,20,8,13,7,10,2,0,0,0,0
Joao Sousa,9,6,9,2,0,0,0,0,0,0,0,0,91,47,89,37,30,17,32,10,0,0,0,0,47,29,52,17,17,9,22,5,0,0,0,0,44,31,37,10,13,9,10,5,0,0,0,0,29,19,35,17,9,7,17,7,0,0,0,0,49,31,44,18,17,12,10,2,0,0,0,0,13,7,10,7,4,3,5,0,0,0,0,0,19,17,18,5,7,6,10,4,0,0,0,0,41,23,43,15,14,8,15,1,0,0,0,0,25,16,21,6,8,3,7,2,0,0,0,0,6,3,7,2,1,1,0,0,0,0,0,0,25,17,33,9,9,7,18,6,0,0,0,0,34,21,30,11,9,5,6,2,0,0,0,0,12,9,11,5,6,3,2,0,0,0,0,0,29,19,28,11,7,4,10,4,0,0,0,0,22,15,17,5,7,5,4,0,0,0,0,0,55,34,50,25,22,12,13,5,0,0,0,0,34,17,25,12,12,3,8,3,0,0,0,0,21,13,25,10,10,5,5,3,0,0,0,0
Denis Kudla,13,7,14,7,17,14,16,7,0,0,0,0,79,48,81,31,114,79,112,33,0,0,0,0,48,29,50,22,79,46,79,24,0,0,0,0,31,18,31,8,35,24,33,14,0,0,0,0,29,17,28,3,46,31,55,14,0,0,0,0,37,26,45,18,57,37,43,12,0,0,0,0,13,6,8,5,11,5,14,5,0,0,0,0,17,11,25,9,31,22,41,19,0,0,0,0,38,22,30,13,52,30,45,20,0,0,0,0,17,7,20,10,25,15,21,6,0,0,0,0,7,5,5,1,6,6,5,1,0,0,0,0,28,21,26,9,39,25,44,19,0,0,0,0,23,20,24,8,37,24,35,12,0,0,0,0,15,8,14,7,16,10,10,3,0,0,0,0,27,21,25,11,38,23,42,13,0,0,0,0,11,3,15,7,23,15,19,7,0,0,0,0,16,11,29,8,53,34,58,25,0,0,0,0,11,8,21,9,34,21,33,14,0,0,0,0,5,4,8,7,19,10,25,6,0,0,0,0
Alejandro Davidovich Fokina,6,2,5,2,9,7,10,7,0,0,0,0,26,17,26,8,78,31,78,30,0,0,0,0,17,8,18,8,31,17,48,18,0,0,0,0,9,7,8,5,47,26,30,13,0,0,0,0,8,8,10,4,17,13,30,13,0,0,0,0,16,10,11,4,40,24,35,15,0,0,0,0,2,1,5,3,21,17,13,5,0,0,0,0,8,4,6,2,13,7,17,5,0,0,0,0,10,5,11,3,28,17,33,18,0,0,0,0,6,3,6,3,33,15,23,8,0,0,0,0,1,1,3,1,4,2,5,2,0,0,0,0,9,5,10,1,23,16,20,4,0,0,0,0,9,4,6,1,26,18,33,16,0,0,0,0,4,2,5,3,20,11,11,6,0,0,0,0,8,5,6,1,25,16,21,9,0,0,0,0,7,3,3,2,19,11,21,7,0,0,0,0,8,7,4,2,33,23,40,13,0,0,0,0,7,5,2,0,23,15,27,9,0,0,0,0,1,0,2,0,10,5,13,5,0,0,0,0
Cristian Garin,18,14,18,6,24,13,23,11,0,0,0,0,98,54,96,40,130,80,128,47,0,0,0,0,54,34,56,19,80,52,81,29,0,0,0,0,44,27,40,15,50,32,47,20,0,0,0,0,34,18,37,11,52,33,52,21,0,0,0,0,47,29,44,17,60,38,56,19,0,0,0,0,17,9,15,6,18,11,20,7,0,0,0,0,18,9,26,7,33,21,31,11,0,0,0,0,45,35,38,13,57,29,57,18,0,0,0,0,27,15,26,11,33,18,32,12,0,0,0,0,8,4,6,1,7,5,7,3,0,0,0,0,44,28,32,10,41,33,51,13,0,0,0,0,25,13,28,15,46,24,38,12,0,0,0,0,16,10,16,5,20,10,16,6,0,0,0,0,29,17,23,9,32,21,39,17,0,0,0,0,22,18,26,6,32,17,22,11,0,0,0,0,62,37,49,20,47,38,59,19,0,0,0,0,37,23,29,7,38,24,40,18,0,0,0,0,25,18,20,7,9,5,19,6,0,0,0,0
Bernabe Zapata Miralles,7,5,7,3,13,11,13,2,0,0,0,0,23,13,24,8,41,28,40,18,0,0,0,0,13,7,16,6,28,20,22,8,0,0,0,0,10,6,8,2,13,6,18,8,0,0,0,0,7,6,10,4,20,17,14,3,0,0,0,0,12,7,12,0,14,13,18,3,0,0,0,0,4,2,2,0,7,2,8,1,0,0,0,0,6,4,6,4,17,7,11,4,0,0,0,0,8,4,16,5,16,12,18,8,0,0,0,0,7,3,2,0,3,3,10,1,0,0,0,0,2,1,0,0,5,4,1,1,0,0,0,0,6,4,15,2,22,16,14,7,0,0,0,0,7,4,7,3,7,5,17,3,0,0,0,0,5,4,0,0,4,2,1,1,0,0,0,0,6,3,6,4,11,9,21,4,0,0,0,0,7,6,3,1,4,1,3,1,0,0,0,0,18,11,11,5,5,3,10,4,0,0,0,0,11,7,6,1,3,2,6,1,0,0,0,0,7,5,5,1,2,1,4,1,0,0,0,0
