name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Ashleigh Barty,582,382,572,253,60,3580,2303,3691,1600,328,1047,659,1078,464,84,Amanda Anisimova,410,226,396,177,9,2176,1222,2089,857,51,1193,638,1149,534,26,0,0,0
Jessica Pegula,362,212,341,138,11,2793,1635,2857,1281,113,626,325,600,273,20,Maria Sakkari,397,236,417,171,25,3243,1913,3427,1456,206,1428,842,1438,674,84,0,0,0
Barbora Krejcikova,192,121,189,78,11,1829,1087,1831,762,120,878,518,916,429,38,Victoria Azarenka,401,231,368,158,24,2030,1126,2028,972,78,1160,638,1185,556,38,0,0,0
Madison Keys,383,235,398,154,30,1479,880,1475,581,99,684,398,668,282,54,Paula Badosa,306,181,328,140,22,1467,844,1440,612,80,654,399,716,342,42,0,0,0
Danielle Collins,326,182,279,104,7,2995,1758,2762,1162,163,1052,600,1097,480,43,Elise Mertens,402,233,470,205,17,4196,2433,4330,1938,230,1565,891,1792,810,58,0,0,0
Alize Cornet,930,569,956,413,19,2217,1242,2133,914,49,747,384,810,396,14,Simona Halep,383,230,400,193,7,2707,1553,2846,1306,98,1310,752,1358,702,34,0,0,0
Iga Swiatek,176,98,190,76,8,1294,764,1448,669,68,968,587,953,462,18,Sorana Cirstea,182,97,148,59,6,1422,818,1498,614,43,997,556,1037,452,18,0,0,0
Kaia Kanepi,167,87,180,80,12,1373,771,1348,527,66,858,467,791,345,29,Aryna Sabalenka,406,256,368,154,31,2748,1689,2772,1235,212,589,361,579,263,27,0,0,0
Ashleigh Barty,274,182,263,117,30,3700,2345,3805,1657,367,1139,726,1157,499,90,Jessica Pegula,343,200,347,143,11,3163,1834,3159,1448,127,747,387,667,282,22,0,0,0
Madison Keys,130,84,158,69,12,1832,1075,1813,783,163,1096,634,1069,454,75,Barbora Krejcikova,72,39,77,29,4,1878,1129,1866,795,123,749,444,779,389,32,0,0,0
Danielle Collins,186,115,163,63,5,2565,1530,2420,1013,148,700,396,712,316,25,Alize Cornet,593,364,599,251,14,2381,1306,2282,989,51,680,348,774,373,10,0,0,0
Iga Swiatek,137,61,161,61,4,1125,698,1160,519,47,693,411,693,328,13,Kaia Kanepi,55,24,60,23,4,1243,713,1181,487,69,566,304,546,238,22,0,0,0
Ashleigh Barty,535,346,513,238,44,3540,2246,3630,1581,341,795,512,806,343,60,Madison Keys,303,191,330,142,22,2092,1276,2025,841,202,713,423,685,280,43,0,0,0
Danielle Collins,351,191,299,119,7,2747,1636,2471,1003,162,798,448,829,374,32,Iga Swiatek,303,160,353,148,19,2212,1322,2354,1023,116,854,521,916,453,22,0,0,0
Ashleigh Barty,676,451,663,293,70,4233,2675,4338,1913,400,1214,782,1280,573,100,Danielle Collins,279,172,241,89,7,3375,1964,3177,1335,181,683,380,643,290,29,0,0,0
Iga Swiatek,278,145,323,126,17,2078,1221,2170,948,97,1252,747,1272,598,32,Maria Sakkari,375,238,407,184,29,3411,1974,3487,1456,196,1149,633,1243,576,44,0,0,0
Anett Kontaveit,285,169,288,112,18,4041,2364,3895,1726,196,1102,662,1118,468,73,Jelena Ostapenko,769,420,729,357,25,3041,1596,2996,1330,99,1427,762,1320,626,27,0,0,0
Iga Swiatek,276,144,309,123,14,2256,1319,2308,1007,104,1327,794,1370,623,30,Aryna Sabalenka,702,434,644,260,63,4756,2836,4696,2045,345,1362,805,1320,599,75,0,0,0
Maria Sakkari,399,221,398,149,20,2727,1615,2861,1193,162,1205,686,1252,597,64,Cori Gauff,333,183,307,117,17,1856,1068,1865,776,88,1171,660,1236,569,58,0,0,0
Anett Kontaveit,306,180,290,125,18,4654,2775,4524,2064,232,877,532,890,354,63,Ons Jabeur,870,527,901,393,56,3725,2157,3767,1609,244,543,319,596,260,27,0,0,0
Jelena Ostapenko,1069,593,1055,515,34,3346,1801,3269,1475,112,1308,699,1302,599,29,Garbine Muguruza,279,167,281,113,7,4217,2494,4375,1935,219,957,548,933,442,44,0,0,0
Aryna Sabalenka,524,337,490,204,51,3774,2318,3799,1638,293,1248,716,1173,513,59,Jil Teichmann,51,24,44,11,2,2453,1445,2374,971,98,956,532,988,472,17,0,0,0
Iga Swiatek,245,145,283,124,14,2048,1204,2146,951,103,965,582,970,461,20,Daria Kasatkina,523,266,490,232,12,2626,1407,2789,1236,48,1034,545,1116,516,24,0,0,0
Cori Gauff,257,155,256,90,19,2156,1261,2066,869,118,929,520,987,449,46,Paula Badosa,350,205,374,159,18,1326,795,1299,541,85,1237,734,1320,625,62,0,0,0
Maria Sakkari,397,236,417,171,25,3243,1913,3427,1456,206,1428,842,1438,674,84,Jessica Pegula,362,212,341,138,11,2793,1635,2857,1281,113,626,325,600,273,20,0,0,0
Ons Jabeur,292,179,336,155,16,2331,1354,2344,1026,142,557,303,540,258,26,Tereza Martincova,410,241,405,173,11,1820,1013,1794,755,32,256,136,249,120,3,0,0,0
Anett Kontaveit,640,387,617,266,34,5263,3135,5110,2288,257,1106,650,1109,476,66,Elise Mertens,682,414,771,350,40,4897,2809,4914,2223,245,1379,785,1534,672,46,0,0,0
Garbine Muguruza,0,0,0,0,0,1873,1100,1968,879,109,496,281,472,223,21,Madison Brengle,219,121,248,122,0,1134,572,1189,501,1,341,158,386,172,0,0,0,0
Jelena Ostapenko,695,395,726,383,24,2491,1340,2453,1081,101,874,462,866,400,14,Barbora Krejcikova,304,190,295,119,15,1619,958,1622,639,80,1062,636,1089,503,47,0,0,0
Iga Swiatek,438,242,507,211,25,2075,1218,2159,938,90,952,570,1027,493,17,Anett Kontaveit,525,310,498,206,30,3879,2334,3752,1669,213,1216,705,1228,517,68,0,0,0
Iga Swiatek,278,145,323,126,17,2078,1221,2170,948,97,1252,747,1272,598,32,Maria Sakkari,375,238,407,184,29,3411,1974,3487,1456,196,1149,633,1243,576,44,0,0,0
Iga Swiatek,159,100,201,90,8,1619,923,1657,712,69,1096,688,1161,556,21,Simona Halep,293,190,296,156,7,2966,1681,3043,1371,91,1157,689,1157,574,34,0,0,0
Maria Sakkari,123,77,148,69,9,3172,1842,3231,1326,187,1285,744,1250,574,54,Paula Badosa,437,248,480,217,19,1768,1041,1714,723,83,854,503,915,421,51,0,0,0
Simona Halep,434,273,386,182,10,3906,2226,4051,1853,140,1497,871,1531,777,47,Petra Martic,883,525,844,320,34,2478,1465,2462,1027,128,1907,1082,1899,868,48,0,0,0
Iga Swiatek,240,105,277,106,13,1275,761,1318,554,53,699,392,735,324,14,Madison Keys,220,125,231,86,18,1771,1084,1753,728,158,481,297,527,217,53,0,0,0
Paula Badosa,437,245,444,190,16,1604,968,1626,672,95,1499,860,1515,700,64,Veronika Kudermetova,626,359,629,255,52,2557,1457,2584,1027,186,1185,682,1183,507,56,0,0,0
Maria Sakkari,373,226,330,141,23,3198,1886,3354,1395,199,1258,715,1237,566,54,Elena Rybakina,639,383,622,256,62,2955,1771,2922,1200,195,1163,691,1174,514,46,0,0,0
Simona Halep,311,202,316,156,7,2699,1593,2912,1398,82,1317,747,1314,679,27,Sorana Cirstea,266,135,203,83,12,1765,1006,1831,746,52,1137,651,1250,561,29,0,0,0
Petra Martic,302,176,309,123,15,1163,704,1285,509,63,1322,772,1314,569,37,Liudmila Samsonova,591,377,655,264,52,1249,754,1241,478,108,424,240,379,155,18,0,0,0
Iga Swiatek,228,113,263,99,10,1638,962,1733,755,73,1202,727,1244,580,29,Angelique Kerber,665,410,643,270,20,2789,1555,2849,1283,45,336,177,362,154,2,0,0,0
Madison Keys,112,75,117,55,6,291,163,266,128,21,231,147,231,95,29,Harriet Dart,189,99,169,57,3,347,184,350,158,5,0,0,0,0,0,0,0,0
Paula Badosa,314,173,356,164,15,1087,656,1091,473,64,950,582,1029,515,46,Leylah Fernandez,224,133,195,72,9,1340,780,1314,570,37,546,272,551,267,8,0,0,0
Veronika Kudermetova,378,229,426,164,31,3336,1921,3341,1319,230,1175,650,1116,469,46,Marketa Vondrousova,442,250,403,162,17,2455,1428,2576,1142,69,1379,772,1367,613,28,0,0,0
Maria Sakkari,91,49,100,42,2,731,428,756,299,54,0,0,0,0,0,Daria Saville,151,87,179,77,2,265,123,249,105,6,49,20,44,16,0,0,0,0
Elena Rybakina,148,95,153,68,10,2235,1407,2250,931,200,859,489,888,401,39,Viktorija Golubic,758,443,746,334,9,1639,852,1616,758,7,268,133,247,107,3,0,0,0
Iga Swiatek,224,130,281,125,15,1743,1029,1781,770,91,754,464,764,366,14,Naomi Osaka,217,119,205,86,14,2821,1799,2801,1181,309,565,340,590,242,48,0,0,0
Naomi Osaka,217,119,205,86,14,3539,2254,3419,1464,363,800,471,873,373,60,Belinda Bencic,494,302,466,189,26,3209,1878,3206,1340,146,519,310,521,216,15,0,0,0
Iga Swiatek,223,106,243,95,10,1562,899,1635,703,70,617,368,653,298,13,Jessica Pegula,247,142,242,102,8,1822,1092,1925,862,81,755,395,703,317,20,0,0,0
Belinda Bencic,63,37,68,25,3,894,503,897,381,33,69,43,62,29,0,Daria Saville,151,87,179,77,2,585,294,604,285,8,283,150,252,97,1,0,0,0
Naomi Osaka,129,63,123,48,7,3098,1966,3054,1313,300,737,418,774,339,59,Danielle Collins,165,76,136,56,2,2796,1649,2671,1132,158,748,412,726,296,26,0,0,0
Jessica Pegula,432,243,396,163,16,1884,1120,2017,921,78,544,280,526,230,14,Paula Badosa,196,109,198,76,8,1387,803,1325,563,76,999,588,1094,524,52,0,0,0
Iga Swiatek,245,145,283,124,14,2222,1299,2338,1024,102,894,542,923,436,19,Petra Kvitova,126,79,141,68,2,4033,2439,4110,1826,262,936,590,1036,450,61,0,0,0
Belinda Bencic,590,373,630,262,31,3502,2035,3529,1509,161,1042,611,991,400,31,Aliaksandra Sasnovich,267,149,298,106,9,2910,1594,2960,1242,97,1076,571,1110,520,13,0,0,0
Daria Saville,0,0,0,0,0,132,66,149,59,4,0,0,0,0,0,Lucia Bronzetti,0,0,0,0,0,47,22,52,19,0,87,47,95,42,1,0,0,0
Naomi Osaka,88,56,82,38,7,2810,1777,2783,1157,285,496,306,503,207,47,Alison Riske Amritraj,547,337,597,243,14,1972,1165,2011,829,63,292,153,273,119,4,0,0,0
Danielle Collins,284,168,236,89,7,3378,1993,3212,1352,195,738,432,721,315,38,Ons Jabeur,738,445,757,335,45,4159,2438,4330,1855,259,577,337,624,272,24,0,0,0
Paula Badosa,100,62,121,55,8,69,44,69,29,2,0,0,0,0,0,Linda Fruhvirtova,0,0,0,0,0,67,34,75,33,5,98,49,107,59,0,0,0,0
Jessica Pegula,157,94,164,72,5,800,483,814,370,35,124,68,127,70,2,Anhelina Kalinina,0,0,0,0,0,287,137,298,125,6,290,154,261,123,2,0,0,0
Petra Kvitova,261,169,279,121,12,3519,2184,3643,1601,229,1409,861,1525,674,80,Veronika Kudermetova,425,249,451,178,37,3076,1784,3093,1264,219,968,583,921,420,56,0,0,0
Iga Swiatek,228,113,263,99,10,1383,831,1427,588,60,941,574,1005,477,15,Cori Gauff,314,186,304,116,18,2257,1312,2211,915,139,993,564,1048,479,36,0,0,0
Ons Jabeur,605,356,549,231,43,3091,1798,3206,1382,191,810,454,794,371,31,Jessica Pegula,386,230,391,157,12,2693,1579,2798,1249,108,809,435,746,335,23,0,0,0
Jessica Pegula,246,137,213,92,10,2515,1468,2519,1166,92,534,304,519,245,20,Jil Teichmann,141,75,133,48,5,1981,1133,1923,831,62,607,352,613,299,21,0,0,0
Ons Jabeur,732,449,766,343,49,3908,2285,4073,1764,216,867,507,894,401,41,Ekaterina Alexandrova,729,421,754,318,70,4111,2433,4450,1937,292,729,389,695,294,34,0,0,0
Jil Teichmann,0,0,0,0,0,925,530,916,410,38,192,110,224,108,5,Anhelina Kalinina,0,0,0,0,0,660,330,697,297,13,408,216,425,196,8,0,0,0
Jessica Pegula,362,212,341,138,11,2343,1393,2308,1033,92,448,242,443,183,18,Sara Sorribes Tormo,301,155,332,140,7,1564,818,1484,660,9,862,417,820,390,2,0,0,0
Ekaterina Alexandrova,637,386,641,254,72,3273,1850,3231,1398,198,904,482,947,408,44,Amanda Anisimova,335,179,356,146,5,1857,1045,1831,774,61,1580,867,1535,712,31,0,0,0
Ons Jabeur,633,397,660,298,51,3437,2042,3634,1561,229,560,317,572,252,32,Simona Halep,439,273,389,188,10,3278,1869,3491,1610,113,1215,705,1151,580,30,0,0,0
Jil Teichmann,0,0,0,0,0,1994,1161,1926,813,82,921,514,916,436,22,Elena Rybakina,514,316,513,209,41,2456,1486,2351,936,184,904,522,895,393,35,0,0,0
Anhelina Kalinina,0,0,0,0,0,89,40,94,42,1,0,0,0,0,0,Emma Raducanu,0,0,0,0,0,66,40,41,25,3,0,0,0,0,0,0,0,0
Sara Sorribes Tormo,413,211,443,189,7,1993,1039,1895,887,7,667,329,641,298,1,Daria Kasatkina,284,151,279,130,6,2079,1131,2259,1021,52,1185,638,1251,601,24,0,0,0
Jessica Pegula,183,93,160,68,7,2154,1255,2264,1012,71,557,313,529,247,19,Bianca Andreescu,191,95,183,66,2,2463,1446,2517,1118,94,302,167,319,154,9,0,0,0
Ekaterina Alexandrova,334,196,359,162,35,2738,1602,2844,1254,207,615,334,657,281,28,Marie Bouzkova,112,58,117,40,3,2333,1344,2450,1037,65,517,273,458,196,10,0,0,0
Amanda Anisimova,700,396,716,317,14,1784,1004,1794,759,53,874,488,862,414,20,Victoria Azarenka,658,392,655,305,33,2515,1424,2470,1183,108,997,557,982,443,29,0,0,0
Ons Jabeur,1036,631,1027,438,69,4171,2421,4421,1934,257,917,500,885,425,36,Belinda Bencic,1016,631,999,420,48,4163,2443,4217,1805,193,880,491,798,304,28,0,0,0
Simona Halep,238,145,244,119,5,2834,1644,3076,1392,95,1635,933,1584,789,40,Cori Gauff,421,251,396,147,31,2121,1232,2096,901,116,1302,755,1369,626,58,0,0,0
Iga Swiatek,267,150,292,114,14,2223,1327,2303,999,115,907,579,936,483,23,Ons Jabeur,671,407,729,314,42,3809,2219,4024,1717,218,591,322,594,263,30,0,0,0
