name1,grass_pts_served1,grass_service_pts_won1,grass_pts_received1,grass_receiving_pts_won1,grass_aces1,hard_pts_served1,hard_service_pts_won1,hard_pts_received1,hard_receiving_pts_won1,hard_aces1,clay_pts_served1,clay_service_pts_won1,clay_pts_received1,clay_receiving_pts_won1,clay_aces1,name2,grass_pts_served2,grass_service_pts_won2,grass_pts_received2,grass_receiving_pts_won2,grass_aces2,hard_pts_served2,hard_service_pts_won2,hard_pts_received2,hard_receiving_pts_won2,hard_aces2,clay_pts_served2,clay_service_pts_won2,clay_pts_received2,clay_receiving_pts_won2,clay_aces2,grass_sample_size,hard_sample_size,clay_sample_size
Ashleigh Barty,0,0,0,0,0,0,0,0,0,0,93,54,97,49,5,Amanda Anisimova,0,0,0,0,0,0,0,0,0,0,97,48,93,39,0,0,0,1
Jessica Pegula,57,26,38,9,1,99,56,129,60,5,0,0,0,0,0,Maria Sakkari,38,29,57,31,6,129,69,99,43,4,0,0,0,0,0,1,1,0
Barbora Krejcikova,0,0,0,0,0,68,39,104,42,2,0,0,0,0,0,Victoria Azarenka,0,0,0,0,0,104,62,68,29,6,0,0,0,0,0,0,1,0
Madison Keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Badosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danielle Collins,0,0,0,0,0,56,29,52,32,0,0,0,0,0,0,Elise Mertens,0,0,0,0,0,52,20,56,27,3,0,0,0,0,0,0,1,0
Alize Cornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Simona Halep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sorana Cirstea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaia Kanepi,0,0,0,0,0,95,52,62,31,5,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,62,31,95,43,2,0,0,0,0,0,0,1,0
Ashleigh Barty,0,0,0,0,0,0,0,0,0,0,55,30,47,28,3,Jessica Pegula,0,0,0,0,0,0,0,0,0,0,47,19,55,25,1,0,0,1
Madison Keys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbora Krejcikova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danielle Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alize Cornet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaia Kanepi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashleigh Barty,0,0,0,0,0,61,33,51,34,3,60,44,60,24,4,Madison Keys,0,0,0,0,0,51,17,61,28,1,60,36,60,16,8,0,1,1
Danielle Collins,0,0,0,0,0,39,14,38,14,2,0,0,0,0,0,Iga Swiatek,0,0,0,0,0,38,24,39,25,0,0,0,0,0,0,0,1,0
Ashleigh Barty,0,0,0,0,0,126,82,135,49,18,131,84,117,53,9,Danielle Collins,0,0,0,0,0,135,86,126,44,7,117,64,131,47,4,0,2,2
Iga Swiatek,0,0,0,0,0,60,34,48,11,2,61,35,62,19,0,Maria Sakkari,0,0,0,0,0,48,37,60,26,2,62,43,61,26,5,0,2,1
Anett Kontaveit,61,33,50,17,5,0,0,0,0,0,0,0,0,0,0,Jelena Ostapenko,50,33,61,28,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Iga Swiatek,0,0,0,0,0,85,52,92,37,2,0,0,0,0,0,Aryna Sabalenka,0,0,0,0,0,92,55,85,33,8,0,0,0,0,0,0,1,0
Maria Sakkari,0,0,0,0,0,118,67,111,48,5,68,35,87,37,4,Cori Gauff,0,0,0,0,0,111,63,118,51,7,87,50,68,33,3,0,2,1
Anett Kontaveit,0,0,0,0,0,205,105,159,64,1,0,0,0,0,0,Ons Jabeur,0,0,0,0,0,159,95,205,100,8,0,0,0,0,0,0,2,0
Jelena Ostapenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garbine Muguruza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aryna Sabalenka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jil Teichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iga Swiatek,69,29,72,28,2,0,0,0,0,0,0,0,0,0,0,Daria Kasatkina,72,44,69,40,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Cori Gauff,0,0,0,0,0,42,21,42,9,2,0,0,0,0,0,Paula Badosa,0,0,0,0,0,42,33,42,21,1,0,0,0,0,0,0,1,0
