name,t_grass_serve_total,t_grass_serve_won,t_grass_receive_total,t_grass_receive_won,t_hard_serve_total,t_hard_serve_won,t_hard_receive_total,t_hard_receive_won,t_clay_serve_total,t_clay_serve_won,t_clay_receive_total,t_clay_receive_won,1_grass_serve_total,1_grass_serve_won,1_grass_receive_total,1_grass_receive_won,1_hard_serve_total,1_hard_serve_won,1_hard_receive_total,1_hard_receive_won,1_clay_serve_total,1_clay_serve_won,1_clay_receive_total,1_clay_receive_won,2_grass_serve_total,2_grass_serve_won,2_grass_receive_total,2_grass_receive_won,2_hard_serve_total,2_hard_serve_won,2_hard_receive_total,2_hard_receive_won,2_clay_serve_total,2_clay_serve_won,2_clay_receive_total,2_clay_receive_won,3_grass_serve_total,3_grass_serve_won,3_grass_receive_total,3_grass_receive_won,3_hard_serve_total,3_hard_serve_won,3_hard_receive_total,3_hard_receive_won,3_clay_serve_total,3_clay_serve_won,3_clay_receive_total,3_clay_receive_won,4_grass_serve_total,4_grass_serve_won,4_grass_receive_total,4_grass_receive_won,4_hard_serve_total,4_hard_serve_won,4_hard_receive_total,4_hard_receive_won,4_clay_serve_total,4_clay_serve_won,4_clay_receive_total,4_clay_receive_won,5_grass_serve_total,5_grass_serve_won,5_grass_receive_total,5_grass_receive_won,5_hard_serve_total,5_hard_serve_won,5_hard_receive_total,5_hard_receive_won,5_clay_serve_total,5_clay_serve_won,5_clay_receive_total,5_clay_receive_won,6_grass_serve_total,6_grass_serve_won,6_grass_receive_total,6_grass_receive_won,6_hard_serve_total,6_hard_serve_won,6_hard_receive_total,6_hard_receive_won,6_clay_serve_total,6_clay_serve_won,6_clay_receive_total,6_clay_receive_won,7_grass_serve_total,7_grass_serve_won,7_grass_receive_total,7_grass_receive_won,7_hard_serve_total,7_hard_serve_won,7_hard_receive_total,7_hard_receive_won,7_clay_serve_total,7_clay_serve_won,7_clay_receive_total,7_clay_receive_won,8_grass_serve_total,8_grass_serve_won,8_grass_receive_total,8_grass_receive_won,8_hard_serve_total,8_hard_serve_won,8_hard_receive_total,8_hard_receive_won,8_clay_serve_total,8_clay_serve_won,8_clay_receive_total,8_clay_receive_won,9_grass_serve_total,9_grass_serve_won,9_grass_receive_total,9_grass_receive_won,9_hard_serve_total,9_hard_serve_won,9_hard_receive_total,9_hard_receive_won,9_clay_serve_total,9_clay_serve_won,9_clay_receive_total,9_clay_receive_won,10_grass_serve_total,10_grass_serve_won,10_grass_receive_total,10_grass_receive_won,10_hard_serve_total,10_hard_serve_won,10_hard_receive_total,10_hard_receive_won,10_clay_serve_total,10_clay_serve_won,10_clay_receive_total,10_clay_receive_won,11_grass_serve_total,11_grass_serve_won,11_grass_receive_total,11_grass_receive_won,11_hard_serve_total,11_hard_serve_won,11_hard_receive_total,11_hard_receive_won,11_clay_serve_total,11_clay_serve_won,11_clay_receive_total,11_clay_receive_won,12_grass_serve_total,12_grass_serve_won,12_grass_receive_total,12_grass_receive_won,12_hard_serve_total,12_hard_serve_won,12_hard_receive_total,12_hard_receive_won,12_clay_serve_total,12_clay_serve_won,12_clay_receive_total,12_clay_receive_won,13_grass_serve_total,13_grass_serve_won,13_grass_receive_total,13_grass_receive_won,13_hard_serve_total,13_hard_serve_won,13_hard_receive_total,13_hard_receive_won,13_clay_serve_total,13_clay_serve_won,13_clay_receive_total,13_clay_receive_won,14_grass_serve_total,14_grass_serve_won,14_grass_receive_total,14_grass_receive_won,14_hard_serve_total,14_hard_serve_won,14_hard_receive_total,14_hard_receive_won,14_clay_serve_total,14_clay_serve_won,14_clay_receive_total,14_clay_receive_won,15_grass_serve_total,15_grass_serve_won,15_grass_receive_total,15_grass_receive_won,15_hard_serve_total,15_hard_serve_won,15_hard_receive_total,15_hard_receive_won,15_clay_serve_total,15_clay_serve_won,15_clay_receive_total,15_clay_receive_won,16_grass_serve_total,16_grass_serve_won,16_grass_receive_total,16_grass_receive_won,16_hard_serve_total,16_hard_serve_won,16_hard_receive_total,16_hard_receive_won,16_clay_serve_total,16_clay_serve_won,16_clay_receive_total,16_clay_receive_won,17_grass_serve_total,17_grass_serve_won,17_grass_receive_total,17_grass_receive_won,17_hard_serve_total,17_hard_serve_won,17_hard_receive_total,17_hard_receive_won,17_clay_serve_total,17_clay_serve_won,17_clay_receive_total,17_clay_receive_won,18_grass_serve_total,18_grass_serve_won,18_grass_receive_total,18_grass_receive_won,18_hard_serve_total,18_hard_serve_won,18_hard_receive_total,18_hard_receive_won,18_clay_serve_total,18_clay_serve_won,18_clay_receive_total,18_clay_receive_won
Juan Martin del Potro,0,0,0,0,302,195,302,125,0,0,0,0,0,0,0,0,1028,717,1025,423,0,0,0,0,0,0,0,0,717,500,602,206,0,0,0,0,0,0,0,0,311,211,423,173,0,0,0,0,0,0,0,0,499,348,396,154,0,0,0,0,0,0,0,0,428,294,456,153,0,0,0,0,0,0,0,0,100,70,173,70,0,0,0,0,0,0,0,0,348,230,242,70,0,0,0,0,0,0,0,0,445,312,457,184,0,0,0,0,0,0,0,0,204,142,256,109,0,0,0,0,0,0,0,0,30,19,70,34,0,0,0,0,0,0,0,0,430,299,343,95,0,0,0,0,0,0,0,0,275,192,331,131,0,0,0,0,0,0,0,0,81,56,145,64,0,0,0,0,0,0,0,0,323,231,295,101,0,0,0,0,0,0,0,0,139,79,212,75,0,0,0,0,0,0,0,0,301,197,445,178,0,0,0,0,0,0,0,0,197,133,267,105,0,0,0,0,0,0,0,0,104,66,178,76,0,0,0,0
Flavio Cipolla,0,0,0,0,5,1,6,3,0,0,0,0,0,0,0,0,42,22,42,15,0,0,0,0,0,0,0,0,22,13,27,8,0,0,0,0,0,0,0,0,20,9,15,6,0,0,0,0,0,0,0,0,13,9,19,8,0,0,0,0,0,0,0,0,18,12,17,7,0,0,0,0,0,0,0,0,11,5,6,2,0,0,0,0,0,0,0,0,9,6,11,2,0,0,0,0,0,0,0,0,16,6,18,5,0,0,0,0,0,0,0,0,11,6,11,3,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,9,6,15,7,0,0,0,0,0,0,0,0,16,9,13,5,0,0,0,0,0,0,0,0,7,4,5,1,0,0,0,0,0,0,0,0,12,9,15,4,0,0,0,0,0,0,0,0,11,2,9,3,0,0,0,0,0,0,0,0,7,4,24,7,0,0,0,0,0,0,0,0,4,3,17,8,0,0,0,0,0,0,0,0,3,1,7,1,0,0,0,0
Radek Stepanek,0,0,0,0,61,36,60,24,0,0,0,0,0,0,0,0,364,240,375,112,0,0,0,0,0,0,0,0,240,156,263,96,0,0,0,0,0,0,0,0,125,69,112,41,0,0,0,0,0,0,0,0,156,91,167,54,0,0,0,0,0,0,0,0,153,98,167,62,0,0,0,0,0,0,0,0,56,34,40,18,0,0,0,0,0,0,0,0,91,67,113,31,0,0,0,0,0,0,0,0,163,90,159,55,0,0,0,0,0,0,0,0,89,56,84,33,0,0,0,0,0,0,0,0,22,14,18,10,0,0,0,0,0,0,0,0,114,72,135,59,0,0,0,0,0,0,0,0,129,73,106,40,0,0,0,0,0,0,0,0,46,23,41,14,0,0,0,0,0,0,0,0,117,69,125,45,0,0,0,0,0,0,0,0,79,54,67,25,0,0,0,0,0,0,0,0,200,121,161,48,0,0,0,0,0,0,0,0,122,66,113,40,0,0,0,0,0,0,0,0,79,45,48,13,0,0,0,0
Fernando Verdasco,0,0,0,0,228,145,229,82,0,0,0,0,19,9,19,7,1196,756,1198,428,0,0,0,0,9,7,12,2,756,505,769,288,0,0,0,0,10,9,7,5,440,286,429,185,0,0,0,0,7,5,10,1,505,335,481,176,0,0,0,0,11,8,4,3,537,319,532,203,0,0,0,0,1,1,5,0,154,89,185,62,0,0,0,0,5,4,9,2,335,245,305,117,0,0,0,0,10,6,2,1,489,315,506,173,0,0,0,0,4,3,8,3,307,205,326,123,0,0,0,0,0,0,0,0,65,49,62,19,0,0,0,0,7,6,3,0,405,270,450,159,0,0,0,0,7,3,6,3,379,237,376,148,0,0,0,0,1,1,3,1,151,93,166,79,0,0,0,0,4,3,3,0,372,231,388,141,0,0,0,0,5,5,5,1,235,152,235,102,0,0,0,0,10,3,8,2,542,345,496,202,0,0,0,0,3,2,6,2,345,225,294,97,0,0,0,0,7,3,2,0,197,129,203,76,0,0,0,0
Andy Murray,0,0,0,0,449,305,446,193,0,0,0,0,52,29,53,15,2630,1780,2590,1094,0,0,0,0,29,17,38,17,1779,1121,1497,601,0,0,0,0,23,17,15,8,850,556,1094,478,0,0,0,0,17,11,21,9,1121,769,896,350,0,0,0,0,29,14,24,9,1214,834,1217,529,0,0,0,0,6,3,8,7,294,197,477,201,0,0,0,0,11,5,12,5,769,513,545,224,0,0,0,0,20,11,24,9,1186,783,1038,432,0,0,0,0,18,12,10,3,577,361,805,350,0,0,0,0,3,2,7,5,97,62,201,91,0,0,0,0,17,10,20,9,1039,698,830,337,0,0,0,0,21,12,16,6,764,512,887,371,0,0,0,0,8,4,5,2,278,175,460,194,0,0,0,0,19,14,19,8,853,582,853,345,0,0,0,0,13,5,9,3,427,271,637,289,0,0,0,0,16,11,31,11,966,649,1318,576,0,0,0,0,11,8,20,10,649,424,742,301,0,0,0,0,5,3,11,4,317,199,576,251,0,0,0,0
Daniel Gimeno-Traver,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,103,56,106,30,0,0,0,0,0,0,0,0,56,30,76,28,0,0,0,0,0,0,0,0,47,24,30,9,0,0,0,0,0,0,0,0,30,13,48,10,0,0,0,0,0,0,0,0,50,29,49,14,0,0,0,0,0,0,0,0,23,14,9,5,0,0,0,0,0,0,0,0,13,10,38,10,0,0,0,0,0,0,0,0,46,26,45,10,0,0,0,0,0,0,0,0,35,20,18,6,0,0,0,0,0,0,0,0,9,6,5,0,0,0,0,0,0,0,0,0,29,21,45,10,0,0,0,0,0,0,0,0,39,22,22,1,0,0,0,0,0,0,0,0,21,11,11,4,0,0,0,0,0,0,0,0,30,19,31,11,0,0,0,0,0,0,0,0,28,12,8,3,0,0,0,0,0,0,0,0,37,15,23,8,0,0,0,0,0,0,0,0,15,10,15,2,0,0,0,0,0,0,0,0,22,9,8,3,0,0,0,0
Ivan Ljubicic,0,0,0,0,47,30,44,20,0,0,0,0,0,0,0,0,169,107,170,56,0,0,0,0,0,0,0,0,107,68,114,31,0,0,0,0,0,0,0,0,62,34,56,20,0,0,0,0,0,0,0,0,68,50,83,28,0,0,0,0,0,0,0,0,73,56,67,24,0,0,0,0,0,0,0,0,28,17,20,10,0,0,0,0,0,0,0,0,50,33,54,14,0,0,0,0,0,0,0,0,74,56,71,24,0,0,0,0,0,0,0,0,34,22,34,16,0,0,0,0,0,0,0,0,11,6,10,7,0,0,0,0,0,0,0,0,73,51,61,21,0,0,0,0,0,0,0,0,40,29,42,10,0,0,0,0,0,0,0,0,18,14,19,8,0,0,0,0,0,0,0,0,51,35,53,16,0,0,0,0,0,0,0,0,25,15,21,8,0,0,0,0,0,0,0,0,59,35,51,21,0,0,0,0,0,0,0,0,35,22,30,10,0,0,0,0,0,0,0,0,24,15,21,9,0,0,0,0
Marin Cilic,21,17,21,11,358,239,359,147,0,0,0,0,55,31,55,23,1671,1126,1646,678,0,0,0,0,31,21,32,13,1128,771,968,365,0,0,0,0,24,16,23,9,545,364,678,259,0,0,0,0,21,18,19,6,771,561,603,225,0,0,0,0,26,19,27,8,720,478,783,303,0,0,0,0,8,6,9,3,181,114,258,102,0,0,0,0,18,12,13,6,561,394,379,129,0,0,0,0,22,15,25,9,688,446,705,273,0,0,0,0,13,10,14,7,356,243,460,176,0,0,0,0,2,1,3,2,67,41,102,49,0,0,0,0,21,11,22,10,614,439,560,198,0,0,0,0,17,14,16,5,485,308,555,211,0,0,0,0,4,3,8,3,154,102,229,81,0,0,0,0,24,19,21,10,482,339,542,195,0,0,0,0,6,4,10,2,279,171,359,148,0,0,0,0,25,12,39,16,538,358,740,266,0,0,0,0,12,4,23,9,358,255,477,173,0,0,0,0,13,8,16,4,180,121,266,103,0,0,0,0
Ivo Karlovic,0,0,0,0,296,216,296,74,0,0,0,0,0,0,0,0,671,487,677,170,0,0,0,0,0,0,0,0,488,352,507,132,0,0,0,0,0,0,0,0,184,128,170,51,0,0,0,0,0,0,0,0,352,252,375,98,0,0,0,0,0,0,0,0,264,183,251,67,0,0,0,0,0,0,0,0,56,42,51,9,0,0,0,0,0,0,0,0,252,195,277,73,0,0,0,0,0,0,0,0,282,189,282,75,0,0,0,0,0,0,0,0,123,82,109,31,0,0,0,0,0,0,0,0,14,10,9,6,0,0,0,0,0,0,0,0,246,197,280,70,0,0,0,0,0,0,0,0,175,126,153,43,0,0,0,0,0,0,0,0,51,40,34,11,0,0,0,0,0,0,0,0,175,136,180,62,0,0,0,0,0,0,0,0,89,59,66,15,0,0,0,0,0,0,0,0,185,128,172,41,0,0,0,0,0,0,0,0,128,79,131,37,0,0,0,0,0,0,0,0,57,38,41,19,0,0,0,0
Janko Tipsarevic,0,0,0,0,139,85,138,50,0,0,0,0,0,0,0,0,691,442,691,266,0,0,0,0,0,0,0,0,442,299,425,161,0,0,0,0,0,0,0,0,249,163,266,99,0,0,0,0,0,0,0,0,299,199,264,93,0,0,0,0,0,0,0,0,306,190,328,110,0,0,0,0,0,0,0,0,86,60,99,32,0,0,0,0,0,0,0,0,199,125,171,48,0,0,0,0,0,0,0,0,290,188,310,122,0,0,0,0,0,0,0,0,175,111,177,62,0,0,0,0,0,0,0,0,26,14,32,15,0,0,0,0,0,0,0,0,262,176,236,77,0,0,0,0,0,0,0,0,213,146,237,74,0,0,0,0,0,0,0,0,78,55,79,32,0,0,0,0,0,0,0,0,232,150,240,96,0,0,0,0,0,0,0,0,122,74,121,42,0,0,0,0,0,0,0,0,286,183,337,133,0,0,0,0,0,0,0,0,183,111,204,79,0,0,0,0,0,0,0,0,102,58,133,50,0,0,0,0
