P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score
Rafael Nadal,David Ferrer,hard,0,0,0,0
Rafael Nadal,David Ferrer,hard,0,0,0,0
Rafael Nadal,David Ferrer,hard,2,1,15,0
Rafael Nadal,David Ferrer,hard,2,2,15,15
Rafael Nadal,David Ferrer,hard,2,2,15,30
Rafael Nadal,David Ferrer,hard,2,1,30,30
Rafael Nadal,David Ferrer,hard,2,2,30,40
Rafael Nadal,David Ferrer,hard,2,2,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,1,30,0
Rafael Nadal,David Ferrer,hard,1,1,40,0
Rafael Nadal,David Ferrer,hard,1,2,40,15
Rafael Nadal,David Ferrer,hard,1,1,0,0
Rafael Nadal,David Ferrer,hard,2,2,0,15
Rafael Nadal,David Ferrer,hard,2,1,15,15
Rafael Nadal,David Ferrer,hard,2,1,30,15
Rafael Nadal,David Ferrer,hard,2,2,30,30
Rafael Nadal,David Ferrer,hard,2,2,30,40
Rafael Nadal,David Ferrer,hard,2,1,40,40
Rafael Nadal,David Ferrer,hard,2,1,AD,40
Rafael Nadal,David Ferrer,hard,2,2,40,40
Rafael Nadal,David Ferrer,hard,2,2,40,AD
Rafael Nadal,David Ferrer,hard,2,1,40,40
Rafael Nadal,David Ferrer,hard,2,1,AD,40
Rafael Nadal,David Ferrer,hard,2,1,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,1,30,0
Rafael Nadal,David Ferrer,hard,1,2,30,15
Rafael Nadal,David Ferrer,hard,1,1,40,15
Rafael Nadal,David Ferrer,hard,1,2,40,30
Rafael Nadal,David Ferrer,hard,1,2,40,40
Rafael Nadal,David Ferrer,hard,1,1,AD,40
Rafael Nadal,David Ferrer,hard,1,2,40,40
Rafael Nadal,David Ferrer,hard,1,1,AD,40
Rafael Nadal,David Ferrer,hard,1,1,0,0
Rafael Nadal,David Ferrer,hard,2,2,0,15
Rafael Nadal,David Ferrer,hard,2,2,0,30
Rafael Nadal,David Ferrer,hard,2,2,0,40
Rafael Nadal,David Ferrer,hard,2,1,15,40
Rafael Nadal,David Ferrer,hard,2,1,30,40
Rafael Nadal,David Ferrer,hard,2,2,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,2,15,15
Rafael Nadal,David Ferrer,hard,1,1,30,15
Rafael Nadal,David Ferrer,hard,1,1,40,15
Rafael Nadal,David Ferrer,hard,1,1,0,0
Rafael Nadal,David Ferrer,hard,2,2,0,15
Rafael Nadal,David Ferrer,hard,2,1,15,15
Rafael Nadal,David Ferrer,hard,2,2,15,30
Rafael Nadal,David Ferrer,hard,2,2,15,40
Rafael Nadal,David Ferrer,hard,2,1,30,40
Rafael Nadal,David Ferrer,hard,2,2,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,1,30,0
Rafael Nadal,David Ferrer,hard,1,2,30,15
Rafael Nadal,David Ferrer,hard,1,1,40,15
Rafael Nadal,David Ferrer,hard,1,2,40,30
Rafael Nadal,David Ferrer,hard,1,1,0,0
Rafael Nadal,David Ferrer,hard,2,1,15,0
Rafael Nadal,David Ferrer,hard,2,1,30,0
Rafael Nadal,David Ferrer,hard,2,2,30,15
Rafael Nadal,David Ferrer,hard,2,1,40,15
Rafael Nadal,David Ferrer,hard,2,2,40,30
Rafael Nadal,David Ferrer,hard,2,1,0,0
Rafael Nadal,David Ferrer,hard,1,2,0,15
Rafael Nadal,David Ferrer,hard,1,2,0,30
Rafael Nadal,David Ferrer,hard,1,2,0,40
Rafael Nadal,David Ferrer,hard,1,2,0,0
Rafael Nadal,David Ferrer,hard,2,1,15,0
Rafael Nadal,David Ferrer,hard,2,2,15,15
Rafael Nadal,David Ferrer,hard,2,1,30,15
Rafael Nadal,David Ferrer,hard,2,1,40,15
Rafael Nadal,David Ferrer,hard,2,1,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,1,30,0
Rafael Nadal,David Ferrer,hard,1,1,40,0
Rafael Nadal,David Ferrer,hard,1,2,40,15
Rafael Nadal,David Ferrer,hard,1,1,0,0
Rafael Nadal,David Ferrer,hard,2,2,0,15
Rafael Nadal,David Ferrer,hard,2,1,15,15
Rafael Nadal,David Ferrer,hard,2,2,15,30
Rafael Nadal,David Ferrer,hard,2,2,15,40
Rafael Nadal,David Ferrer,hard,2,1,30,40
Rafael Nadal,David Ferrer,hard,2,1,40,40
Rafael Nadal,David Ferrer,hard,2,2,40,AD
Rafael Nadal,David Ferrer,hard,2,2,0,0
Rafael Nadal,David Ferrer,hard,1,2,0,15
Rafael Nadal,David Ferrer,hard,1,2,0,30
Rafael Nadal,David Ferrer,hard,1,1,15,30
Rafael Nadal,David Ferrer,hard,1,2,15,40
Rafael Nadal,David Ferrer,hard,1,1,30,40
Rafael Nadal,David Ferrer,hard,1,2,0,0
Rafael Nadal,David Ferrer,hard,2,2,0,15
Rafael Nadal,David Ferrer,hard,2,1,15,15
Rafael Nadal,David Ferrer,hard,2,2,15,30
Rafael Nadal,David Ferrer,hard,2,1,30,30
Rafael Nadal,David Ferrer,hard,2,1,40,30
Rafael Nadal,David Ferrer,hard,2,2,40,40
Rafael Nadal,David Ferrer,hard,2,2,40,AD
Rafael Nadal,David Ferrer,hard,2,2,0,0
Rafael Nadal,David Ferrer,hard,1,1,15,0
Rafael Nadal,David Ferrer,hard,1,1,30,0
Rafael Nadal,David Ferrer,hard,1,1,40,0
Rafael Nadal,David Ferrer,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,0,0,0,0
Jack Sock,Guido Andreozzi,hard,0,0,0,0
Jack Sock,Guido Andreozzi,hard,1,2,0,15
Jack Sock,Guido Andreozzi,hard,1,1,15,15
Jack Sock,Guido Andreozzi,hard,1,1,30,15
Jack Sock,Guido Andreozzi,hard,1,2,30,30
Jack Sock,Guido Andreozzi,hard,1,1,40,30
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,2,30,15
Jack Sock,Guido Andreozzi,hard,2,1,40,15
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,2,30,15
Jack Sock,Guido Andreozzi,hard,1,1,40,15
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,2,15,15
Jack Sock,Guido Andreozzi,hard,2,1,30,15
Jack Sock,Guido Andreozzi,hard,2,2,30,30
Jack Sock,Guido Andreozzi,hard,2,2,30,40
Jack Sock,Guido Andreozzi,hard,2,1,40,40
Jack Sock,Guido Andreozzi,hard,2,1,AD,40
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,1,40,0
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,2,30,15
Jack Sock,Guido Andreozzi,hard,2,1,40,15
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,1,40,0
Jack Sock,Guido Andreozzi,hard,1,2,40,15
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,1,40,0
Jack Sock,Guido Andreozzi,hard,2,2,40,15
Jack Sock,Guido Andreozzi,hard,2,2,40,30
Jack Sock,Guido Andreozzi,hard,2,2,40,40
Jack Sock,Guido Andreozzi,hard,2,1,AD,40
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,2,0,15
Jack Sock,Guido Andreozzi,hard,1,1,15,15
Jack Sock,Guido Andreozzi,hard,1,2,15,30
Jack Sock,Guido Andreozzi,hard,1,2,15,40
Jack Sock,Guido Andreozzi,hard,1,2,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,2,0,30
Jack Sock,Guido Andreozzi,hard,2,2,0,40
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,1,40,0
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,2,0,30
Jack Sock,Guido Andreozzi,hard,2,1,15,30
Jack Sock,Guido Andreozzi,hard,2,1,30,30
Jack Sock,Guido Andreozzi,hard,2,1,40,30
Jack Sock,Guido Andreozzi,hard,2,2,40,40
Jack Sock,Guido Andreozzi,hard,2,2,40,AD
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,1,40,0
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,1,15,15
Jack Sock,Guido Andreozzi,hard,2,2,15,30
Jack Sock,Guido Andreozzi,hard,2,2,15,40
Jack Sock,Guido Andreozzi,hard,2,1,30,40
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,2,30,15
Jack Sock,Guido Andreozzi,hard,1,1,40,15
Jack Sock,Guido Andreozzi,hard,1,2,40,30
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,2,0,30
Jack Sock,Guido Andreozzi,hard,2,2,0,40
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,2,30,15
Jack Sock,Guido Andreozzi,hard,1,1,40,15
Jack Sock,Guido Andreozzi,hard,1,2,40,30
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,2,30,15
Jack Sock,Guido Andreozzi,hard,2,1,40,15
Jack Sock,Guido Andreozzi,hard,2,2,40,30
Jack Sock,Guido Andreozzi,hard,2,2,40,40
Jack Sock,Guido Andreozzi,hard,2,2,40,AD
Jack Sock,Guido Andreozzi,hard,2,1,40,40
Jack Sock,Guido Andreozzi,hard,2,2,40,AD
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,2,0,1
Jack Sock,Guido Andreozzi,hard,2,2,0,2
Jack Sock,Guido Andreozzi,hard,2,2,0,3
Jack Sock,Guido Andreozzi,hard,1,1,1,3
Jack Sock,Guido Andreozzi,hard,1,1,2,3
Jack Sock,Guido Andreozzi,hard,2,2,2,4
Jack Sock,Guido Andreozzi,hard,2,1,3,4
Jack Sock,Guido Andreozzi,hard,1,1,4,4
Jack Sock,Guido Andreozzi,hard,1,1,5,4
Jack Sock,Guido Andreozzi,hard,2,1,6,4
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,2,30,15
Jack Sock,Guido Andreozzi,hard,2,2,30,30
Jack Sock,Guido Andreozzi,hard,2,1,40,30
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,2,15,15
Jack Sock,Guido Andreozzi,hard,1,1,30,15
Jack Sock,Guido Andreozzi,hard,1,1,40,15
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,2,0,30
Jack Sock,Guido Andreozzi,hard,2,1,15,30
Jack Sock,Guido Andreozzi,hard,2,2,15,40
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,2,0,15
Jack Sock,Guido Andreozzi,hard,1,1,15,15
Jack Sock,Guido Andreozzi,hard,1,1,30,15
Jack Sock,Guido Andreozzi,hard,1,1,40,15
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,2,0,15
Jack Sock,Guido Andreozzi,hard,2,2,0,30
Jack Sock,Guido Andreozzi,hard,2,2,0,40
Jack Sock,Guido Andreozzi,hard,2,1,15,40
Jack Sock,Guido Andreozzi,hard,2,1,30,40
Jack Sock,Guido Andreozzi,hard,2,2,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,1,30,0
Jack Sock,Guido Andreozzi,hard,1,1,40,0
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Jack Sock,Guido Andreozzi,hard,2,1,15,0
Jack Sock,Guido Andreozzi,hard,2,1,30,0
Jack Sock,Guido Andreozzi,hard,2,1,40,0
Jack Sock,Guido Andreozzi,hard,2,2,40,15
Jack Sock,Guido Andreozzi,hard,2,2,40,30
Jack Sock,Guido Andreozzi,hard,2,1,0,0
Jack Sock,Guido Andreozzi,hard,1,1,15,0
Jack Sock,Guido Andreozzi,hard,1,2,15,15
Jack Sock,Guido Andreozzi,hard,1,1,30,15
Jack Sock,Guido Andreozzi,hard,1,2,30,30
Jack Sock,Guido Andreozzi,hard,1,1,40,30
Jack Sock,Guido Andreozzi,hard,1,2,40,40
Jack Sock,Guido Andreozzi,hard,1,2,40,AD
Jack Sock,Guido Andreozzi,hard,1,1,40,40
Jack Sock,Guido Andreozzi,hard,1,1,AD,40
Jack Sock,Guido Andreozzi,hard,1,2,40,40
Jack Sock,Guido Andreozzi,hard,1,1,AD,40
Jack Sock,Guido Andreozzi,hard,1,1,0,0
Paolo Lorenzi,Kyle Edmund,hard,0,0,0,0
Paolo Lorenzi,Kyle Edmund,hard,0,0,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,30
Paolo Lorenzi,Kyle Edmund,hard,1,2,15,40
Paolo Lorenzi,Kyle Edmund,hard,1,1,30,40
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,30
Paolo Lorenzi,Kyle Edmund,hard,2,1,15,30
Paolo Lorenzi,Kyle Edmund,hard,2,1,30,30
Paolo Lorenzi,Kyle Edmund,hard,2,1,40,30
Paolo Lorenzi,Kyle Edmund,hard,2,1,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,0
Paolo Lorenzi,Kyle Edmund,hard,1,1,30,0
Paolo Lorenzi,Kyle Edmund,hard,1,2,30,15
Paolo Lorenzi,Kyle Edmund,hard,1,2,30,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,40,30
Paolo Lorenzi,Kyle Edmund,hard,1,2,40,40
Paolo Lorenzi,Kyle Edmund,hard,1,2,40,AD
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,2,1,15,0
Paolo Lorenzi,Kyle Edmund,hard,2,1,30,0
Paolo Lorenzi,Kyle Edmund,hard,2,2,30,15
Paolo Lorenzi,Kyle Edmund,hard,2,2,30,30
Paolo Lorenzi,Kyle Edmund,hard,2,2,30,40
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,30,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,40,15
Paolo Lorenzi,Kyle Edmund,hard,1,2,40,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,0,0
Paolo Lorenzi,Kyle Edmund,hard,2,1,15,0
Paolo Lorenzi,Kyle Edmund,hard,2,2,15,15
Paolo Lorenzi,Kyle Edmund,hard,2,2,15,30
Paolo Lorenzi,Kyle Edmund,hard,2,2,15,40
Paolo Lorenzi,Kyle Edmund,hard,2,1,30,40
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,15
Paolo Lorenzi,Kyle Edmund,hard,1,2,15,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,30,30
Paolo Lorenzi,Kyle Edmund,hard,1,2,30,40
Paolo Lorenzi,Kyle Edmund,hard,1,1,40,40
Paolo Lorenzi,Kyle Edmund,hard,1,1,AD,40
Paolo Lorenzi,Kyle Edmund,hard,1,1,0,0
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,30
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,40
Paolo Lorenzi,Kyle Edmund,hard,2,1,15,40
Paolo Lorenzi,Kyle Edmund,hard,2,1,30,40
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,15
Paolo Lorenzi,Kyle Edmund,hard,1,1,30,15
Paolo Lorenzi,Kyle Edmund,hard,1,2,30,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,40,30
Paolo Lorenzi,Kyle Edmund,hard,1,1,0,0
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,15
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,30
Paolo Lorenzi,Kyle Edmund,hard,2,1,15,30
Paolo Lorenzi,Kyle Edmund,hard,2,2,15,40
Paolo Lorenzi,Kyle Edmund,hard,2,1,30,40
Paolo Lorenzi,Kyle Edmund,hard,2,2,0,0
Paolo Lorenzi,Kyle Edmund,hard,1,1,15,0
