P1,P2,Surface,PointServer,PointWinner,P1Score,P2Score,SetNo
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,30,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,30,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,40,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,0,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,0,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,15,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,15,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,30,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,AD,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,AD,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,30,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,15,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,30,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,15,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,30,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,AD,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,30,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,30,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,30,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,30,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,30,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,15,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,30,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,40,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,1,1,0,0,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,0,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,15,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,30,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,40,15,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,30,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,2,40,AD,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,40,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,AD,40,5
Pablo Carreno Busta,Yasutaka Uchiyama,hard,2,1,0,0,5
Steve Johnson,John Isner,hard,2,2,0,15,5
Steve Johnson,John Isner,hard,2,2,0,30,5
Steve Johnson,John Isner,hard,2,1,15,30,5
Steve Johnson,John Isner,hard,2,2,15,40,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,1,30,0,5
Steve Johnson,John Isner,hard,1,1,40,0,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,2,0,15,5
Steve Johnson,John Isner,hard,2,1,15,15,5
Steve Johnson,John Isner,hard,2,2,15,30,5
Steve Johnson,John Isner,hard,2,2,15,40,5
Steve Johnson,John Isner,hard,2,1,30,40,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,1,30,0,5
Steve Johnson,John Isner,hard,1,1,40,0,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,1,15,0,5
Steve Johnson,John Isner,hard,2,1,30,0,5
Steve Johnson,John Isner,hard,2,2,30,15,5
Steve Johnson,John Isner,hard,2,2,30,30,5
Steve Johnson,John Isner,hard,2,1,40,30,5
Steve Johnson,John Isner,hard,2,2,40,40,5
Steve Johnson,John Isner,hard,2,1,AD,40,5
Steve Johnson,John Isner,hard,2,2,40,40,5
Steve Johnson,John Isner,hard,2,2,40,AD,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,1,30,0,5
Steve Johnson,John Isner,hard,1,2,30,15,5
Steve Johnson,John Isner,hard,1,1,40,15,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,1,15,0,5
Steve Johnson,John Isner,hard,2,2,15,15,5
Steve Johnson,John Isner,hard,2,1,30,15,5
Steve Johnson,John Isner,hard,2,2,30,30,5
Steve Johnson,John Isner,hard,2,2,30,40,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,1,30,0,5
Steve Johnson,John Isner,hard,1,1,40,0,5
Steve Johnson,John Isner,hard,1,2,40,15,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,1,15,0,5
Steve Johnson,John Isner,hard,2,2,15,15,5
Steve Johnson,John Isner,hard,2,2,15,30,5
Steve Johnson,John Isner,hard,2,1,30,30,5
Steve Johnson,John Isner,hard,2,2,30,40,5
Steve Johnson,John Isner,hard,2,1,40,40,5
Steve Johnson,John Isner,hard,2,2,40,AD,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,1,30,0,5
Steve Johnson,John Isner,hard,1,1,40,0,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,2,0,15,5
Steve Johnson,John Isner,hard,2,1,15,15,5
Steve Johnson,John Isner,hard,2,2,15,30,5
Steve Johnson,John Isner,hard,2,2,15,40,5
Steve Johnson,John Isner,hard,2,2,0,0,5
Steve Johnson,John Isner,hard,1,1,15,0,5
Steve Johnson,John Isner,hard,1,2,15,15,5
Steve Johnson,John Isner,hard,1,1,30,15,5
Steve Johnson,John Isner,hard,1,2,30,30,5
Steve Johnson,John Isner,hard,1,1,40,30,5
Steve Johnson,John Isner,hard,1,2,40,40,5
Steve Johnson,John Isner,hard,1,1,AD,40,5
Steve Johnson,John Isner,hard,1,2,40,40,5
Steve Johnson,John Isner,hard,1,1,AD,40,5
Steve Johnson,John Isner,hard,1,2,40,40,5
Steve Johnson,John Isner,hard,1,1,AD,40,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Steve Johnson,John Isner,hard,2,1,1,0,5
Steve Johnson,John Isner,hard,1,1,2,0,5
Steve Johnson,John Isner,hard,1,1,3,0,5
Steve Johnson,John Isner,hard,2,2,3,1,5
Steve Johnson,John Isner,hard,2,2,3,2,5
Steve Johnson,John Isner,hard,1,1,4,2,5
Steve Johnson,John Isner,hard,1,1,5,2,5
Steve Johnson,John Isner,hard,2,1,6,2,5
Steve Johnson,John Isner,hard,2,2,6,3,5
Steve Johnson,John Isner,hard,1,1,0,0,5
Marcos Giron,Marc Polmans,hard,2,2,0,15,5
Marcos Giron,Marc Polmans,hard,2,2,0,30,5
Marcos Giron,Marc Polmans,hard,2,2,0,40,5
Marcos Giron,Marc Polmans,hard,2,1,15,40,5
Marcos Giron,Marc Polmans,hard,2,2,0,0,5
Marcos Giron,Marc Polmans,hard,1,1,15,0,5
Marcos Giron,Marc Polmans,hard,1,1,30,0,5
Marcos Giron,Marc Polmans,hard,1,1,40,0,5
Marcos Giron,Marc Polmans,hard,1,2,40,15,5
Marcos Giron,Marc Polmans,hard,1,2,40,30,5
Marcos Giron,Marc Polmans,hard,1,1,0,0,5
Marcos Giron,Marc Polmans,hard,2,1,15,0,5
Marcos Giron,Marc Polmans,hard,2,1,30,0,5
Marcos Giron,Marc Polmans,hard,2,1,40,0,5
Marcos Giron,Marc Polmans,hard,2,2,40,15,5
Marcos Giron,Marc Polmans,hard,2,1,0,0,5
Marcos Giron,Marc Polmans,hard,1,1,15,0,5
Marcos Giron,Marc Polmans,hard,1,2,15,15,5
Marcos Giron,Marc Polmans,hard,1,2,15,30,5
Marcos Giron,Marc Polmans,hard,1,1,30,30,5
Marcos Giron,Marc Polmans,hard,1,2,30,40,5
Marcos Giron,Marc Polmans,hard,1,2,0,0,5
Marcos Giron,Marc Polmans,hard,2,2,0,15,5
Marcos Giron,Marc Polmans,hard,2,1,15,15,5
Marcos Giron,Marc Polmans,hard,2,2,15,30,5
Marcos Giron,Marc Polmans,hard,2,1,30,30,5
Marcos Giron,Marc Polmans,hard,2,1,40,30,5
Marcos Giron,Marc Polmans,hard,2,1,0,0,5
Marcos Giron,Marc Polmans,hard,1,2,0,15,5
Marcos Giron,Marc Polmans,hard,1,1,15,15,5
Marcos Giron,Marc Polmans,hard,1,1,30,15,5
Marcos Giron,Marc Polmans,hard,1,2,30,30,5
Marcos Giron,Marc Polmans,hard,1,1,40,30,5
Marcos Giron,Marc Polmans,hard,1,1,0,0,5
Marcos Giron,Marc Polmans,hard,2,1,15,0,5
Marcos Giron,Marc Polmans,hard,2,2,15,15,5
Marcos Giron,Marc Polmans,hard,2,2,15,30,5
Marcos Giron,Marc Polmans,hard,2,1,30,30,5
Marcos Giron,Marc Polmans,hard,2,2,30,40,5
Marcos Giron,Marc Polmans,hard,2,1,40,40,5
Marcos Giron,Marc Polmans,hard,2,2,40,AD,5
Marcos Giron,Marc Polmans,hard,2,1,40,40,5
Marcos Giron,Marc Polmans,hard,2,1,AD,40,5
Marcos Giron,Marc Polmans,hard,2,1,0,0,5
Marcos Giron,Marc Polmans,hard,1,1,15,0,5
Marcos Giron,Marc Polmans,hard,1,1,30,0,5
Marcos Giron,Marc Polmans,hard,1,1,40,0,5
Marcos Giron,Marc Polmans,hard,1,1,0,0,5
Ulises Blanch,Cristian Garin,hard,1,1,15,0,5
Ulises Blanch,Cristian Garin,hard,1,2,15,15,5
Ulises Blanch,Cristian Garin,hard,1,2,15,30,5
Ulises Blanch,Cristian Garin,hard,1,2,15,40,5
Ulises Blanch,Cristian Garin,hard,1,2,0,0,5
Ulises Blanch,Cristian Garin,hard,2,2,0,15,5
Ulises Blanch,Cristian Garin,hard,2,2,0,30,5
Ulises Blanch,Cristian Garin,hard,2,1,15,30,5
Ulises Blanch,Cristian Garin,hard,2,1,30,30,5
Ulises Blanch,Cristian Garin,hard,2,1,40,30,5
Ulises Blanch,Cristian Garin,hard,2,2,40,40,5
Ulises Blanch,Cristian Garin,hard,2,1,AD,40,5
Ulises Blanch,Cristian Garin,hard,2,1,0,0,5
Ulises Blanch,Cristian Garin,hard,1,2,0,15,5
Ulises Blanch,Cristian Garin,hard,1,2,0,30,5
Ulises Blanch,Cristian Garin,hard,1,1,15,30,5
Ulises Blanch,Cristian Garin,hard,1,1,30,30,5
Ulises Blanch,Cristian Garin,hard,1,2,30,40,5
Ulises Blanch,Cristian Garin,hard,1,2,0,0,5
Ulises Blanch,Cristian Garin,hard,2,2,0,15,5
Ulises Blanch,Cristian Garin,hard,2,2,0,30,5
Ulises Blanch,Cristian Garin,hard,2,1,15,30,5
Ulises Blanch,Cristian Garin,hard,2,2,15,40,5
Ulises Blanch,Cristian Garin,hard,2,1,30,40,5
Ulises Blanch,Cristian Garin,hard,2,2,0,0,5
Ulises Blanch,Cristian Garin,hard,1,1,15,0,5
Ulises Blanch,Cristian Garin,hard,1,2,15,15,5
Ulises Blanch,Cristian Garin,hard,1,2,15,30,5
Ulises Blanch,Cristian Garin,hard,1,2,15,40,5
Ulises Blanch,Cristian Garin,hard,1,1,30,40,5
Ulises Blanch,Cristian Garin,hard,1,2,0,0,5
Ulises Blanch,Cristian Garin,hard,2,2,0,15,5
Ulises Blanch,Cristian Garin,hard,2,2,0,30,5
Ulises Blanch,Cristian Garin,hard,2,2,0,40,5
Ulises Blanch,Cristian Garin,hard,2,2,0,0,5
Ulises Blanch,Cristian Garin,hard,1,1,15,0,5
Ulises Blanch,Cristian Garin,hard,1,1,30,0,5
Ulises Blanch,Cristian Garin,hard,1,1,40,0,5
Ulises Blanch,Cristian Garin,hard,1,1,0,0,5
Ulises Blanch,Cristian Garin,hard,2,2,0,15,5
Ulises Blanch,Cristian Garin,hard,2,1,15,15,5
Ulises Blanch,Cristian Garin,hard,2,2,15,30,5
Ulises Blanch,Cristian Garin,hard,2,1,30,30,5
Ulises Blanch,Cristian Garin,hard,2,2,30,40,5
Ulises Blanch,Cristian Garin,hard,2,2,0,0,5
Diego Schwartzman,Cameron Norrie,hard,2,2,0,15,5
Diego Schwartzman,Cameron Norrie,hard,2,2,0,30,5
Diego Schwartzman,Cameron Norrie,hard,2,1,15,30,5
Diego Schwartzman,Cameron Norrie,hard,2,1,30,30,5
Diego Schwartzman,Cameron Norrie,hard,2,1,40,30,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,2,1,0,0,5
Diego Schwartzman,Cameron Norrie,hard,1,2,0,15,5
Diego Schwartzman,Cameron Norrie,hard,1,1,15,15,5
Diego Schwartzman,Cameron Norrie,hard,1,1,30,15,5
Diego Schwartzman,Cameron Norrie,hard,1,1,40,15,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,30,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,1,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,AD,5
Diego Schwartzman,Cameron Norrie,hard,1,1,40,40,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,AD,5
Diego Schwartzman,Cameron Norrie,hard,1,1,40,40,5
Diego Schwartzman,Cameron Norrie,hard,1,1,AD,40,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,40,5
Diego Schwartzman,Cameron Norrie,hard,1,2,40,AD,5
Diego Schwartzman,Cameron Norrie,hard,1,2,0,0,5
Diego Schwartzman,Cameron Norrie,hard,2,2,0,15,5
Diego Schwartzman,Cameron Norrie,hard,2,2,0,30,5
