Ensemble,Mean Accuracy,Mean Significance,Coverage
H2H&CO&OAF,0.66607,0.26974,76%
H2H&CO&CO(OAF),0.64908,0.54384,79%
H2H&CO&PSU,0.63426,0.73736,76%
H2H&CO&PSD,0.63145,0.75548,76%
H2H&OAF&CO(OAF),0.66342,0.28957,80%
H2H&OAF&PSU,0.66965,0.23059,82%
H2H&OAF&PSD,0.66295,0.31727,81%
H2H&CO(OAF)&PSU,0.65238,0.45668,74%
H2H&CO(OAF)&PSD,0.65242,0.47589,73%
H2H&PSU&PSD,0.62109,0.69156,95%
CO&OAF&CO(OAF),0.64763,0.55843,88%
CO&OAF&PSU,0.64213,0.65739,95%
CO&OAF&PSD,0.63690,0.69788,94%
CO&CO(OAF)&PSU,0.62824,0.80669,88%
CO&CO(OAF)&PSD,0.62832,0.80895,88%
CO&PSU&PSD,0.61951,0.72002,98%
OAF&CO(OAF)&PSU,0.66298,0.31772,95%
OAF&CO(OAF)&PSD,0.65493,0.40406,94%
OAF&PSU&PSD,0.62345,0.69042,100%
CO(OAF)&PSU&PSD,0.62312,0.68454,98%
CO&OAF&CO(OAF)&PSU&PSD,0.64235,0.64468,94%
H2H&OAF&CO(OAF)&PSU&PSD,0.66087,0.35303,84%
H2H&CO&CO(OAF)&PSU&PSD,0.63586,0.70361,79%
H2H&CO&OAF&PSU&PSD,0.64254,0.62255,87%
H2H&CO&OAF&CO(OAF)&PSD,0.65666,0.41697,81%
H2H&CO&OAF&CO(OAF)&PSU,0.65602,0.42020,81%
