,D-ATP14,D-WTA18,D-ATP18,D-WTA22,D-ATP22,C-ATP14,C-WTA18,C-ATP18,C-WTA22,C-ATP22,M-ATP14,M-WTA18,M-ATP18,M-WTA22,M-ATP22,E-ATP14,E-WTA18,E-ATP18,E-WTA22,E-ATP22
H2H+CO,40.975,50.064,43.601,32.499,44.711,0.70278,0.61719,0.69883,0.5945,0.65815,,,,,,0.64574,0.60205,0.63528,0.57671,0.62573
H2H+OAF,40.422,49.008,43.089,32.843,44.713,0.71602,0.66513,0.70284,0.60714,0.68923,,,,,,0.62632,0.61908,0.63497,0.60394,0.65984
H2H+CO(OAF),40.149,50.029,43.514,33.238,44.334,0.72818,0.65366,0.70681,0.60635,0.67949,,,,,,0.66448,0.61229,0.66271,0.5893,0.64313
H2H+PSU.E,41.266,49.036,42.963,32.941,44.863,0.7039,0.61772,0.70402,0.60138,0.64744,,,,,,0.69624,0.58751,0.66718,0.58862,0.62459
H2H+PSD.E,40.499,49.01,42.77,32.903,44.421,0.70321,0.61209,0.69767,0.58562,0.65472,,,,,,0.70526,0.59643,0.66718,0.5806,0.56803
CO+OAF,41.162,49.123,42.452,32.811,44.466,0.71201,0.63757,0.69408,0.64293,0.69536,,,,,,0.63158,0.61771,0.63344,0.6178,0.65082
CO+CO(OAF),40.931,50.064,42.757,32.858,44.064,0.7,0.6219,0.68729,0.62415,0.66667,,,,,,0.66886,0.61364,0.65963,0.60551,0.62633
CO+PSU.E,41.877,49.092,42.56,32.791,44.706,0.68632,0.60566,0.66556,0.61958,0.6284,,,,,,0.6782,0.57721,0.66948,0.61269,0.62869
CO+PSD.E,41.317,49.059,42.431,32.743,44.343,0.68452,0.60656,0.6637,0.61197,0.62779,,,,,,0.68647,0.58614,0.66794,0.60686,0.57295
OAF+CO(OAF),40.654,48.965,42.275,32.992,44.233,0.70747,0.64219,0.682,0.64164,0.6762,,,,,,0.63459,0.62388,0.64724,0.63239,0.65328
OAF+PSU.E,40.845,48.91,42.122,32.774,44.361,0.73391,0.64501,0.71444,0.66004,0.69364,,,,,,0.63609,0.62251,0.63727,0.61123,0.64426
OAF+PSD.E,40.334,48.881,42.054,32.73,44.082,0.74475,0.65377,0.71554,0.65161,0.65651,,,,,,0.62256,0.6232,0.63957,0.61634,0.63033
CO(OAF)+PSU.E,40.877,48.841,41.862,32.882,44.08,0.7284,0.64217,0.70581,0.64556,0.66335,,,,,,0.71353,0.61084,0.68405,0.61853,0.63525
CO(OAF)+PSD.E,40.328,48.816,41.765,32.837,43.75,0.73511,0.64163,0.70486,0.63535,0.66193,,,,,,0.70677,0.61908,0.68328,0.61415,0.58934
PSU.E+PSD.E,41.416,49.147,42.56,33.052,44.612,0.70823,0.58569,0.67774,0.60298,0.59601,,,,,,0.68421,0.58202,0.66641,0.59883,0.55246
H2H+CO+OAF,40.506,48.942,42.509,32.535,44.334,0.72393,0.65373,0.72483,0.6255,0.69847,0.70192,0.63197,0.68021,0.62685,0.67731,0.62481,0.61702,0.63267,0.60467,0.65656
H2H+CO+CO(OAF),40.219,49.879,42.831,32.585,43.973,0.73913,0.64506,0.72727,0.625,0.69531,0.68666,0.61882,0.67498,0.61106,0.65169,0.65979,0.61668,0.64808,0.59481,0.63056
H2H+CO+PSU.E,41.124,48.902,42.527,32.546,44.493,0.71818,0.63939,0.71521,0.61984,0.65074,0.67739,0.59457,0.65947,0.6079,0.63187,0.68496,0.58751,0.66641,0.6054,0.64098
H2H+CO+PSD.E,40.66,48.882,42.421,32.515,44.181,0.71166,0.6422,0.70779,0.61181,0.65942,0.68013,0.59192,0.66012,0.60019,0.62815,0.69173,0.59643,0.66794,0.60029,0.57951
H2H+OAF+CO(OAF),40.126,48.838,42.428,32.75,44.176,0.73077,0.67013,0.71662,0.64311,0.69283,0.7011,0.63666,0.67424,0.62093,0.67135,0.62707,0.62183,0.64877,0.6178,0.65656
H2H+OAF+PSU.E,40.359,48.76,42.248,32.542,44.241,0.73988,0.66667,0.74074,0.62602,0.69685,0.71167,0.63171,0.69224,0.64417,0.67606,0.63308,0.61496,0.62883,0.61488,0.6541
H2H+OAF+PSD.E,39.943,48.744,42.199,32.514,44.012,0.72973,0.66873,0.73469,0.61446,0.69804,0.72781,0.63591,0.69442,0.63766,0.64513,0.62481,0.62045,0.6365,0.6178,0.63689
H2H+CO(OAF)+PSU.E,40.367,48.721,42.025,32.681,44.021,0.75298,0.6526,0.74662,0.6579,0.69672,0.70022,0.63209,0.68004,0.61619,0.64405,0.70752,0.60673,0.67868,0.61123,0.65492
H2H+CO(OAF)+PSD.E,39.908,48.706,41.949,32.654,43.74,0.74618,0.65385,0.74061,0.63913,0.69512,0.71099,0.6287,0.68081,0.61095,0.64621,0.70451,0.62183,0.67945,0.60759,0.6041
H2H+PSU.E+PSD.E,40.868,48.968,42.589,32.835,44.456,0.70588,0.61867,0.71473,0.6087,0.64949,0.70676,0.58454,0.6717,0.59633,0.59871,0.69699,0.59506,0.66871,0.59664,0.57131
CO+OAF+CO(OAF),40.855,49.024,42.198,32.847,44.218,0.72506,0.64271,0.70655,0.64853,0.70074,0.67917,0.6217,0.65963,0.6189,0.65053,0.62632,0.61977,0.6434,0.62509,0.64262
CO+OAF+PSU.E,41.066,48.963,42.15,32.646,44.314,0.73662,0.65581,0.71231,0.66626,0.69378,0.68112,0.59719,0.66667,0.6102,0.64874,0.63233,0.61633,0.6319,0.6178,0.6377
CO+OAF+PSD.E,40.713,48.94,42.101,32.615,44.105,0.74644,0.65752,0.7067,0.66119,0.6869,0.67602,0.60295,0.67274,0.60538,0.62774,0.62481,0.61153,0.64034,0.62144,0.62541
CO+CO(OAF)+PSU.E,41.214,48.949,42.079,32.771,44.211,0.72816,0.64692,0.70912,0.65534,0.67409,0.67261,0.59164,0.65321,0.59528,0.62536,0.7015,0.59918,0.67868,0.61634,0.6418
CO+CO(OAF)+PSD.E,40.818,48.927,41.989,32.734,43.937,0.73603,0.64657,0.70485,0.64815,0.67145,0.6651,0.59311,0.65688,0.59213,0.6273,0.70376,0.60673,0.68865,0.6178,0.58443
CO+PSU.E+PSD.E,41.436,49.057,42.437,32.815,44.496,0.69506,0.60639,0.67215,0.61621,0.63007,0.69483,0.58664,0.66692,0.60323,0.59578,0.68271,0.59094,0.66948,0.60759,0.57049
OAF+CO(OAF)+PSU.E,40.537,48.802,41.808,32.698,44,0.74641,0.65385,0.7158,0.66379,0.68217,0.69218,0.63018,0.68073,0.63118,0.67476,0.63759,0.62938,0.64034,0.61561,0.65
OAF+CO(OAF)+PSD.E,40.19,48.783,41.774,32.668,43.806,0.75304,0.65403,0.71505,0.6621,0.68266,0.69728,0.63598,0.68186,0.62033,0.6453,0.63233,0.63006,0.63957,0.61488,0.63934
OAF+PSU.E+PSD.E,40.726,48.925,42.109,32.776,44.251,0.74625,0.65281,0.71986,0.65828,0.67742,0.7015,0.58614,0.67408,0.60321,0.6041,0.61805,0.60741,0.65567,0.60613,0.62869
CO(OAF)+PSU.E+PSD.E,40.698,48.859,41.88,32.829,44.023,0.73677,0.64077,0.70976,0.64328,0.66263,0.70396,0.59081,0.67462,0.60176,0.60105,0.69248,0.61702,0.68175,0.61196,0.57623
H2H+CO+OAF+CO(OAF),40.337,48.875,42.233,32.614,44.104,0.74204,0.65807,0.73702,0.64831,0.70612,,,,,,0.62406,0.62114,0.6411,0.61123,0.65
H2H+CO+OAF+PSU.E,40.545,48.803,42.147,32.416,44.147,0.73856,0.66781,0.74088,0.63889,0.69397,,,,,,0.63233,0.61977,0.625,0.61488,0.65
H2H+CO+OAF+PSD.E,40.242,48.789,42.11,32.394,43.965,0.7291,0.67128,0.73162,0.63256,0.69456,,,,,,0.62105,0.61153,0.6365,0.61196,0.63197
H2H+CO+CO(OAF)+PSU.E,40.685,48.808,42.1,32.557,44.075,0.75,0.65385,0.74725,0.66047,0.69333,,,,,,0.69474,0.60673,0.67101,0.60686,0.65492
