name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Novak Djokovic,118,85,117,48,815,588,794,343,588,403,451,193,227,155,343,160,403,286,258,96,340,235,376,159,72,45,160,75,286,209,162,59,352,245,312,131,150,90,245,122,27,16,75,27,322,221,240,99,197,137,254,118,76,53,169,79,238,162,235,108,113,82,208,73,292,199,459,189,199,133,271,113,93,68,189,85
Philipp Kohlschreiber,30,20,31,10,163,117,165,56,117,74,109,41,46,27,57,24,74,53,67,24,70,47,74,22,19,16,24,7,53,42,43,12,68,40,76,25,39,23,39,14,3,1,7,3,51,32,63,22,51,34,50,16,17,10,18,7,53,33,56,15,27,13,27,10,57,34,56,17,34,21,40,15,23,11,17,6
Jarkko Nieminen,6,5,5,2,97,51,99,36,51,26,63,22,46,27,36,10,26,15,41,10,52,33,48,17,19,10,10,4,15,9,31,8,43,31,41,15,30,17,23,12,9,6,4,1,37,20,34,8,29,12,26,7,18,12,15,7,29,19,27,15,29,19,15,6,55,30,46,14,31,16,32,13,25,12,14,5
Lleyton Hewitt,10,8,11,6,128,69,128,61,69,42,67,29,59,37,61,30,42,26,38,14,64,37,60,24,22,13,29,12,26,20,24,14,53,32,50,17,40,19,41,13,9,5,12,8,38,26,47,15,40,31,45,18,26,19,17,3,43,21,42,16,28,14,32,10,67,41,66,31,41,26,35,11,26,16,31,14
Pierre Hugues Herbert,24,16,25,11,103,71,101,27,71,42,74,23,32,18,27,7,42,24,51,15,47,32,43,12,14,10,7,3,24,16,36,5,50,36,46,14,25,15,16,8,4,0,3,0,44,29,37,12,29,25,22,8,10,5,11,3,40,28,26,8,9,6,16,6,31,22,34,14,22,15,20,9,9,6,14,7
Hyeon Chung,16,9,18,3,69,39,71,22,39,24,49,13,30,20,22,8,24,17,36,10,35,19,27,9,10,5,8,2,17,10,26,11,26,11,28,9,21,16,15,7,5,5,2,2,18,14,30,7,31,18,17,7,10,5,7,4,22,12,17,6,18,11,10,3,44,31,28,12,31,14,16,4,13,6,12,1
Jan Lennard Struff,15,11,15,4,79,42,81,33,42,29,48,20,37,23,33,9,29,20,28,7,36,26,44,21,14,7,9,4,20,11,21,11,35,19,30,12,17,11,26,8,7,4,4,1,28,17,29,6,27,12,30,14,10,7,11,4,23,12,22,5,22,13,21,6,32,22,29,6,22,17,23,5,10,3,6,2
Bernard Tomic,105,62,103,36,448,298,440,159,298,188,281,108,150,84,159,68,188,119,173,51,194,123,199,63,66,40,68,28,119,81,122,26,192,128,187,63,111,69,103,31,26,18,28,10,166,113,150,42,133,89,135,49,60,48,49,21,142,80,128,48,92,68,77,30,240,164,163,51,164,104,112,42,76,50,51,25
Leonardo Mayer,44,28,42,15,189,116,187,67,115,66,120,37,73,45,67,20,66,44,83,28,94,57,84,39,28,17,20,9,44,34,55,13,79,55,73,19,54,36,50,16,11,7,9,4,65,47,67,22,60,44,53,19,25,15,21,7,62,35,56,17,31,18,33,9,87,56,76,25,56,31,51,17,32,18,25,7
Thanasi Kokkinakis,17,12,18,5,126,79,124,36,79,53,88,33,47,27,36,11,53,32,55,15,53,32,58,25,20,5,11,7,32,19,40,7,53,36,48,16,26,16,29,8,15,8,7,2,49,36,39,16,33,22,37,6,18,11,13,4,35,29,47,20,22,14,15,6,46,27,47,12,27,15,35,12,19,14,12,6
