P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
R. Nadal,V. Estrella Burgos,1,1,15,0,1
R. Nadal,V. Estrella Burgos,1,1,30,0,1
R. Nadal,V. Estrella Burgos,1,1,40,0,1
R. Nadal,V. Estrella Burgos,1,1,0,0,1
R. Nadal,V. Estrella Burgos,2,2,0,15,1
R. Nadal,V. Estrella Burgos,2,1,15,15,1
R. Nadal,V. Estrella Burgos,2,1,30,15,1
R. Nadal,V. Estrella Burgos,2,1,40,15,1
R. Nadal,V. Estrella Burgos,2,2,40,30,1
R. Nadal,V. Estrella Burgos,2,1,0,0,1
R. Nadal,V. Estrella Burgos,1,1,15,0,1
R. Nadal,V. Estrella Burgos,1,2,15,15,1
R. Nadal,V. Estrella Burgos,1,1,30,15,1
R. Nadal,V. Estrella Burgos,1,1,40,15,1
R. Nadal,V. Estrella Burgos,1,1,0,0,1
R. Nadal,V. Estrella Burgos,2,2,0,15,1
R. Nadal,V. Estrella Burgos,2,1,15,15,1
R. Nadal,V. Estrella Burgos,2,1,30,15,1
R. Nadal,V. Estrella Burgos,2,1,40,15,1
R. Nadal,V. Estrella Burgos,2,2,40,30,1
R. Nadal,V. Estrella Burgos,2,1,0,0,1
R. Nadal,V. Estrella Burgos,1,1,15,0,1
R. Nadal,V. Estrella Burgos,1,1,30,0,1
R. Nadal,V. Estrella Burgos,1,1,40,0,1
R. Nadal,V. Estrella Burgos,1,2,40,15,1
R. Nadal,V. Estrella Burgos,1,1,0,0,1
R. Nadal,V. Estrella Burgos,2,2,0,15,1
R. Nadal,V. Estrella Burgos,2,1,15,15,1
R. Nadal,V. Estrella Burgos,2,2,15,30,1
R. Nadal,V. Estrella Burgos,2,2,15,40,1
R. Nadal,V. Estrella Burgos,2,2,0,0,1
R. Nadal,V. Estrella Burgos,1,2,0,15,1
R. Nadal,V. Estrella Burgos,1,1,15,15,1
R. Nadal,V. Estrella Burgos,1,1,30,15,1
