"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H+CO",0.645735707591378,0.183991029291282,0.971640896407567,1067
"H2H+OAF",0.626315789473684,0.518486586118541,0.9986458605556,1330
"H2H+CO(OAF)",0.66447985004686,0.0342290457092524,0.837174626747264,1067
"H2H+PSU",0.696240601503759,0.000154257838816648,0.259494251555056,1330
"H2H+PSD",0.705263157894737,2.11302451305553e-05,0.128875275252824,1330
"CO+OAF",0.631578947368421,0.411935795247075,0.996847573779449,1330
"CO+CO(OAF)",0.668855534709193,0.0207624825857698,0.778024116378138,1066
"CO+PSU",0.678195488721804,0.00407011540120798,0.624008227098978,1330
"CO+PSD",0.686466165413534,0.00101707662226117,0.451298249210143,1330
"OAF+CO(OAF)",0.634586466165414,0.353226582285248,0.995033899646796,1330
"OAF+PSU",0.63609022556391,0.325001056726455,0.993814970920923,1330
"OAF+PSD",0.622556390977444,0.594034255067039,0.9992876401377,1330
"CO(OAF)+PSU",0.713533834586466,2.75237649735019e-06,0.0568267768545482,1330
"CO(OAF)+PSD",0.706766917293233,1.48158388803229e-05,0.112508036169894,1330
"PSU+PSD",0.684210526315789,0.00151257585743445,0.499008118563852,1330
"H2H+CO+OAF",0.624812030075188,0.548961251344716,0.998948615111233,1330
"H2H+CO+CO(OAF)",0.65979381443299,0.0558583366640531,0.887763701362309,1067
"H2H+CO+PSU",0.684962406015038,0.00132722824986103,0.483080508014425,1330
"H2H+CO+PSD",0.691729323308271,0.000381093491254039,0.34342621164262,1330
"H2H+OAF+CO(OAF)",0.627067669172932,0.503187276562532,0.998466187185016,1330
"H2H+OAF+PSU",0.633082706766917,0.382256235961231,0.996033107195572,1330
"H2H+OAF+PSD",0.624812030075188,0.548961251344716,0.998948615111233,1330
"H2H+CO(OAF)+PSU",0.707518796992481,1.2374231797348e-05,0.104896942837596,1330
"H2H+CO(OAF)+PSD",0.704511278195489,2.51697706546679e-05,0.13763981509645,1330
"H2H+PSU+PSD",0.696992481203007,0.000131914053621476,0.246575643999392,1330
"CO+OAF+CO(OAF)",0.626315789473684,0.518486586118541,0.9986458605556,1330
"CO+OAF+PSU",0.632330827067669,0.39702486733689,0.996461429458562,1330
"CO+OAF+PSD",0.624812030075188,0.548961251344716,0.998948615111233,1330
"CO+CO(OAF)+PSU",0.701503759398496,4.98196062673074e-05,0.176615035019777,1330
"CO+CO(OAF)+PSD",0.703759398496241,2.99305009171536e-05,0.14679537448645,1330
"CO+PSU+PSD",0.682706766917293,0.00195534244581287,0.530809653281102,1330
"OAF+CO(OAF)+PSU",0.637593984962406,0.297720661783559,0.992336427101532,1330
"OAF+CO(OAF)+PSD",0.632330827067669,0.39702486733689,0.996461429458562,1330
"OAF+PSU+PSD",0.618045112781955,0.679853735435083,0.999684194639449,1330
"CO(OAF)+PSU+PSD",0.692481203007519,0.000329106535594117,0.328755403766602,1330
"OAF+CO(OAF)+PSU+PSD",0.626315789473684,0.518486586118541,0.9986458605556,1330
"CO+CO(OAF)+PSU+PSD",0.690977443609023,0.000440579337218552,0.358325934593219,1330
"CO+OAF+PSU+PSD",0.615789473684211,0.719633202177086,0.999793365094003,1330
"CO+OAF+CO(OAF)+PSD",0.629323308270677,0.457310570312894,0.997788267360727,1330
"CO+OAF+CO(OAF)+PSU",0.637593984962406,0.297720661783559,0.992336427101532,1330
"H2H+CO(OAF)+PSU+PSD",0.693233082706767,0.000283750626269086,0.314333477389263,1330
"H2H+OAF+PSU+PSD",0.622556390977444,0.594034255067039,0.9992876401377,1330
"H2H+OAF+CO(OAF)+PSD",0.629323308270677,0.457310570312894,0.997788267360727,1330
"H2H+OAF+CO(OAF)+PSU",0.639097744360902,0.271511070694932,0.990553160134949,1330
"H2H+CO+PSU+PSD",0.684210526315789,0.00151257585743445,0.499008118563852,1330
"H2H+CO+CO(OAF)+PSD",0.702255639097744,4.21087445288569e-05,0.166283572593263,1330
"H2H+CO+CO(OAF)+PSU",0.694736842105263,0.00020990106322429,0.286310608944336,1330
"H2H+CO+OAF+PSD",0.621052631578947,0.623410826681752,0.999454010135553,1330
"H2H+CO+OAF+PSU",0.632330827067669,0.39702486733689,0.996461429458562,1330
"H2H+CO+OAF+CO(OAF)",0.62406015037594,0.564092375318777,0.999075367905454,1330
"CO+OAF+CO(OAF)+PSU+PSD",0.630075187969925,0.442100289157356,0.997507716402113,1330
"H2H+OAF+CO(OAF)+PSU+PSD",0.628571428571429,0.47257676557348,0.998039770594463,1330
"H2H+CO+CO(OAF)+PSU+PSD",0.687218045112782,0.000888236736875454,0.435494119450566,1330
"H2H+CO+OAF+PSU+PSD",0.618045112781955,0.679853735435083,0.999684194639449,1330
"H2H+CO+OAF+CO(OAF)+PSD",0.627067669172932,0.503187276562532,0.998466187185016,1330
"H2H+CO+OAF+CO(OAF)+PSU",0.631578947368421,0.411935795247075,0.996847573779449,1330
"All",0.624812030075188,0.548961251344716,0.998948615111233,1330
