"","score","p-value","coverage"
"H2H+CO",43.6011188177472,0.606971577066764,1083
"H2H+OAF",43.0887578861362,0.473886476822459,1283
"H2H+CO(OAF)",43.5136808548513,0.584144279446221,1083
"H2H+PSU",43.1172242232812,0.481486530945337,1283
"H2H+PSD",42.814842895568,0.400258577417426,1283
"CO+OAF",42.4519956445438,0.300470939627277,1283
"CO+CO(OAF)",42.757107124432,0.386026741107389,1079
"CO+PSU",42.7124564145908,0.367414577129392,1283
"CO+PSD",42.4768290344673,0.307221927309603,1283
"OAF+CO(OAF)",42.2748487014892,0.259288103676225,1283
"OAF+PSU",42.2728214600228,0.25656749787235,1283
"OAF+PSD",42.0948611348187,0.218957471434605,1283
"CO(OAF)+PSU",42.0132527641679,0.200011791484794,1283
"CO(OAF)+PSD",41.7948614091307,0.16094364402282,1283
"PSU+PSD",42.7051638641296,0.366501705908035,1283
"H2H+CO+OAF",42.5087105558521,0.318911205007287,1283
"H2H+CO+CO(OAF)",42.8314097961109,0.407713036667131,1083
"H2H+CO+PSU",42.6494273150529,0.353939562943198,1283
"H2H+CO+PSD",42.4559852242773,0.306106348299083,1283
"H2H+OAF+CO(OAF)",42.4275708890222,0.300005876739187,1283
"H2H+OAF+PSU",42.3700231436861,0.284383672888304,1283
"H2H+OAF+PSD",42.2293131884297,0.253262648506558,1283
"H2H+CO(OAF)+PSU",42.1537844465187,0.23508295690432,1283
"H2H+CO(OAF)+PSD",41.9694171332782,0.198802263336775,1283
"H2H+PSU+PSD",42.7042967107432,0.369096591429238,1283
"CO+OAF+CO(OAF)",42.1976893063684,0.240820390942144,1283
"CO+OAF+PSU",42.2571263299291,0.253054663562299,1283
"CO+OAF+PSD",42.1313138949731,0.226281246217032,1283
"CO+CO(OAF)+PSU",42.1992492536232,0.239369005279822,1283
"CO+CO(OAF)+PSD",42.0157828302624,0.20172387820494,1283
"CO+PSU+PSD",42.5562836041954,0.326895730605353,1283
"OAF+CO(OAF)+PSU",41.9149250576959,0.181641062668354,1283
"OAF+CO(OAF)+PSD",41.7974936637209,0.161547532181157,1283
"OAF+PSU+PSD",42.2282132496787,0.247256379565849,1283
"CO(OAF)+PSU+PSD",41.9924008569635,0.196908021342048,1283
"OAF+CO(OAF)+PSU+PSD",41.8822274765829,0.175895685908463,1283
"CO+CO(OAF)+PSU+PSD",42.1149714667121,0.221842726323529,1283
"CO+OAF+PSU+PSD",42.2176558901124,0.244705000698545,1283
"CO+OAF+CO(OAF)+PSD",41.8949382592128,0.178693182056797,1283
"CO+OAF+CO(OAF)+PSU",41.9912742055047,0.196260092855412,1283
"H2H+CO(OAF)+PSU+PSD",42.0337867104295,0.209294804231948,1283
"H2H+OAF+PSU+PSD",42.2452850433447,0.254802621916383,1283
"H2H+OAF+CO(OAF)+PSD",41.8794637968976,0.180456659337071,1283
"H2H+OAF+CO(OAF)+PSU",41.976573805287,0.197812418910453,1283
"H2H+CO+PSU+PSD",42.4825466913642,0.311081072836266,1283
"H2H+CO+CO(OAF)+PSD",42.0443455485241,0.211600519207389,1283
"H2H+CO+CO(OAF)+PSU",42.2047942642038,0.244593108130995,1283
"H2H+CO+OAF+PSD",42.1347894488624,0.230946145631239,1283
"H2H+CO+OAF+PSU",42.2372418068728,0.252396366457697,1283
"H2H+CO+OAF+CO(OAF)",42.2328811583835,0.252543681747416,1283
"CO+OAF+CO(OAF)+PSU+PSD",41.9587146617355,0.190215531161132,1283
"H2H+OAF+CO(OAF)+PSU+PSD",41.9041430399197,0.183304353700231,1283
"H2H+CO+CO(OAF)+PSU+PSD",42.0946889586592,0.220710432247852,1283
"H2H+CO+OAF+PSU+PSD",42.1813720972456,0.239655414281448,1283
"H2H+CO+OAF+CO(OAF)+PSD",41.906924588346,0.184266006588722,1283
"H2H+CO+OAF+CO(OAF)+PSU",41.9889204905674,0.199165460183959,1283
"All",41.943444139052,0.189999581393421,1283
