"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&&CO",0.698830409356725,0.00680481840024465,0.0360035479385315,342
"H2H&&OAF",0.702842377260982,0.00312451679449799,0.0209835749536049,387
"H2H&&CO(OAF)",0.706806282722513,0.00209636110018614,0.0150996651771938,382
"H2H&&PSU",0.704022988505747,0.00385906941437496,0.0231460884478153,348
"H2H&&PSD",0.697674418604651,0.00748057036991399,0.0389429036134724,344
"CO&&OAF",0.694074969770254,0.000821990349829309,0.0129059667893406,827
"CO&&CO(OAF)",0.687285223367698,0.0020265851875559,0.0262925504090865,873
"CO&&PSU",0.665555555555556,0.031722206284908,0.181782470777248,900
"CO&&PSD",0.66369710467706,0.0386765012862541,0.20634420219761,898
"OAF&&CO(OAF)",0.68200408997955,0.00337182739134311,0.0408649510385462,978
"OAF&&PSU",0.714439655172414,1.00363800734662e-05,0.000456458311513365,928
"OAF&&PSD",0.715536105032823,8.57363192673517e-06,0.000395723352226812,914
"CO(OAF)&&PSU",0.705809641532756,0.000116645965334288,0.00280431840874512,809
"CO(OAF)&&PSD",0.704856787048568,0.00014366754107393,0.0032810376274125,803
"PSU&&PSD",0.677740863787375,0.00410841240304012,0.052929904469139,1204
"H2H&&CO&&OAF",0.724832214765101,0.000732419142151617,0.0052716387039857,298
"H2H&&CO&&CO(OAF)",0.727272727272727,0.000563258132308994,0.00421382942510744,297
"H2H&&CO&&PSU",0.715210355987055,0.00180633937940951,0.0114950400626156,309
"H2H&&CO&&PSD",0.707792207792208,0.00389108666351922,0.0215160149914631,308
"H2H&&OAF&&CO(OAF)",0.716621253405995,0.000769657632977664,0.00647198699203129,367
"H2H&&OAF&&PSU",0.740740740740741,0.000108842600766036,0.00103638704747823,297
"H2H&&OAF&&PSD",0.73469387755102,0.00024616589912858,0.002068521672629,294
"H2H&&CO(OAF)&&PSU",0.746621621621622,5.11438073342177e-05,0.000537684059414998,296
"H2H&&CO(OAF)&&PSD",0.74061433447099,0.000119947385209937,0.00111299856696716,293
"H2H&&PSU&&PSD",0.714733542319749,0.00168441982516203,0.0111014800600387,319
"CO&&OAF&&CO(OAF)",0.706549118387909,0.000110686480551522,0.00264539105601103,794
"CO&&OAF&&PSU",0.712309820193638,5.96018318690485e-05,0.00147967290270905,723
"CO&&OAF&&PSD",0.706703910614525,0.000171524728963872,0.00340526658913615,716
"CO&&CO(OAF)&&PSU",0.709115281501341,9.22443948816226e-05,0.00216141103980569,746
"CO&&CO(OAF)&&PSD",0.704851752021563,0.00020252989660574,0.00400671275482428,742
"CO&&PSU&&PSD",0.672150411280846,0.0163436426240473,0.114103749797501,851
"OAF&&CO(OAF)&&PSU",0.715803452855246,2.44507612756735e-05,0.000751664494504003,753
"OAF&&CO(OAF)&&PSD",0.71505376344086,3.03045248310585e-05,0.000883099888640811,744
"OAF&&PSU&&PSD",0.719862227324914,4.32506068291836e-06,0.000215684992152922,871
"CO(OAF)&&PSU&&PSD",0.70976253298153,7.57667948536769e-05,0.00187601594258174,758
"OAF&&CO(OAF)&&PSU&&PSD",0.719546742209632,1.68398124040922e-05,0.000518783540184458,706
"CO&&CO(OAF)&&PSU&&PSD",0.710674157303371,8.69548749287107e-05,0.00197336469305987,712
"CO&&OAF&&PSU&&PSD",0.71304347826087,6.60993900511619e-05,0.00153664717041973,690
"CO&&OAF&&CO(OAF)&&PSD",0.716353111432706,3.54247343475623e-05,0.000929471748955517,691
"CO&&OAF&&CO(OAF)&&PSU",0.721030042918455,1.32974956775251e-05,0.000423056275804289,699
"H2H&&CO(OAF)&&PSU&&PSD",0.750902527075812,4.50081040159237e-05,0.000451227945900752,277
"H2H&&OAF&&PSU&&PSD",0.744604316546763,9.92789129934977e-05,0.000901071980291984,278
"H2H&&OAF&&CO(OAF)&&PSD",0.746478873239437,6.82463471951099e-05,0.000663974328192898,284
"H2H&&OAF&&CO(OAF)&&PSU",0.751748251748252,3.22164217808632e-05,0.000347640997140039,286
"H2H&&CO&&PSU&&PSD",0.716666666666667,0.00173367489030583,0.0108794708967819,300
"H2H&&CO&&CO(OAF)&&PSD",0.738007380073801,0.000256929580027127,0.0020020694579024,271
"H2H&&CO&&CO(OAF)&&PSU",0.747252747252747,7.94898678017945e-05,0.000730640071600077,273
"H2H&&CO&&OAF&&PSD",0.731617647058823,0.000523926409072898,0.00369486527610407,272
"H2H&&CO&&OAF&&PSU",0.740875912408759,0.000171631757025998,0.00142791413966915,274
"H2H&&CO&&OAF&&CO(OAF)",0.737024221453287,0.000203325936963839,0.00173047671314964,289
"CO&&OAF&&CO(OAF)&&PSU&&PSD",0.721139430284858,1.73188160236867e-05,0.000499540826510304,667
"H2H&&OAF&&CO(OAF)&&PSU&&PSD",0.757462686567164,2.36373348042568e-05,0.000248377565966134,268
"H2H&&CO&&CO(OAF)&&PSU&&PSD",0.747169811320755,9.68177256234677e-05,0.000844051051039916,265
"H2H&&CO&&OAF&&PSU&&PSD",0.740601503759398,0.000209721961280632,0.00165453217536575,266
"H2H&&CO&&OAF&&CO(OAF)&&PSD",0.746212121212121,0.000111528141874667,0.000951264972458366,264
"H2H&&CO&&OAF&&CO(OAF)&&PSU",0.755639097744361,3.18544372816633e-05,0.000320489590389004,266
"All",0.755813953488372,3.86173686036061e-05,0.000368476795708352,258
