"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&CO&OAF",0.677304964539007,0.00187230612861926,0.184370250962964,846
"H2H&CO&CO(OAF)",0.651685393258427,0.040739110146506,0.615515021259772,890
"H2H&CO&PSU",0.631874298540965,0.204402481615921,0.887532449877829,891
"H2H&CO&PSD",0.628146453089245,0.25753311627303,0.915919083341679,874
"H2H&OAF&CO(OAF)",0.671351351351351,0.00356383294119823,0.26215922386835,925
"H2H&OAF&PSU",0.676056338028169,0.00147100031714711,0.189732697870749,994
"H2H&OAF&PSD",0.645128205128205,0.0701720405621982,0.730436204038651,975
"H2H&CO(OAF)&PSU",0.644047619047619,0.0861153346797338,0.738602115677488,840
"H2H&CO(OAF)&PSD",0.646209386281588,0.0722810295061431,0.704876176759242,831
"H2H&PSU&PSD",0.598714416896235,0.766405881673406,0.997984974258329,1089
"CO&OAF&CO(OAF)",0.65053242981607,0.0393045326003886,0.641186584581385,1033
"CO&OAF&PSU",0.648742411101474,0.0427091511204511,0.677593239303717,1153
"CO&OAF&PSD",0.62774363476734,0.248703893490013,0.932624652504389,1139
"CO&CO(OAF)&PSU",0.625363020329138,0.291822359579039,0.942216378921019,1033
"CO&CO(OAF)&PSD",0.62729912875121,0.260881262352618,0.930705009918281,1033
"CO&PSU&PSD",0.595782073813708,0.809693542280955,0.998847867988431,1138
"OAF&CO(OAF)&PSU",0.674761491760624,0.00123465468221447,0.198385382956012,1153
"OAF&CO(OAF)&PSD",0.645302897278314,0.061268830360062,0.735737063530222,1139
"OAF&PSU&PSD",0.604098360655738,0.685237743715459,0.996428306055838,1220
"CO(OAF)&PSU&PSD",0.601054481546573,0.732968317498338,0.99739354931933,1138
"CO&OAF&CO(OAF)&PSU&PSD",0.640723981900453,0.0955051789757197,0.802471410822508,1105
"H2H&OAF&CO(OAF)&PSU&PSD",0.654233870967742,0.0275914427641924,0.571372369804393,992
"H2H&CO&CO(OAF)&PSU&PSD",0.631236442516269,0.210631850542141,0.895175275560686,922
"H2H&CO&OAF&PSU&PSD",0.636451301832208,0.139954474899184,0.851525233213691,1037
"H2H&CO&OAF&CO(OAF)&PSD",0.660500544069641,0.0149055633456339,0.45227055008669,919
"H2H&CO&OAF&CO(OAF)&PSU",0.657549234135667,0.0211564269920683,0.507843070359712,914
