"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H+CO",0.622938530734633,0.293814561588524,0.964144311565504,1334
"H2H+OAF",0.648261758691207,0.0249705970738056,0.669654188851913,1467
"H2H+CO(OAF)",0.637931034482759,0.08819595037224,0.839177950374819,1334
"H2H+PSU",0.601908657123381,0.724845998077431,0.998621674444138,1467
"H2H+PSD",0.596455351056578,0.814429821028615,0.999498951436933,1467
"CO+OAF",0.648261758691207,0.0249705970738056,0.669654188851913,1467
"CO+CO(OAF)",0.639430284857571,0.075889831099585,0.818509880888651,1334
"CO+PSU",0.60054533060668,0.749089042549352,0.998921771583342,1467
"CO+PSD",0.60054533060668,0.749089042549352,0.998921771583342,1467
"OAF+CO(OAF)",0.664621676891616,0.00198922604543786,0.315283565738854,1467
"OAF+PSU",0.633946830265849,0.122281063942354,0.891674717345214,1467
"OAF+PSD",0.638718473074301,0.0765720867567034,0.834174639050694,1467
"CO(OAF)+PSU",0.616223585548739,0.426226947252188,0.986515244397774,1467
"CO(OAF)+PSD",0.61758691206544,0.397095819565339,0.983709105414477,1467
"PSU+PSD",0.593728698023177,0.851432451534408,0.99970676052126,1467
"H2H+CO+OAF",0.644171779141104,0.0416268527038546,0.747709319746956,1467
"H2H+CO+CO(OAF)",0.640929535232384,0.0649283933440293,0.796233186643663,1334
"H2H+CO+PSU",0.609406952965235,0.574432578213595,0.995129979605233,1467
"H2H+CO+PSD",0.608043626448534,0.603437540518787,0.996085476419058,1467
"H2H+OAF+CO(OAF)",0.656441717791411,0.00778293829761075,0.492163501782833,1467
"H2H+OAF+PSU",0.631220177232447,0.155616806832767,0.917184725009552,1467
"H2H+OAF+PSD",0.6359918200409,0.100787166094013,0.869099143281277,1467
"H2H+CO(OAF)+PSU",0.620313565098841,0.340612052260216,0.976566992486204,1467
"H2H+CO(OAF)+PSD",0.623721881390593,0.274755476761822,0.964075166906363,1467
"H2H+PSU+PSD",0.598500340831629,0.783195951541856,0.999260876641706,1467
"CO+OAF+CO(OAF)",0.65439672801636,0.0106086394155077,0.537942695445542,1467
"CO+OAF+PSU",0.635310156782549,0.107625030858249,0.876963223502333,1467
"CO+OAF+PSD",0.639400136332652,0.0712683901098402,0.824568337356994,1467
"CO+CO(OAF)+PSU",0.620313565098841,0.340612052260216,0.976566992486204,1467
"CO+CO(OAF)+PSD",0.624403544648943,0.262364281092985,0.961010718027148,1467
"CO+PSU+PSD",0.597137014314928,0.80434607313973,0.999428919570543,1467
"OAF+CO(OAF)+PSU",0.644853442399455,0.0383526462945974,0.735418870900742,1467
"OAF+CO(OAF)+PSD",0.646898432174506,0.0297632203147257,0.696772956527442,1467
"OAF+PSU+PSD",0.626448534423995,0.226959840486432,0.950513261516366,1467
"CO(OAF)+PSU+PSD",0.604635310156783,0.673106353870404,0.997780831584746,1467
"OAF+CO(OAF)+PSU+PSD",0.631220177232447,0.155616806832767,0.917184725009552,1467
"CO+CO(OAF)+PSU+PSD",0.610770279481936,0.544999751271652,0.993970962938904,1467
"CO+OAF+PSU+PSD",0.629175187457396,0.184187670314999,0.933113665003813,1467
"CO+OAF+CO(OAF)+PSD",0.649625085207907,0.0208393433685004,0.641587301312528,1467
"CO+OAF+CO(OAF)+PSU",0.643490115882754,0.0451224191275664,0.759686625312202,1467
"H2H+CO(OAF)+PSU+PSD",0.610088616223586,0.559759847031269,0.994578043894502,1467
"H2H+OAF+PSU+PSD",0.627130197682345,0.21577807370288,0.946547125622063,1467
"H2H+OAF+CO(OAF)+PSD",0.650988411724608,0.0172992575188388,0.612706441563197,1467
"H2H+OAF+CO(OAF)+PSU",0.644171779141104,0.0416268527038546,0.747709319746956,1467
"H2H+CO+PSU+PSD",0.605316973415133,0.659566455864227,0.997507937371022,1467
"H2H+CO+CO(OAF)+PSD",0.627130197682345,0.21577807370288,0.946547125622063,1467
"H2H+CO+CO(OAF)+PSU",0.623721881390593,0.274755476761822,0.964075166906363,1467
"H2H+CO+OAF+PSD",0.642808452624404,0.0488488323886578,0.771342087789332,1467
"H2H+CO+OAF+PSU",0.634628493524199,0.114788119951567,0.884486874481998,1467
"H2H+CO+OAF+CO(OAF)",0.65439672801636,0.0106086394155077,0.537942695445542,1467
"CO+OAF+CO(OAF)+PSU+PSD",0.629856850715746,0.174324770989486,0.928093143686355,1467
"H2H+OAF+CO(OAF)+PSU+PSD",0.631901840490798,0.146773819509647,0.91128019265824,1467
"H2H+CO+CO(OAF)+PSU+PSD",0.61826857532379,0.382724755060692,0.982126701261992,1467
"H2H+CO+OAF+PSU+PSD",0.633946830265849,0.122281063942354,0.891674717345214,1467
"H2H+CO+OAF+CO(OAF)+PSD",0.647580095432856,0.0272797278342055,0.683339877708679,1467
"H2H+CO+OAF+CO(OAF)+PSU",0.643490115882754,0.0451224191275664,0.759686625312202,1467
"All",0.638036809815951,0.0821684854366063,0.843430188740851,1467
