"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&&CO",0.6171875,0.24964245859023,0.626074421147657,384
"H2H&&OAF",0.665127020785219,0.00609158165171926,0.0698627465263053,433
"H2H&&CO(OAF)",0.653658536585366,0.021130628591956,0.15410767595023,410
"H2H&&PSU",0.617721518987342,0.241210201971121,0.620073801277459,395
"H2H&&PSD",0.612090680100756,0.308285096203651,0.695295273250093,397
"CO&&OAF",0.637571157495256,0.0230697041004958,0.279659334873955,1054
"CO&&CO(OAF)",0.621895124195032,0.113632499383328,0.586138039455305,1087
"CO&&PSU",0.605660377358491,0.353141022717263,0.850735281877263,1060
"CO&&PSD",0.60655737704918,0.337440293567267,0.838427382645003,1037
"OAF&&CO(OAF)",0.642186165670367,0.0107735605152359,0.198982861185798,1171
"OAF&&PSU",0.645004849660524,0.00916835776593141,0.168798254955523,1031
"OAF&&PSD",0.653769841269841,0.00266266334783642,0.081053872252169,1008
"CO(OAF)&&PSU",0.642172523961661,0.0156507094211927,0.214173104368049,939
"CO(OAF)&&PSD",0.641630901287554,0.0169356920880362,0.222600298695812,932
"PSU&&PSD",0.585692995529061,0.748199542305645,0.985320593896306,1342
"H2H&&CO&&OAF",0.653731343283582,0.0303775195382744,0.172984537083758,335
"H2H&&CO&&CO(OAF)",0.645061728395062,0.0593876079169082,0.262054724139375,324
"H2H&&CO&&PSU",0.639393939393939,0.0836334086194974,0.326589908892888,330
"H2H&&CO&&PSD",0.642201834862385,0.0707846302716232,0.293686739004108,327
"H2H&&OAF&&CO(OAF)",0.67012987012987,0.00503514877140345,0.0556801796307984,385
"H2H&&OAF&&PSU",0.666666666666667,0.0112146162449164,0.0857668550575777,324
"H2H&&OAF&&PSD",0.668730650154799,0.00940576388578055,0.0755854116379626,323
"H2H&&CO(OAF)&&PSU",0.652597402597403,0.0380063009451507,0.19134259402445,308
"H2H&&CO(OAF)&&PSD",0.653846153846154,0.0340047092047996,0.179006749873342,312
"H2H&&PSU&&PSD",0.618666666666667,0.235307541941299,0.604833258795583,375
"CO&&OAF&&CO(OAF)",0.642710472279261,0.0137537028409693,0.203894735185586,974
"CO&&OAF&&PSU",0.655813953488372,0.00296535031951599,0.0762598449475504,860
"CO&&OAF&&PSD",0.657517899761337,0.00247400712222809,0.0666807327280382,838
"CO&&CO(OAF)&&PSU",0.646922183507549,0.0100620994675789,0.15854456743534,861
"CO&&CO(OAF)&&PSD",0.646572104018913,0.0108868575145609,0.164015599052678,846
"CO&&PSU&&PSD",0.606393606393606,0.342000305151961,0.837958352226935,1001
"OAF&&CO(OAF)&&PSU",0.653846153846154,0.00396931829382333,0.0910592628758963,858
"OAF&&CO(OAF)&&PSD",0.654028436018957,0.00403098985985516,0.0907588535149838,844
"OAF&&PSU&&PSD",0.652806652806653,0.00347371155004882,0.0917261707162746,962
"CO(OAF)&&PSU&&PSD",0.640765765765766,0.0202791932475065,0.238841560481314,888
"OAF&&CO(OAF)&&PSU&&PSD",0.652709359605911,0.00532238379655457,0.104397832321221,812
"CO&&CO(OAF)&&PSU&&PSD",0.645476772616137,0.0132849567153042,0.179945595257035,818
"CO&&OAF&&PSU&&PSD",0.656058751529988,0.00328271041770638,0.0779315104937462,817
"CO&&OAF&&CO(OAF)&&PSD",0.657360406091371,0.00300504222872789,0.0715978819110587,788
"CO&&OAF&&CO(OAF)&&PSU",0.657142857142857,0.00292334912402062,0.0716160879162608,805
"H2H&&CO(OAF)&&PSU&&PSD",0.653198653198653,0.0386108988353838,0.189571834262788,297
"H2H&&OAF&&PSU&&PSD",0.666666666666667,0.0122996111005472,0.0891242018506551,312
"H2H&&OAF&&CO(OAF)&&PSD",0.667796610169492,0.0128025711608508,0.0881912892431043,295
"H2H&&OAF&&CO(OAF)&&PSU",0.666666666666667,0.0141681671062739,0.0945413094554885,294
"H2H&&CO&&PSU&&PSD",0.643533123028391,0.0674080697043227,0.280868809308559,317
"H2H&&CO&&CO(OAF)&&PSD",0.657342657342657,0.030678091078868,0.158975771305783,286
"H2H&&CO&&CO(OAF)&&PSU",0.653846153846154,0.0392140981796998,0.187676238966219,286
"H2H&&CO&&OAF&&PSD",0.671280276816609,0.0100533633662397,0.0731162127172251,289
"H2H&&CO&&OAF&&PSU",0.667808219178082,0.0131088585304547,0.0890568094019767,292
"H2H&&CO&&OAF&&CO(OAF)",0.658064516129032,0.0250745514810319,0.145320055288384,310
"CO&&OAF&&CO(OAF)&&PSU&&PSD",0.655801825293351,0.00402033874143136,0.0840709759017014,767
"H2H&&OAF&&CO(OAF)&&PSU&&PSD",0.665492957746479,0.0168473975940532,0.104420368203516,284
"H2H&&CO&&CO(OAF)&&PSU&&PSD",0.657039711191336,0.0331506320161346,0.164593011625966,277
"H2H&&CO&&OAF&&PSU&&PSD",0.670212765957447,0.0117052204470978,0.0801713541938144,282
"H2H&&CO&&OAF&&CO(OAF)&&PSD",0.67032967032967,0.012564712077758,0.0824906603208754,273
"H2H&&CO&&OAF&&CO(OAF)&&PSU",0.667883211678832,0.015138927162871,0.09452698058447,274
"All",0.669172932330827,0.0146614528335136,0.0905763319855956,266
