"","score","p-value","coverage"
"H2H+CO",32.4991652349114,0.253755139370344,1164
"H2H+OAF",32.843313077177,0.413243990850352,1251
"H2H+CO(OAF)",33.2383482088662,0.608588522417165,1164
"H2H+PSU",33.002416009034,0.495197747241808,1251
"H2H+PSD",32.961087018987,0.474192700940081,1251
"CO+OAF",32.8109000809148,0.393721176211541,1251
"CO+CO(OAF)",32.8580545679407,0.420945238073299,1163
"CO+PSU",32.8381411068688,0.408460418355072,1251
"CO+PSD",32.7683516066533,0.373250858000703,1251
"OAF+CO(OAF)",32.9915557409288,0.489423679246155,1251
"OAF+PSU",32.8196783860474,0.398982007490648,1251
"OAF+PSD",32.7307468120136,0.35426475956538,1251
"CO(OAF)+PSU",32.9254103670597,0.45519534788664,1251
"CO(OAF)+PSD",32.8608545411805,0.422434116978708,1251
"PSU+PSD",33.1160409342831,0.55411507642898,1251
"H2H+CO+OAF",32.534949855109,0.264390746157725,1251
"H2H+CO+CO(OAF)",32.5848766184652,0.292830543264404,1164
"H2H+CO+PSU",32.5762038074735,0.283624413044503,1251
"H2H+CO+PSD",32.5503495797589,0.272867969295059,1251
"H2H+OAF+CO(OAF)",32.749529142965,0.367779070249127,1251
"H2H+OAF+PSU",32.5721479268237,0.281975957493076,1251
"H2H+OAF+PSD",32.5221246253758,0.260437435481392,1251
"H2H+CO(OAF)+PSU",32.7092405332709,0.348847958189259,1251
"H2H+CO(OAF)+PSD",32.6857015759953,0.338349940754272,1251
"H2H+PSU+PSD",32.8934363234233,0.439299077336454,1251
"CO+OAF+CO(OAF)",32.8465051681143,0.413494189494694,1251
"CO+OAF+PSU",32.67439152778,0.325669089124713,1251
"CO+OAF+PSD",32.6180717346921,0.299319910236103,1251
"CO+CO(OAF)+PSU",32.7983295583456,0.389079132833659,1251
"CO+CO(OAF)+PSD",32.7578854972253,0.369273999645416,1251
"CO+PSU+PSD",32.8590161594375,0.419830965376737,1251
"OAF+CO(OAF)+PSU",32.7246183544086,0.35244133462599,1251
"OAF+CO(OAF)+PSD",32.6706418099794,0.326747652061153,1251
"OAF+PSU+PSD",32.8096102380074,0.394384911376078,1251
"CO(OAF)+PSU+PSD",32.8696597378937,0.426407617387259,1251
"OAF+CO(OAF)+PSU+PSD",32.7026670594648,0.341871630477249,1251
"CO+CO(OAF)+PSU+PSD",32.7784062246378,0.379248458193414,1251
"CO+OAF+PSU+PSD",32.6903350714378,0.334208899206809,1251
"CO+OAF+CO(OAF)+PSD",32.6157376145708,0.299920885681158,1251
"CO+OAF+CO(OAF)+PSU",32.6546326828362,0.31772796390057,1251
"H2H+CO(OAF)+PSU+PSD",32.6806462264044,0.334274169841041,1251
"H2H+OAF+PSU+PSD",32.6013017980715,0.295055951552143,1251
"H2H+OAF+CO(OAF)+PSD",32.4771466212249,0.24310164232382,1251
"H2H+OAF+CO(OAF)+PSU",32.5100286895597,0.256310664247069,1251
"H2H+CO+PSU+PSD",32.6434580864452,0.314498154688241,1251
"H2H+CO+CO(OAF)+PSD",32.5613421690176,0.278863430506985,1251
"H2H+CO+CO(OAF)+PSU",32.5765143763352,0.284872451241871,1251
"H2H+CO+OAF+PSD",32.402035684148,0.209896748034685,1251
"H2H+CO+OAF+PSU",32.4362563450709,0.222838770331137,1251
"H2H+CO+OAF+CO(OAF)",32.6135694906777,0.301227126614337,1251
"CO+OAF+CO(OAF)+PSU+PSD",32.6470456212742,0.314486943472285,1251
"H2H+OAF+CO(OAF)+PSU+PSD",32.5233804806865,0.261500623566991,1251
"H2H+CO+CO(OAF)+PSU+PSD",32.5952902159877,0.293030465102062,1251
"H2H+CO+OAF+PSU+PSD",32.4952579409315,0.247300344189982,1251
"H2H+CO+OAF+CO(OAF)+PSD",32.4284353678172,0.221644832225783,1251
"H2H+CO+OAF+CO(OAF)+PSU",32.4532105552595,0.23104857931521,1251
"All",32.4786746866657,0.241397975314353,1251
