"","score","p-value.basic.pure","p-value.oaf.pure","coverage"
"H2H&CO&OAF",0.626851851851852,0.0617986853087121,0.530735172573339,1080
"H2H&CO&CO(OAF)",0.611061552185549,0.225237585399235,0.810684045623962,1121
"H2H&CO&PSU",0.607897153351699,0.277600785505733,0.849060454456571,1089
"H2H&CO&PSD",0.600185528756957,0.419340113241929,0.921432364494241,1078
"H2H&OAF&CO(OAF)",0.620932277924362,0.103887194356944,0.648368547370067,1137
"H2H&OAF&PSU",0.644171779141104,0.00707849442328946,0.207946171392279,1141
"H2H&OAF&PSD",0.63765541740675,0.0174340381120631,0.3172691295771,1126
"H2H&CO(OAF)&PSU",0.616190476190476,0.159621666814056,0.728865231765505,1050
"H2H&CO(OAF)&PSD",0.610951008645533,0.231537960386844,0.807366207108043,1041
"H2H&PSU&PSD",0.596330275229358,0.495108699325022,0.954478855421679,1308
"CO&OAF&CO(OAF)",0.618897637795276,0.116931188689482,0.691109794351285,1270
"CO&OAF&PSU",0.610194902548726,0.228446706596865,0.833174539383288,1334
"CO&OAF&PSD",0.605381165919282,0.312129171623854,0.88917554018713,1338
"CO&CO(OAF)&PSU",0.595275590551181,0.517001763091105,0.958388362006904,1270
"CO&CO(OAF)&PSD",0.592125984251968,0.581661333478295,0.971002456178318,1270
"CO&PSU&PSD",0.603232916972814,0.352742223150761,0.910073729406629,1361
"OAF&CO(OAF)&PSU",0.631184407796102,0.0314126668313016,0.440371797060476,1334
"OAF&CO(OAF)&PSD",0.620328849028401,0.0998220962288961,0.666193269075239,1338
"OAF&PSU&PSD",0.603209336250912,0.352952936814212,0.910664294511511,1371
"CO(OAF)&PSU&PSD",0.601763409257899,0.382081662782005,0.922061626533543,1361
"CO&OAF&CO(OAF)&PSU&PSD",0.607813673929376,0.268401899231725,0.86261172292103,1331
"H2H&OAF&CO(OAF)&PSU&PSD",0.632414369256475,0.0305682421656191,0.416861284083362,1197
"H2H&CO&CO(OAF)&PSU&PSD",0.602292768959436,0.377172902590649,0.907855748284678,1134
"H2H&CO&OAF&PSU&PSD",0.617142857142857,0.138263650344081,0.720941998030203,1225
"H2H&CO&OAF&CO(OAF)&PSD",0.614125753660637,0.179210344656031,0.767911310476938,1161
"H2H&CO&OAF&CO(OAF)&PSU",0.616109682947729,0.153564881414438,0.736064798333479,1167
